theta_lo,theta_hi,n,hits,acc
0.5,0.75,35,24,0.686
0.75,1.0,37,24,0.649
1.0,1.5,24,20,0.833
1.5,2.5,42,38,0.905
2.5,4.0,25,23,0.92
4.0,6.0,21,21,1.0
6.0,20.0,11,11,1.0
