rec,card,map,tags,target,k,theta_deg,reliable,has_window,outcome_ungated,answer_ungated,outcome_gated,answer_gated
2026_08_16/s4,s4,v8,,球M,7,2.82,1,1,correct,球M,correct,球M
2026_08_16/s4,s4,v8,,球L,8,1.67,1,1,correct,球L,correct,球L
2026_08_16/s4,s4,v8,,球R,9,1.28,1,1,correct,球R,correct,球R
2026_08_16/s4,s4,v8,,球M,10,2.82,1,1,wrong,球R,wrong,球R
2026_08_16/s4,s4,v8,,球R,11,1.28,1,1,correct,球R,wrong,球M
2026_08_16/s4,s4,v8,,球R,12,1.28,1,1,correct,球R,correct,球R
2026_08_16/s4,s4,v8,,球M,13,2.82,1,1,correct,球M,correct,球M
2026_08_16/s4,s4,v8,,球L,14,1.67,1,1,correct,球L,correct,球L
2026_08_16/s4,s4,v8,,球L,15,1.67,1,1,correct,球L,correct,球L
2026_08_16/s6,s6,v8,,球L,1,0.56,1,1,correct,球L,correct,球L
2026_08_16/s6,s6,v8,,球M,2,1.79,1,1,correct,球M,correct,球M
2026_08_16/s6,s6,v8,,球R,3,1.85,1,1,correct,球R,none,
2026_08_16/s6,s6,v8,,球R,4,1.85,1,1,correct,球R,correct,球R
2026_08_16/s6,s6,v8,,球M,5,1.79,1,1,correct,球M,correct,球M
2026_08_16/s6,s6,v8,,球R,6,1.85,1,1,correct,球R,wrong,球M
2026_08_16/s6,s6,v8,,球R,7,1.85,1,1,correct,球R,correct,球R
2026_08_16/s6,s6,v8,,球M,8,1.79,1,1,correct,球M,correct,球M
2026_08_16/s6,s6,v8,,球L,9,0.56,1,1,correct,球L,correct,球L
2026_08_16/s6,s6,v8,,球M,10,1.79,1,1,correct,球M,correct,球M
2026_08_16/s6,s6,v8,,球L,11,0.56,1,1,correct,球L,correct,球L
2026_08_16/s6,s6,v8,,球M,12,1.79,1,1,correct,球M,correct,球M
2026_08_16/s6,s6,v8,,球L,13,0.56,1,1,correct,球L,correct,球L
2026_08_16/s6,s6,v8,,球R,14,1.85,1,1,correct,球R,correct,球R
2026_08_16/s6,s6,v8,,球L,15,0.56,1,1,correct,球L,correct,球L
2026_08_18/000,s7,v8,,球L,1,2.61,1,1,correct,球L,correct,球L
2026_08_18/000,s7,v8,,球L,2,2.61,1,1,correct,球L,correct,球L
2026_08_18/000,s7,v8,,球R,3,2.19,1,1,correct,球R,correct,球R
2026_08_18/000,s7,v8,,球R,4,2.19,1,1,correct,球R,wrong,球M
2026_08_18/000,s7,v8,,球M,5,2.19,1,1,correct,球M,correct,球M
2026_08_18/000,s7,v8,,球L,6,2.61,1,1,correct,球L,correct,球L
2026_08_18/000,s7,v8,,球M,7,2.19,1,1,correct,球M,correct,球M
2026_08_18/000,s7,v8,,球R,8,2.19,1,1,wrong,球M,wrong,球M
2026_08_18/000,s7,v8,,球R,9,2.19,1,1,correct,球R,correct,球R
2026_08_18/000,s7,v8,,球M,10,2.19,1,1,correct,球M,correct,球M
2026_08_18/000,s7,v8,,球L,11,2.61,1,1,correct,球L,correct,球L
2026_08_18/000,s7,v8,,球M,12,2.19,1,1,correct,球M,correct,球M
2026_08_18/000,s7,v8,,球R,13,2.19,1,1,correct,球R,correct,球R
2026_08_18/000,s7,v8,,球M,14,2.19,1,1,correct,球M,correct,球M
2026_08_18/000,s7,v8,,球L,15,2.61,1,1,correct,球L,correct,球L
2026_08_20/000,c1,v9,,球R,1,2.17,1,1,correct,球R,correct,球R
2026_08_20/000,c1,v9,,香蕉,2,0.41,1,1,wrong,球M,wrong,球M
2026_08_20/000,c1,v9,,纸箱子,3,24.07,1,1,correct,纸箱子,correct,纸箱子
2026_08_20/000,c1,v9,,苹果粉,4,2.09,1,1,correct,苹果粉,correct,苹果粉
2026_08_20/000,c1,v9,,白杯1,5,1.84,1,1,wrong,球R,correct,白杯1
2026_08_20/000,c1,v9,,水瓶,6,0.41,1,1,correct,水瓶,correct,水瓶
2026_08_20/000,c1,v9,,红杯,7,1.84,1,1,wrong,球R,wrong,白杯2
2026_08_20/000,c1,v9,,苹果红,8,0.41,1,1,wrong,球L,wrong,球L
2026_08_20/000,c1,v9,,球M,9,1.83,1,1,correct,球M,correct,球M
2026_08_20/000,c1,v9,,橘子,10,0.41,1,1,wrong,苹果红,wrong,苹果红
2026_08_20/000,c1,v9,,球L,11,1.71,1,1,correct,球L,correct,球L
2026_08_20/000,c1,v9,,白杯2,12,2.03,1,1,correct,白杯2,correct,白杯2
2026_08_20/001,c2,v9,,球R,1,1.28,0,1,correct,球R,correct,球R
2026_08_20/001,c2,v9,,球R,2,1.28,0,1,correct,球R,correct,球R
2026_08_20/001,c2,v9,,苹果红,3,0.13,0,0,unknown,,unknown,
2026_08_20/001,c2,v9,,球L,4,1.03,0,1,correct,球L,correct,球L
2026_08_20/001,c2,v9,,苹果粉,5,1.31,0,1,correct,苹果粉,correct,苹果粉
2026_08_20/001,c2,v9,,白杯1,6,1.28,0,0,unknown,,unknown,
2026_08_20/001,c2,v9,,球M,7,0.89,0,1,correct,球M,correct,球M
2026_08_20/001,c2,v9,,白杯1,8,1.28,0,0,unknown,,unknown,
2026_08_20/001,c2,v9,,苹果粉,9,1.31,0,1,correct,苹果粉,correct,苹果粉
2026_08_20/001,c2,v9,,球R,10,1.28,0,1,correct,球R,correct,球R
2026_08_20/001,c2,v9,,球M,11,0.89,0,1,correct,球M,correct,球M
2026_08_20/001,c2,v9,,白杯2,12,,0,1,correct,白杯2,correct,白杯2
2026_08_20/001,c2,v9,,白杯2,13,,0,1,correct,白杯2,correct,白杯2
2026_08_20/001,c2,v9,,球L,14,1.03,0,1,correct,球L,correct,球L
2026_08_20/001,c2,v9,,苹果红,15,0.13,0,1,correct,苹果红,none,
2026_08_20/002,c4,v9,beyond_occ,球L,1,0.84,0,0,unknown,,unknown,
2026_08_20/002,c4,v9,beyond_occ,球R,2,0.84,0,0,unknown,,unknown,
2026_08_20/002,c4,v9,beyond_occ,球R,3,0.84,0,0,unknown,,unknown,
2026_08_20/002,c4,v9,beyond_occ,球M,4,0.66,0,1,correct,球M,none,
2026_08_20/002,c4,v9,beyond_occ,球M,5,0.66,0,1,correct,球M,none,
2026_08_20/002,c4,v9,beyond_occ,球L,6,0.84,0,1,correct,球L,correct,球L
2026_08_20/002,c4,v9,beyond_occ,球R,7,0.84,0,0,unknown,,unknown,
2026_08_20/002,c4,v9,beyond_occ,球L,8,0.84,0,1,correct,球L,none,
2026_08_20/002,c4,v9,beyond_occ,球L,9,0.84,0,1,correct,球L,none,
2026_08_20/002,c4,v9,beyond_occ,球M,10,0.66,0,1,correct,球M,none,
