rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/000,e1,v7,,selfcal,11,苹果,fruit(4-5cm),4.22,≥2.5°,clear,0,0,schedule,1,hit,1,110.28,116.1,4,4,4,4,correct,苹果,2.55,1.72,0.03,0.974,1.005,0.011,0.589,0.83,correct_only,1,0,0,0,,correct,correct,correct,苹果,3.8,correct,苹果,3.8,1.008,,0.989,,1.67
2026_08_16/000,e1,v7,,selfcal,12,球R,ball(3cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,117.26,123.17,1,1,1,1,correct,球R,6.1,0.01,3.49,1.0,1.132,0.0,0.643,6.09,correct_only,1,0,0,0,,correct,correct,correct,球R,6.09,correct,球R,6.09,1.132,,1.0,,1.48
2026_08_16/001,e2,v7,stress,selfcal,1,球L,ball(3cm),2.1,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,15.68,19.4,2,2,1,1,correct,球L,2.67,0.5,2.17,0.766,0.222,0.077,0.968,2.17,correct_only,1,0,0,0,,correct,correct,correct,球L,2.55,correct,球L,2.17,0.222,,0.766,,3.17
2026_08_16/001,e2,v7,stress,selfcal,2,球R,ball(3cm),1.56,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,32.06,40.2,6,6,6,5,wrong,球L,0.45,0.12,-0.05,0.433,0.661,0.443,0.832,0.32,mixed,1,1,1,0,球L,correct,wrong,correct,球R,6.45,correct,球R,6.45,0.996,0.661,0.657,0.433,3.31
2026_08_16/001,e2,v7,stress,selfcal,3,苹果,fruit(4-5cm),1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,selfcal,4,石榴,fruit(4-5cm),1.56,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,selfcal,5,球M,ball(3cm),3.21,≥2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,43.24,45.72,1,1,1,1,correct,球M,2.18,0.5,1.68,0.988,0.459,0.002,0.958,1.68,correct_only,1,0,0,0,,correct,correct,correct,球M,1.68,correct,球M,1.68,0.459,,0.988,,3.61
2026_08_16/001,e2,v7,stress,selfcal,6,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,selfcal,7,苹果,fruit(4-5cm),1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,selfcal,8,石榴,fruit(4-5cm),1.56,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,selfcal,9,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,selfcal,10,球R,ball(3cm),1.56,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,59.99,66.81,2,2,2,2,correct,球R,2.78,0.5,2.28,0.524,0.794,0.587,0.891,2.27,correct_only,1,0,0,0,,correct,correct,correct,球R,5.8,correct,球R,5.8,0.794,,0.719,,3.33
2026_08_16/001,e2,v7,stress,selfcal,11,球L,ball(3cm),2.1,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,66.7,74.18,3,3,2,2,correct,球L,2.72,0.5,2.22,0.524,0.243,0.247,0.949,2.22,correct_only,1,0,0,0,,correct,correct,correct,球L,6.23,correct,球L,3.95,0.379,,0.56,,3.28
2026_08_16/001,e2,v7,stress,selfcal,12,球M,ball(3cm),3.21,≥2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,92.73,95.86,3,3,3,3,correct,球M,0.77,0.5,0.27,0.995,0.72,0.001,0.934,0.27,correct_only,1,0,0,0,,correct,correct,correct,球M,1.68,correct,球M,1.68,1.544,,1.0,,3.71
2026_08_16/s1,s1,v7,,selfcal,1,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,16.77,22.45,3,3,3,3,correct,球R,2.93,-0.76,0.55,1.0,1.042,0.0,0.702,3.68,correct_only,1,0,0,0,,correct,correct,correct,球R,5.8,correct,球R,5.8,1.167,,1.0,,1.61
2026_08_16/s1,s1,v7,,selfcal,2,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,23.61,29.38,1,1,1,1,correct,球L,5.65,-0.85,3.18,0.977,0.915,0.011,0.597,6.5,correct_only,1,0,0,0,,correct,correct,correct,球L,6.5,correct,球L,6.5,0.915,,0.977,,1.53
2026_08_16/s1,s1,v7,,selfcal,3,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,30.54,36.34,2,2,2,2,correct,球M,1.86,1.05,-0.64,1.0,1.243,0.0,0.505,0.81,correct_only,1,0,0,0,,correct,correct,correct,球M,4.33,correct,球M,4.33,1.243,,1.0,,1.48
2026_08_16/s1,s1,v7,,selfcal,4,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,37.5,43.32,3,3,3,3,correct,球L,1.83,1.12,-0.69,0.986,0.841,0.006,0.633,0.7,correct_only,1,0,0,0,,correct,correct,correct,球L,4.22,correct,球L,4.22,0.927,,0.986,,1.54
2026_08_16/s1,s1,v7,,selfcal,5,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,44.48,50.18,1,1,1,1,correct,球M,5.38,-0.64,2.98,1.0,1.287,0.0,0.487,6.01,correct_only,1,0,0,0,,correct,correct,correct,球M,6.01,correct,球M,6.01,1.287,,1.0,,1.5
2026_08_16/s1,s1,v7,,selfcal,6,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,51.34,57.08,5,5,5,5,correct,球M,1.67,0.97,-0.77,1.0,1.06,0.0,0.591,0.7,correct_only,1,0,0,0,,correct,correct,correct,球M,3.95,correct,球M,3.95,1.394,,1.0,,1.49
2026_08_16/s1,s1,v7,,selfcal,7,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,58.24,63.97,2,2,2,2,correct,球R,2.71,-1.24,0.28,1.0,1.09,0.0,0.672,3.95,correct_only,1,0,0,0,,correct,correct,correct,球R,6.39,correct,球R,6.39,1.18,,1.0,,1.59
2026_08_16/s1,s1,v7,,selfcal,8,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,65.37,71.11,2,2,2,2,correct,球L,3.6,-0.19,1.16,1.0,0.791,0.0,0.68,3.79,correct_only,1,0,0,0,,correct,correct,correct,球L,5.2,correct,球L,5.2,0.947,,1.0,,1.55
2026_08_16/s1,s1,v7,,selfcal,9,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,72.27,78.0,2,2,2,2,correct,球L,4.18,-1.02,1.75,1.0,0.798,0.0,0.682,5.2,correct_only,1,0,0,0,,correct,correct,correct,球L,6.17,correct,球L,6.17,0.89,,1.0,,1.56
2026_08_16/s1,s1,v7,,selfcal,10,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,79.16,84.98,5,5,5,5,correct,球M,1.85,0.71,-0.67,1.0,1.352,0.0,0.479,1.14,correct_only,1,0,0,0,,correct,correct,correct,球M,4.22,correct,球M,4.22,1.352,,1.0,,1.52
2026_08_16/s1,s1,v7,,selfcal,11,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,86.14,92.08,3,3,3,3,correct,球R,3.4,1.51,0.76,1.0,0.937,0.0,0.732,1.9,correct_only,1,0,0,0,,correct,correct,correct,球R,3.57,correct,球R,3.57,0.937,,1.0,,1.59
2026_08_16/s1,s1,v7,,selfcal,12,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,93.24,99.18,3,3,3,3,correct,球M,3.66,-1.21,1.02,1.0,1.397,0.0,0.443,4.87,correct_only,1,0,0,0,,correct,correct,correct,球M,6.39,correct,球M,6.39,1.424,,1.0,,1.49
2026_08_16/s1,s1,v7,,selfcal,13,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,100.34,106.28,1,1,1,1,correct,球R,5.64,-1.08,3.0,1.0,1.182,0.0,0.662,6.72,correct_only,1,0,0,0,,correct,correct,correct,球R,6.72,correct,球R,6.72,1.182,,1.0,,1.61
2026_08_16/s1,s1,v7,,selfcal,14,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,107.44,113.4,3,3,3,3,correct,球R,3.92,-0.95,1.26,1.0,1.191,0.0,0.66,4.87,correct_only,1,0,0,0,,correct,correct,correct,球R,6.61,correct,球R,6.61,1.191,,1.0,,1.61
2026_08_16/s1,s1,v7,,selfcal,15,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,114.56,120.57,1,1,1,1,correct,球L,5.74,-0.97,3.03,0.974,0.91,0.011,0.622,6.72,correct_only,1,0,0,0,,correct,correct,correct,球L,6.72,correct,球L,6.72,0.91,,0.974,,1.55
