rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,vis_first,vis_obj,vis_cap,vis_share,vis_A,vis_any,vis_lcs,noocc_first,noocc_obj,noocc_cap,noocc_share,noocc_A,noocc_any,noocc_lcs,vis_best_target_cap,noocc_best_target_cap,vis_best_wrong_cap,noocc_best_wrong_cap
2026_08_16/s1,9,球L,≥2.5°,clear,,5.02,1.58,1,correct,球L,0.607,1.0,0.0,correct_only,hit,correct,球L,0.607,1.0,0.0,correct_only,hit,0.607,0.607,,
2026_08_16/s1,10,球M,≥2.5°,clear,,7.69,1.56,1,correct,球M,0.573,1.0,0.0,correct_only,hit,correct,球M,0.573,1.0,0.0,correct_only,hit,1.07,1.07,,
2026_08_16/s1,11,球R,≥2.5°,clear,,5.41,1.6,1,correct,球R,0.463,1.0,0.0,correct_only,hit,correct,球R,0.463,1.0,0.0,correct_only,hit,0.463,0.463,,
2026_08_16/s1,12,球M,≥2.5°,clear,,7.69,1.5,1,correct,球M,0.721,1.0,0.0,correct_only,hit,correct,球M,0.721,1.0,0.0,correct_only,hit,1.127,1.127,,
2026_08_16/s1,13,球R,≥2.5°,clear,,5.41,1.61,1,correct,球R,0.996,1.0,0.0,correct_only,hit,correct,球R,0.996,1.0,0.0,correct_only,hit,0.996,0.996,,
2026_08_16/s1,14,球R,≥2.5°,clear,,5.41,1.62,1,correct,球R,0.848,1.0,0.0,correct_only,hit,correct,球R,0.848,1.0,0.0,correct_only,hit,0.848,0.848,,
2026_08_16/s1,15,球L,≥2.5°,clear,,5.02,1.59,1,correct,球L,0.535,1.0,0.0,correct_only,hit,correct,球L,0.535,1.0,0.0,correct_only,hit,0.535,0.535,,
2026_08_16/s2,1,球M,≥2.5°,clear,,4.47,2.35,1,correct,球M,0.868,1.0,0.0,correct_only,hit,correct,球M,0.868,1.0,0.0,correct_only,hit,0.868,0.868,,
2026_08_16/s2,2,球R,≥2.5°,clear,,2.55,2.48,1,correct,球R,0.704,0.995,0.004,correct_only,hit,correct,球R,0.704,0.995,0.004,correct_only,hit,0.704,0.704,,
2026_08_16/s2,3,球M,≥2.5°,clear,,4.47,2.45,1,correct,球M,1.126,1.0,0.0,correct_only,hit,correct,球M,1.126,1.0,0.0,correct_only,hit,1.224,1.224,,
2026_08_16/s2,4,球R,≥2.5°,clear,,2.55,2.49,1,correct,球R,1.192,0.965,0.027,correct_only,hit,correct,球R,1.192,0.964,0.027,correct_only,hit,1.283,1.283,,
2026_08_16/s2,5,球L,≥2.5°,clear,,2.85,2.43,1,correct,球L,0.952,0.79,0.085,correct_only,hit,correct,球L,0.952,0.789,0.085,correct_only,hit,0.962,0.962,0.178,0.178
2026_08_16/s2,6,球R,≥2.5°,clear,,2.55,2.46,1,correct,球R,1.083,0.959,0.031,correct_only,hit,correct,球R,1.083,0.959,0.031,correct_only,hit,1.083,1.083,,
2026_08_16/s2,7,球M,≥2.5°,clear,,4.47,2.45,1,correct,球M,1.325,1.0,0.0,mixed,hit,correct,球M,1.325,1.0,0.0,mixed,hit,1.325,1.325,0.371,0.372
2026_08_16/s2,8,球L,≥2.5°,clear,,2.85,2.47,1,correct,球L,1.058,0.855,0.051,correct_only,hit,correct,球L,1.058,0.853,0.053,correct_only,hit,1.058,1.058,,
2026_08_16/s2,9,球R,≥2.5°,clear,,2.55,2.55,1,correct,球R,1.028,0.991,0.007,correct_only,hit,correct,球R,1.028,0.991,0.007,correct_only,hit,1.028,1.028,,
2026_08_16/s2,10,球R,≥2.5°,clear,,2.55,2.52,1,correct,球R,1.289,0.911,0.074,correct_only,hit,correct,球R,1.289,0.911,0.074,correct_only,hit,1.301,1.301,,
2026_08_16/s2,11,球M,≥2.5°,clear,,4.47,2.39,1,correct,球M,1.246,1.0,0.0,correct_only,hit,correct,球M,1.246,1.0,0.0,correct_only,hit,1.306,1.306,,
2026_08_16/s2,12,球L,≥2.5°,clear,,2.85,2.47,1,correct,球L,1.113,0.917,0.037,correct_only,hit,correct,球L,1.113,0.916,0.037,correct_only,hit,1.113,1.113,,
2026_08_16/s2,13,球M,≥2.5°,clear,,4.47,2.4,1,correct,球M,0.96,1.0,0.0,correct_only,hit,correct,球M,0.96,1.0,0.0,correct_only,hit,1.308,1.308,,
2026_08_16/s2,14,球L,≥2.5°,clear,,2.85,2.47,1,correct,球L,0.888,0.728,0.123,correct_only,hit,correct,球L,0.888,0.726,0.123,correct_only,hit,1.099,1.099,0.185,0.187
2026_08_16/s2,15,球L,≥2.5°,clear,,2.85,2.46,1,correct,球L,1.031,0.794,0.078,correct_only,hit,correct,球L,1.031,0.793,0.079,correct_only,hit,1.058,1.058,0.086,0.086
2026_08_16/s3,1,球M,≥2.5°,clear,,3.19,3.5,1,none,,,,,none,hit,none,,,,,none,hit,0.067,0.067,,
2026_08_16/s3,2,球L,1.0–2.5°,clear,,2.0,3.35,1,correct,球L,0.53,0.974,0.009,correct_only,hit,correct,球L,0.53,0.972,0.009,correct_only,hit,0.53,0.53,,
2026_08_16/s3,3,球L,1.0–2.5°,clear,,2.0,3.35,1,correct,球L,0.537,1.0,0.0,correct_only,hit,correct,球L,0.538,1.0,0.0,correct_only,hit,0.537,0.538,,
2026_08_16/s3,4,球M,≥2.5°,clear,,3.19,3.91,1,correct,球M,0.683,0.978,0.007,correct_only,hit,correct,球M,0.683,0.972,0.009,correct_only,hit,0.95,0.95,,
2026_08_16/s3,5,球R,1.0–2.5°,clear,,1.53,3.4,1,correct,球R,0.414,1.0,0.0,correct_only,hit,correct,球R,0.414,1.0,0.0,correct_only,hit,0.414,0.414,,
2026_08_16/s3,6,球R,1.0–2.5°,clear,,1.53,3.39,1,correct,球R,0.497,1.0,0.0,correct_only,hit,correct,球R,0.497,0.996,0.002,correct_only,hit,0.497,0.497,,
2026_08_16/s3,7,球L,1.0–2.5°,clear,,2.0,3.34,1,correct,球L,0.643,0.957,0.014,correct_only,hit,correct,球L,0.648,0.956,0.014,correct_only,hit,1.175,1.181,0.102,0.106
