rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,v2s15_first,v2s15_obj,v2s15_cap,v2s15_share,v2s15_A,v2s15_any,v2s15_lcs,mass15_first,mass15_obj,mass15_cap,mass15_share,mass15_A,mass15_any,mass15_lcs,v2s15_best_target_cap,mass15_best_target_cap,v2s15_best_wrong_cap,mass15_best_wrong_cap
2026_08_16/s1,8,球L,≥2.5°,clear,,5.02,1.56,1,correct,球L,0.806,1.0,0.0,correct_only,hit,correct,球L,0.806,1.0,0.0,correct_only,hit,0.937,0.937,,
2026_08_16/s1,9,球L,≥2.5°,clear,,5.02,1.58,1,correct,球L,0.767,1.0,0.0,correct_only,hit,correct,球L,0.767,1.0,0.0,correct_only,hit,0.767,0.767,,
2026_08_16/s1,10,球M,≥2.5°,clear,,7.69,1.56,1,correct,球M,0.979,1.0,0.0,correct_only,hit,correct,球M,0.979,1.0,0.0,correct_only,hit,1.358,1.358,,
2026_08_16/s1,11,球R,≥2.5°,clear,,5.41,1.6,1,correct,球R,0.73,1.0,0.0,correct_only,hit,correct,球R,0.73,1.0,0.0,correct_only,hit,0.73,0.73,,
2026_08_16/s1,12,球M,≥2.5°,clear,,7.69,1.5,1,correct,球M,1.16,1.0,0.0,correct_only,hit,correct,球M,1.16,1.0,0.0,correct_only,hit,1.413,1.413,,
2026_08_16/s1,13,球R,≥2.5°,clear,,5.41,1.61,1,correct,球R,1.141,1.0,0.0,correct_only,hit,correct,球R,1.141,1.0,0.0,correct_only,hit,1.141,1.141,,
2026_08_16/s1,14,球R,≥2.5°,clear,,5.41,1.62,1,correct,球R,1.06,0.998,0.001,correct_only,hit,correct,球R,1.06,0.998,0.001,correct_only,hit,1.06,1.06,,
2026_08_16/s1,15,球L,≥2.5°,clear,,5.02,1.59,1,correct,球L,0.718,1.0,0.0,correct_only,hit,correct,球L,0.718,1.0,0.0,correct_only,hit,0.718,0.718,,
2026_08_16/s2,1,球M,≥2.5°,clear,,4.47,2.35,1,correct,球M,1.246,1.0,0.0,correct_only,hit,correct,球M,1.246,1.0,0.0,correct_only,hit,1.246,1.246,,
2026_08_16/s2,2,球R,≥2.5°,clear,,2.55,2.48,1,correct,球R,0.838,0.858,0.138,correct_only,hit,correct,球R,0.838,0.858,0.138,correct_only,hit,0.838,0.838,,
