rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,s40,2.64,3.09,0.46,0.901,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s40,5.17,6.29,1.11,1.106,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s40,15.38,15.7,0.32,1.034,,-1,0.0,0.0,,,,1.0,object#35,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s40,15.98,16.38,0.4,0.667,,-1,0.0,0.0,,,,1.0,object#94,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s40,18.3,18.6,0.3,0.462,,-1,0.0,0.0,,,,1.0,object#67,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s40,23.21,24.77,1.55,1.052,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s40,24.82,25.15,0.33,0.962,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s40,25.48,26.56,1.07,0.962,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s40,27.5,27.81,0.31,1.01,,-1,0.0,0.0,,,,1.0,object#67,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s40,29.64,29.98,0.34,0.748,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s40,31.09,31.45,0.36,1.171,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s40,32.16,32.71,0.55,1.208,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s40,35.34,35.62,0.27,1.359,石榴,78,0.74,0.053,0.615,0.283,0.269,0.929,object#17,,1,1,,,,3,"[{""name"": ""石榴"", ""share"": 0.74, ""q"": 0.053, ""capture"": 0.615, ""miss_deg"": 3.95, ""labels"": [78]}, {""name"": ""球M"", ""share"": 0.199, ""q"": 0.014, ""capture"": 0.174, ""miss_deg"": 7.49, ""labels"": [321]}, {""name"": ""球R"", ""share"": 0.061, ""q"": 0.004, ""capture"": 0.071, ""miss_deg"": 9.2, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,s40,35.68,36.01,0.32,1.335,苹果,300,0.363,0.078,0.771,0.409,1.444,0.784,object#316,,0,0,,,,3,"[{""name"": ""苹果"", ""share"": 0.363, ""q"": 0.078, ""capture"": 0.771, ""miss_deg"": 2.89, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.524, ""q"": 0.113, ""capture"": 0.315, ""miss_deg"": 6.08, ""labels"": [323]}, {""name"": ""球L"", ""share"": 0.113, ""q"": 0.024, ""capture"": 0.259, ""miss_deg"": 6.57, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,s40,39.06,39.33,0.27,1.667,石榴,78,0.682,0.072,1.184,0.644,0.444,0.894,object#17,,1,1,,,,3,"[{""name"": ""石榴"", ""share"": 0.682, ""q"": 0.072, ""capture"": 1.184, ""miss_deg"": 0.0, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.303, ""q"": 0.032, ""capture"": 0.763, ""miss_deg"": 2.94, ""labels"": [322]}, {""name"": ""球M"", ""share"": 0.015, ""q"": 0.002, ""capture"": 0.028, ""miss_deg"": 10.69, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,s40,39.67,40.14,0.47,1.663,苹果,300,0.465,0.076,1.153,0.268,0.247,0.836,object#316,,1,0,,,,3,"[{""name"": ""苹果"", ""share"": 0.465, ""q"": 0.076, ""capture"": 1.153, ""miss_deg"": 0.0, ""labels"": [300]}, {""name"": ""球L"", ""share"": 0.115, ""q"": 0.019, ""capture"": 0.309, ""miss_deg"": 6.13, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.416, ""q"": 0.068, ""capture"": 0.276, ""miss_deg"": 6.42, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s40,40.26,41.14,0.88,1.65,苹果,300,0.481,0.079,1.189,0.232,0.869,0.836,object#316,,1,0,,,,3,"[{""name"": ""苹果"", ""share"": 0.481, ""q"": 0.079, ""capture"": 1.189, ""miss_deg"": 0.0, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.418, ""q"": 0.068, ""capture"": 0.276, ""miss_deg"": 6.42, ""labels"": [323]}, {""name"": ""球L"", ""share"": 0.095, ""q"": 0.016, ""capture"": 0.255, ""miss_deg"": 6.61, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,s40,41.26,44.47,3.22,1.662,苹果,300,0.487,0.077,1.159,0.259,0.238,0.842,object#316,,1,0,1,苹果,1,3,"[{""name"": ""苹果"", ""share"": 0.487, ""q"": 0.077, ""capture"": 1.159, ""miss_deg"": 0.0, ""labels"": [300]}, {""name"": ""球L"", ""share"": 0.116, ""q"": 0.018, ""capture"": 0.3, ""miss_deg"": 6.21, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.396, ""q"": 0.062, ""capture"": 0.252, ""miss_deg"": 6.64, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s40,44.58,45.97,1.39,1.657,苹果,300,0.438,0.076,1.142,0.297,0.272,0.827,object#316,,1,0,1,苹果,1,3,"[{""name"": ""苹果"", ""share"": 0.438, ""q"": 0.076, ""capture"": 1.142, ""miss_deg"": 0.0, ""labels"": [300]}, {""name"": ""球L"", ""share"": 0.119, ""q"": 0.021, ""capture"": 0.339, ""miss_deg"": 5.88, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.435, ""q"": 0.075, ""capture"": 0.304, ""miss_deg"": 6.17, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s40,46.03,46.46,0.44,1.615,苹果,300,0.323,0.057,0.783,0.433,1.551,0.823,object#17,,0,0,1,苹果,1,3,"[{""name"": ""苹果"", ""share"": 0.323, ""q"": 0.057, ""capture"": 0.783, ""miss_deg"": 2.8, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.501, ""q"": 0.089, ""capture"": 0.339, ""miss_deg"": 5.88, ""labels"": [323]}, {""name"": ""球L"", ""share"": 0.105, ""q"": 0.019, ""capture"": 0.291, ""miss_deg"": 6.28, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,s40,46.52,47.29,0.77,1.649,苹果,300,0.432,0.074,1.121,0.277,0.255,0.828,object#316,,1,0,,,,3,"[{""name"": ""苹果"", ""share"": 0.432, ""q"": 0.074, ""capture"": 1.121, ""miss_deg"": 0.0, ""labels"": [300]}, {""name"": ""球L"", ""share"": 0.11, ""q"": 0.019, ""capture"": 0.31, ""miss_deg"": 6.12, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.447, ""q"": 0.077, ""capture"": 0.306, ""miss_deg"": 6.16, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s40,47.81,50.73,2.92,1.413,球M,321,0.948,0.12,1.583,0.022,0.024,0.874,object#17,,1,1,,,,3,"[{""name"": ""球M"", ""share"": 0.948, ""q"": 0.12, ""capture"": 1.583, ""miss_deg"": 0.0, ""labels"": [321]}, {""name"": ""石榴"", ""share"": 0.023, ""q"": 0.003, ""capture"": 0.035, ""miss_deg"": 10.34, ""labels"": [78]}, {""name"": ""香蕉"", ""share"": 0.029, ""q"": 0.004, ""capture"": 0.011, ""miss_deg"": 12.01, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s40,50.89,51.23,0.34,1.456,球M,321,0.923,0.11,1.508,0.055,0.056,0.881,object#17,,1,1,2,球M,1,3,"[{""name"": ""球M"", ""share"": 0.923, ""q"": 0.11, ""capture"": 1.508, ""miss_deg"": 0.0, ""labels"": [321]}, {""name"": ""石榴"", ""share"": 0.052, ""q"": 0.006, ""capture"": 0.083, ""miss_deg"": 8.93, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.017, ""q"": 0.002, ""capture"": 0.037, ""miss_deg"": 10.27, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,s40,51.28,54.3,3.02,1.385,球M,321,0.945,0.122,1.54,0.023,0.024,0.871,object#17,,1,1,2,球M,1,3,"[{""name"": ""球M"", ""share"": 0.945, ""q"": 0.122, ""capture"": 1.54, ""miss_deg"": 0.0, ""labels"": [321]}, {""name"": ""石榴"", ""share"": 0.023, ""q"": 0.003, ""capture"": 0.036, ""miss_deg"": 10.31, ""labels"": [78]}, {""name"": ""香蕉"", ""share"": 0.032, ""q"": 0.004, ""capture"": 0.012, ""miss_deg"": 11.88, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s40,54.5,54.95,0.45,1.59,石榴,78,0.6,0.07,1.098,0.869,0.65,0.884,object#17,,1,1,,,,3,"[{""name"": ""石榴"", ""share"": 0.6, ""q"": 0.07, ""capture"": 1.098, ""miss_deg"": 0.0, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.39, ""q"": 0.045, ""capture"": 0.954, ""miss_deg"": 1.23, ""labels"": [322]}, {""name"": ""球M"", ""share"": 0.01, ""q"": 0.001, ""capture"": 0.019, ""miss_deg"": 11.23, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,s40,55.08,57.54,2.46,1.63,石榴,78,0.676,0.072,1.185,0.69,0.476,0.893,object#17,,1,1,3,石榴,1,3,"[{""name"": ""石榴"", ""share"": 0.676, ""q"": 0.072, ""capture"": 1.185, ""miss_deg"": 0.0, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.322, ""q"": 0.034, ""capture"": 0.818, ""miss_deg"": 2.54, ""labels"": [322]}, {""name"": ""球M"", ""share"": 0.002, ""q"": 0.0, ""capture"": 0.003, ""miss_deg"": 13.65, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,s40,57.64,60.9,3.26,1.649,石榴,78,0.653,0.07,1.157,0.761,0.525,0.892,object#17,,1,1,3,石榴,1,3,"[{""name"": ""石榴"", ""share"": 0.653, ""q"": 0.07, ""capture"": 1.157, ""miss_deg"": 0.0, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.343, ""q"": 0.037, ""capture"": 0.881, ""miss_deg"": 2.01, ""labels"": [322]}, {""name"": ""球M"", ""share"": 0.004, ""q"": 0.0, ""capture"": 0.008, ""miss_deg"": 12.36, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,s40,61.48,64.42,2.94,1.51,球L,320,0.217,0.042,0.561,0.866,0.945,0.805,object#316,,0,0,4,香蕉,0,3,"[{""name"": ""球L"", ""share"": 0.217, ""q"": 0.042, ""capture"": 0.561, ""miss_deg"": 4.3, ""labels"": [320]}, {""name"": ""苹果"", ""share"": 0.205, ""q"": 0.04, ""capture"": 0.486, ""miss_deg"": 4.81, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.491, ""q"": 0.096, ""capture"": 0.324, ""miss_deg"": 6.01, ""labels"": [323]}]"
