rec,card,era,flags,cfg,duration_s,window_src,reliable,n_items,n_items_with_window,window_cover_s,n_finals,n_obj_finals,n_acc,n_acc_in_window,n_acc_wrong_in_window,n_extra,extra_per_min,extra_objs,extra_dur_s
2026_08_16/000,e1,v7,,s02,129.8,lcs_ends,1,12,12,68.5,62,39,27,16,3,11,5.09,苹果:3|球L:3|球M:2|香蕉:2|石榴:1,10.0
2026_08_16/001,e2,v7,stress,s02,104.5,fallback_lcs_windows,0,12,6,31.8,50,10,0,0,0,0,0.0,,0
2026_08_16/s1,s1,v7,,s02,128.1,lcs_ends,1,15,15,87.3,46,36,32,26,0,6,2.81,球L:3|球M:2|球R:1,8.4
2026_08_16/s2,s2,v7,,s02,128.5,lcs_ends,1,15,15,87.4,70,54,46,30,1,16,7.47,球M:10|球L:3|香蕉:2|球R:1,18.3
2026_08_16/s3,s3,v7,,s02,128.6,lcs_ends,1,15,15,87.4,53,22,7,5,0,2,0.93,球M:2,2.8
2026_08_16/s4,s4,v8,,s02,137.7,lcs_ends(B from A + version delta),1,15,15,87.4,56,12,1,1,0,0,0.0,,0
2026_08_16/s6,s6,v8,,s02,138.1,lcs_ends(B from A + version delta),1,15,15,87.3,77,31,18,10,2,8,3.48,球M:5|球L:3,9.4
2026_08_18/000,s7,v8,,s02,136.5,lcs_ends,1,15,15,87.3,93,66,41,30,6,11,4.84,球M:8|球R:2|球L:1,8.0
2026_08_20/000,c1,v9,,s02,115.0,lcs_ends(B from A + version delta),1,12,12,68.2,92,69,49,32,15,17,8.87,水瓶:6|白杯1:4|球L:2|球M:2|苹果红:2|红杯:1,13.2
2026_08_20/001,c2,v9,,s02,134.9,fallback_lcs_windows,0,15,12,52.1,114,80,29,11,0,18,8.01,球L:6|球R:4|苹果红:3|球M:2|白杯1:1|香蕉:1|苹果粉:1,14.7
2026_08_20/002,c4,v9,beyond_occ,s02,134.7,fallback_lcs_windows,0,15,10,68.2,68,34,5,1,0,4,1.78,球M:2|水瓶:1|球L:1,5.0
2026_08_20/003,c4,v9,beyond_occ,s02,135.2,fallback_lcs_windows,0,15,7,26.8,74,34,6,0,0,6,2.66,球L:3|球R:1|苹果红:1|球M:1,4.3
2026_08_25/c1_1,c4,v9,beyond_occ,s02,133.9,fallback_lcs_windows,0,15,8,61.6,41,7,0,0,0,0,0.0,,0
2026_08_25/c1_2,c4,v9,,s02,133.0,lcs_ends,1,15,15,85.2,43,10,0,0,0,0,0.0,,0
2026_08_25/c1_3,c4,v9,,s02,130.9,fallback_lcs_windows,0,15,9,75.8,55,21,9,3,1,6,2.75,球L:4|球M:1|水瓶:1,21.1
2026_08_25/u3,u3,v9,walking,s02,131.8,lcs_ends,1,15,15,85.2,102,33,6,4,1,2,0.91,球L:1|球M:1,1.3
