rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/001,e2,v7,stress,vis,3,苹果,fruit(4-5cm),1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,vis,4,石榴,fruit(4-5cm),1.56,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,vis,5,球M,ball(3cm),3.21,≥2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,43.24,45.72,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.008,,1.0,,3.61
2026_08_16/001,e2,v7,stress,vis,6,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,vis,7,苹果,fruit(4-5cm),1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,vis,8,石榴,fruit(4-5cm),1.56,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,vis,9,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,vis,10,球R,ball(3cm),1.56,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,59.99,66.81,2,2,2,2,correct,球R,2.78,0.5,2.28,0.779,0.575,0.207,0.879,2.27,correct_only,1,0,0,0,,correct,correct,correct,0.575,,1.0,,3.33
2026_08_16/001,e2,v7,stress,vis,11,球L,ball(3cm),2.1,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,66.7,74.18,3,3,1,1,correct,球L,7.18,4.91,6.68,0.819,0.486,0.072,0.863,2.27,correct_only,1,0,0,0,,correct,correct,correct,0.486,,0.998,,3.28
2026_08_16/001,e2,v7,stress,vis,12,球M,ball(3cm),3.21,≥2.5°,occluded(front-capture),0,1,lcs_episode,0,miss,1,92.73,95.86,3,2,1,1,correct,球M,2.83,2.4,2.33,1.0,0.304,0.0,0.967,0.43,correct_only,1,0,0,0,,correct,correct,correct,0.304,,1.0,,4.14
2026_08_16/s1,s1,v7,,vis,1,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,16.77,22.45,3,3,3,3,correct,球R,2.93,-0.76,0.55,1.0,0.91,0.0,0.505,3.68,correct_only,1,0,0,0,,correct,correct,correct,1.056,,1.0,,1.61
2026_08_16/s1,s1,v7,,vis,2,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,23.61,29.38,1,1,1,1,correct,球L,5.65,-0.85,3.18,1.0,1.012,0.0,0.25,6.5,correct_only,1,0,0,0,,correct,correct,correct,1.012,,1.0,,1.53
2026_08_16/s1,s1,v7,,vis,3,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,30.54,36.34,2,2,2,2,correct,球M,1.86,1.05,-0.64,1.0,0.998,0.0,0.299,0.81,correct_only,1,0,0,0,,correct,correct,correct,0.998,,1.0,,1.49
2026_08_16/s1,s1,v7,,vis,4,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,37.5,43.32,3,3,2,2,correct,球L,1.83,1.12,-0.69,1.0,0.746,0.0,0.447,0.7,correct_only,1,0,0,0,,correct,correct,correct,0.988,0.132,1.0,0.608,1.54
2026_08_16/s1,s1,v7,,vis,5,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,44.48,50.18,1,1,1,1,correct,球M,5.38,-0.64,2.98,1.0,1.019,0.0,0.284,6.01,correct_only,1,0,0,0,,correct,correct,correct,1.019,,1.0,,1.5
2026_08_16/s1,s1,v7,,vis,6,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,51.34,57.08,4,4,4,4,correct,球M,2.81,-0.71,0.37,1.0,1.006,0.0,0.293,3.52,correct_only,1,0,0,0,,correct,correct,correct,1.089,,1.0,,1.49
2026_08_16/s1,s1,v7,,vis,7,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,58.24,63.97,2,2,2,2,correct,球R,2.71,-1.24,0.28,1.0,1.106,0.0,0.398,3.95,correct_only,1,0,0,0,,correct,correct,correct,1.106,,1.0,,1.59
2026_08_16/s1,s1,v7,,vis,8,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,65.37,71.11,2,2,2,2,correct,球L,3.6,-0.19,1.16,1.0,0.745,0.0,0.477,3.79,correct_only,1,0,0,0,,correct,correct,correct,0.933,,1.0,,1.56
2026_08_16/s1,s1,v7,,vis,9,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,72.27,78.0,1,1,1,1,correct,球L,5.21,-1.02,2.78,1.0,0.607,0.0,0.574,6.23,correct_only,1,0,0,0,,correct,correct,correct,0.607,,1.0,,1.58
2026_08_16/s1,s1,v7,,vis,10,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,79.16,84.98,6,6,5,5,correct,球M,1.25,0.66,-1.27,1.0,0.573,0.0,0.606,0.6,correct_only,1,0,0,0,,correct,correct,correct,1.07,,1.0,,1.56
2026_08_16/s1,s1,v7,,vis,11,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,86.14,92.08,1,1,1,1,correct,球R,5.41,1.51,2.77,1.0,0.463,0.0,0.748,3.9,correct_only,1,0,0,0,,correct,correct,correct,0.463,,1.0,,1.6
2026_08_16/s1,s1,v7,,vis,12,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,93.24,99.18,2,2,2,2,correct,球M,4.42,-1.21,1.78,1.0,0.721,0.0,0.493,5.63,correct_only,1,0,0,0,,correct,correct,correct,1.127,,1.0,,1.5
2026_08_16/s1,s1,v7,,vis,13,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,100.34,106.28,1,1,1,1,correct,球R,5.64,-1.08,3.0,1.0,0.996,0.0,0.458,6.72,correct_only,1,0,0,0,,correct,correct,correct,0.996,,1.0,,1.61
2026_08_16/s1,s1,v7,,vis,14,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,107.44,113.4,3,3,2,2,correct,球R,3.92,-0.95,1.26,1.0,0.848,0.0,0.539,4.87,correct_only,1,0,0,0,,correct,correct,correct,0.848,,1.0,,1.62
2026_08_16/s1,s1,v7,,vis,15,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,114.56,120.57,1,1,1,1,correct,球L,5.74,-0.97,3.03,1.0,0.535,0.0,0.624,6.72,correct_only,1,0,0,0,,correct,correct,correct,0.535,,1.0,,1.59
2026_08_16/s2,s2,v7,,vis,1,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,18.18,23.88,1,1,1,1,correct,球M,5.74,2.11,3.34,1.0,0.868,0.0,0.677,3.63,correct_only,1,0,0,0,,correct,correct,correct,0.868,,1.0,,2.35
2026_08_16/s2,s2,v7,,vis,2,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,25.04,30.76,2,2,2,2,correct,球R,2.98,-0.81,0.56,0.995,0.704,0.004,0.809,3.79,correct_only,1,0,0,0,,correct,correct,correct,0.704,,0.996,,2.48
2026_08_16/s2,s2,v7,,vis,3,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,31.92,37.72,5,5,5,5,correct,球M,1.51,0.7,-0.99,1.0,1.126,0.0,0.581,0.81,correct_only,1,0,0,0,,correct,correct,correct,1.224,,1.0,,2.45
2026_08_16/s2,s2,v7,,vis,4,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,38.88,44.65,3,3,3,3,correct,球R,3.41,-0.93,0.94,0.965,1.192,0.027,0.666,4.33,correct_only,1,0,0,0,,correct,correct,correct,1.283,,0.987,,2.49
2026_08_16/s2,s2,v7,,vis,5,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,45.81,51.53,3,3,2,2,correct,球L,3.44,-0.89,1.02,0.79,0.952,0.085,0.535,4.33,correct_only,1,0,0,0,,correct,correct,correct,0.962,0.178,0.825,0.857,2.43
2026_08_16/s2,s2,v7,,vis,6,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,52.69,58.39,2,2,2,2,correct,球R,4.39,-0.81,1.99,0.959,1.083,0.031,0.695,5.2,correct_only,1,0,0,0,,correct,correct,correct,1.083,,0.959,,2.46
2026_08_16/s2,s2,v7,,vis,7,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,59.55,65.33,4,4,4,4,correct,球M,2.25,1.28,-0.23,1.0,1.325,0.0,0.507,0.97,mixed,1,1,1,1,香蕉,correct,correct,correct,1.325,0.371,1.0,0.712,2.45
2026_08_16/s2,s2,v7,,vis,8,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,66.69,72.44,1,1,1,1,correct,球L,5.46,-0.39,3.01,0.855,1.058,0.051,0.539,5.85,correct_only,1,0,0,0,,correct,correct,correct,1.058,,0.855,,2.47
2026_08_16/s2,s2,v7,,vis,9,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,73.6,79.28,1,1,1,1,correct,球R,5.49,2.89,3.11,0.991,1.028,0.007,0.736,2.6,correct_only,1,0,0,0,,correct,correct,correct,1.028,,0.991,,2.55
2026_08_16/s2,s2,v7,,vis,10,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,80.44,86.23,3,3,3,3,correct,球R,2.77,-0.37,0.28,0.911,1.289,0.074,0.617,3.14,correct_only,1,0,0,0,,correct,correct,correct,1.301,,0.966,,2.52
2026_08_16/s2,s2,v7,,vis,11,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,87.39,93.38,5,5,5,5,correct,球M,1.73,1.3,-0.96,1.0,1.246,0.0,0.571,0.43,correct_only,1,0,0,0,,correct,correct,correct,1.306,,1.0,,2.39
