cfg,A_thr,n,covered,coverage,correct,wrong,acc_covered
noocc,0.1,175,88,0.503,81,7,0.92
noocc,0.2,175,100,0.571,90,10,0.9
noocc,0.25,175,100,0.571,90,10,0.9
noocc,0.3,175,101,0.577,91,10,0.901
noocc,0.4,175,103,0.589,92,11,0.893
noocc,0.5,175,106,0.606,94,12,0.887
noocc,0.6,175,109,0.623,96,13,0.881
noocc,0.75,175,113,0.646,99,14,0.876
noocc,1.0,175,113,0.646,99,14,0.876
noocc,9.0,175,113,0.646,99,14,0.876
