rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,s05,15.38,15.7,0.32,1.034,,-1,0.0,0.0,,,,1.0,object#35,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s05,15.98,16.38,0.4,0.667,,-1,0.0,0.0,,,,1.0,object#94,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s05,18.3,18.6,0.3,0.462,,-1,0.0,0.0,,,,1.0,object#67,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s05,24.82,25.15,0.33,0.962,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s05,25.48,26.56,1.07,0.962,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s05,27.5,27.81,0.31,1.01,,-1,0.0,0.0,,,,1.0,object#67,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s05,29.64,29.98,0.34,0.748,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s05,35.34,35.62,0.27,1.359,,-1,0.0,0.0,,,,1.0,object#34,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s05,35.68,36.01,0.32,1.335,香蕉,323,1.0,0.023,0.023,0.0,0.0,0.977,object#316,,0,0,,,,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.023, ""capture"": 0.023, ""miss_deg"": 1.37, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s05,39.06,39.33,0.27,1.667,石榴,78,1.0,0.776,0.776,0.0,0.0,0.224,object#17,,1,1,,,,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.776, ""capture"": 0.776, ""miss_deg"": 0.36, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,s05,39.67,40.14,0.47,1.663,苹果,300,1.0,0.989,0.989,0.0,0.0,0.011,object#316,,1,1,,,,1,"[{""name"": ""苹果"", ""share"": 1.0, ""q"": 0.989, ""capture"": 0.989, ""miss_deg"": 0.08, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,s05,40.26,41.14,0.88,1.65,苹果,300,1.0,0.971,0.971,0.0,0.0,0.029,object#316,,1,1,,,,1,"[{""name"": ""苹果"", ""share"": 1.0, ""q"": 0.971, ""capture"": 0.971, ""miss_deg"": 0.12, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,s05,41.26,44.47,3.22,1.662,苹果,300,1.0,0.988,0.988,0.0,0.0,0.012,object#316,,1,1,1,苹果,1,1,"[{""name"": ""苹果"", ""share"": 1.0, ""q"": 0.988, ""capture"": 0.988, ""miss_deg"": 0.08, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,s05,44.58,45.97,1.39,1.657,苹果,300,1.0,0.851,0.851,0.0,0.0,0.149,object#316,,1,1,1,苹果,1,1,"[{""name"": ""苹果"", ""share"": 1.0, ""q"": 0.851, ""capture"": 0.851, ""miss_deg"": 0.28, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,s05,46.03,46.46,0.44,1.615,香蕉,323,1.0,0.534,0.534,0.0,0.0,0.466,object#10,,1,1,1,苹果,0,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.534, ""capture"": 0.534, ""miss_deg"": 0.56, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s05,46.52,47.29,0.77,1.649,苹果,300,1.0,0.666,0.666,0.0,0.0,0.334,object#316,,1,1,,,,1,"[{""name"": ""苹果"", ""share"": 1.0, ""q"": 0.666, ""capture"": 0.666, ""miss_deg"": 0.45, ""labels"": [300]}]"
