rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,v1_votescope_all,46.52,47.29,0.77,1.649,苹果,300,0.39,,,,0.713,0.1,,,1,0,,,,3,"[{""name"": ""苹果"", ""share"": 0.39, ""labels"": [300]}, {""name"": ""object#316"", ""share"": 0.278, ""labels"": [316]}, {""name"": ""香蕉"", ""share"": 0.138, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,47.81,50.73,2.92,1.413,球M,321,0.497,,,,0.356,0.007,,,1,0,,,,3,"[{""name"": ""球M"", ""share"": 0.497, ""labels"": [321]}, {""name"": ""object#317"", ""share"": 0.177, ""labels"": [317]}, {""name"": ""object#10"", ""share"": 0.152, ""labels"": [10]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,50.89,51.23,0.34,1.456,球M,321,0.297,,,,0.926,0.006,,,0,0,2,球M,1,3,"[{""name"": ""球M"", ""share"": 0.297, ""labels"": [321]}, {""name"": ""object#10"", ""share"": 0.275, ""labels"": [10]}, {""name"": ""object#17"", ""share"": 0.195, ""labels"": [17]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,51.28,54.3,3.02,1.385,球M,321,0.499,,,,0.313,0.005,,,1,0,2,球M,1,3,"[{""name"": ""球M"", ""share"": 0.499, ""labels"": [321]}, {""name"": ""object#10"", ""share"": 0.156, ""labels"": [10]}, {""name"": ""object#317"", ""share"": 0.141, ""labels"": [317]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,54.5,54.95,0.45,1.59,object#17,17,0.515,,,,0.52,0.186,,,1,1,,,,3,"[{""name"": ""object#17"", ""share"": 0.515, ""labels"": [17]}, {""name"": ""石榴"", ""share"": 0.268, ""labels"": [78]}, {""name"": ""object#201"", ""share"": 0.123, ""labels"": [201]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,55.08,57.54,2.46,1.63,石榴,78,0.497,,,,0.694,0.417,,,1,0,3,石榴,1,3,"[{""name"": ""石榴"", ""share"": 0.497, ""labels"": [78]}, {""name"": ""object#17"", ""share"": 0.345, ""labels"": [17]}, {""name"": ""object#201"", ""share"": 0.136, ""labels"": [201]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,57.64,60.9,3.26,1.649,石榴,78,0.448,,,,0.835,0.369,,,0,0,3,石榴,1,3,"[{""name"": ""石榴"", ""share"": 0.448, ""labels"": [78]}, {""name"": ""object#17"", ""share"": 0.374, ""labels"": [17]}, {""name"": ""object#201"", ""share"": 0.142, ""labels"": [201]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,61.48,64.42,2.94,1.51,object#316,316,0.473,,,,0.882,0.018,,,1,0,4,香蕉,0,3,"[{""name"": ""object#316"", ""share"": 0.473, ""labels"": [316]}, {""name"": ""香蕉"", ""share"": 0.417, ""labels"": [323]}, {""name"": ""object#17"", ""share"": 0.064, ""labels"": [17]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,64.47,65.15,0.68,1.535,香蕉,323,0.442,,,,0.948,0.007,,,0,0,4,香蕉,1,3,"[{""name"": ""香蕉"", ""share"": 0.442, ""labels"": [323]}, {""name"": ""object#316"", ""share"": 0.419, ""labels"": [316]}, {""name"": ""object#17"", ""share"": 0.087, ""labels"": [17]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,65.88,66.82,0.94,1.491,object#316,316,0.465,,,,0.929,0.007,,,1,0,4,香蕉,0,3,"[{""name"": ""object#316"", ""share"": 0.465, ""labels"": [316]}, {""name"": ""香蕉"", ""share"": 0.432, ""labels"": [323]}, {""name"": ""object#10"", ""share"": 0.045, ""labels"": [10]}]"
