rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/001,e2,v7,stress,tag15,6,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,tag15,7,苹果,fruit(4-5cm),1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,tag15,8,石榴,fruit(4-5cm),1.56,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,tag15,9,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,tag15,10,球R,ball(3cm),1.56,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,59.99,66.81,2,2,2,2,correct,球R,2.78,0.5,2.28,0.524,0.794,0.587,0.891,2.27,correct_only,1,0,0,0,,correct,correct,correct,球R,5.8,correct,球R,5.8,0.794,,0.719,,3.33
2026_08_16/001,e2,v7,stress,tag15,11,球L,ball(3cm),2.1,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,66.7,74.18,3,3,2,2,correct,球L,2.72,0.5,2.22,0.524,0.243,0.247,0.949,2.22,correct_only,1,0,0,0,,correct,correct,correct,球L,6.23,correct,球L,3.95,0.379,,0.56,,3.28
2026_08_16/001,e2,v7,stress,tag15,12,球M,ball(3cm),3.21,≥2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,92.73,95.86,3,3,3,3,correct,球M,0.77,0.5,0.27,0.995,0.72,0.001,0.934,0.27,correct_only,1,0,0,0,,correct,correct,correct,球M,1.68,correct,球M,1.68,1.544,,1.0,,3.71
2026_08_16/s1,s1,v7,,tag15,1,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,16.77,22.45,3,3,3,3,correct,球R,2.93,-0.76,0.55,1.0,1.217,0.0,0.652,3.68,correct_only,1,0,0,0,,correct,correct,correct,球R,5.8,correct,球R,5.8,1.217,,1.0,,1.61
2026_08_16/s1,s1,v7,,tag15,2,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,23.61,29.38,1,1,1,1,correct,球L,5.65,0.67,3.18,1.0,0.781,0.0,0.689,4.98,correct_only,1,0,0,0,,correct,correct,correct,球L,4.98,correct,球L,4.98,0.781,,1.0,,1.57
2026_08_16/s1,s1,v7,,tag15,3,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,30.54,36.34,3,3,3,3,correct,球M,1.37,1.05,-1.13,1.0,0.944,0.0,0.636,0.32,correct_only,1,0,0,0,,correct,correct,correct,球M,3.57,correct,球M,3.57,0.944,,1.0,,1.51
2026_08_16/s1,s1,v7,,tag15,4,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,37.5,43.32,3,3,3,3,correct,球L,1.83,1.12,-0.69,1.0,0.594,0.0,0.763,0.7,correct_only,1,0,0,0,,correct,correct,correct,球L,4.22,correct,球L,4.22,0.885,,1.0,,1.58
2026_08_16/s1,s1,v7,,tag15,5,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,44.48,50.18,4,4,4,4,correct,球M,1.75,0.01,-0.65,1.0,1.014,0.0,0.596,1.73,correct_only,1,0,0,0,,correct,correct,correct,球M,3.9,correct,球M,3.9,1.014,,1.0,,1.53
2026_08_16/s1,s1,v7,,tag15,6,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,51.34,57.08,5,5,5,5,correct,球M,1.67,0.97,-0.77,1.0,0.718,0.0,0.733,0.7,correct_only,1,0,0,0,,correct,correct,correct,球M,3.52,correct,球M,3.52,1.067,,1.0,,1.51
2026_08_16/s1,s1,v7,,tag15,7,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,58.24,63.97,3,3,3,3,correct,球R,2.71,-1.24,0.28,0.997,1.146,0.003,0.654,3.95,correct_only,1,0,0,0,,correct,correct,correct,球R,6.34,correct,球R,6.34,1.146,,0.997,,1.59
2026_08_16/s1,s1,v7,,tag15,8,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,65.37,71.11,3,3,3,3,correct,球L,1.06,0.79,-1.38,0.956,0.888,0.019,0.63,0.27,correct_only,1,0,0,0,,correct,correct,correct,球L,4.17,correct,球L,4.17,0.888,,1.0,,1.6
2026_08_16/s1,s1,v7,,tag15,9,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,72.27,78.0,1,1,1,1,correct,球L,5.21,-1.02,2.78,1.0,0.441,0.0,0.83,6.23,correct_only,1,0,0,0,,correct,correct,correct,球L,6.23,correct,球L,6.23,0.441,,1.0,,1.62
2026_08_16/s1,s1,v7,,tag15,10,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,79.16,84.98,3,3,3,3,correct,球M,1.69,1.31,-0.83,1.0,1.017,0.0,0.595,0.38,correct_only,1,0,0,0,,correct,correct,correct,球M,3.57,correct,球M,3.57,1.017,,1.0,,1.6
2026_08_16/s1,s1,v7,,tag15,11,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,86.14,92.08,3,3,3,3,correct,球R,0.64,0.26,-2.0,0.941,0.31,0.045,0.911,0.38,correct_only,1,0,0,0,,correct,correct,correct,球R,4.82,correct,球R,4.82,0.785,,1.0,,1.62
2026_08_16/s1,s1,v7,,tag15,12,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,93.24,99.18,3,3,3,3,correct,球M,2.58,1.77,-0.06,1.0,0.574,0.0,0.786,0.81,correct_only,1,0,0,0,,correct,correct,correct,球M,3.36,correct,球M,3.36,1.147,,1.0,,1.57
2026_08_16/s1,s1,v7,,tag15,13,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,100.34,106.28,2,2,2,2,correct,球R,4.17,0.98,1.53,0.955,0.868,0.035,0.754,3.2,correct_only,1,0,0,0,,correct,correct,correct,球R,4.6,correct,球R,4.6,0.964,,0.965,,1.62
2026_08_16/s1,s1,v7,,tag15,14,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,107.44,113.4,3,3,2,2,correct,球R,3.92,-0.95,1.26,0.911,0.753,0.07,0.776,4.87,correct_only,1,0,0,0,,correct,correct,correct,球R,6.34,correct,球R,6.34,0.753,0.089,0.911,0.667,1.65
2026_08_16/s1,s1,v7,,tag15,15,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,114.56,120.57,1,1,1,1,correct,球L,5.74,-0.97,3.03,1.0,0.399,0.0,0.846,6.72,correct_only,1,0,0,0,,correct,correct,correct,球L,6.72,correct,球L,6.72,0.399,,1.0,,1.63
2026_08_16/s2,s2,v7,,tag15,1,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,18.18,23.88,5,5,5,5,correct,球M,2.27,1.85,-0.13,1.0,1.279,0.0,0.791,0.43,correct_only,1,0,0,0,,correct,correct,correct,球M,3.68,correct,球M,3.68,1.406,,1.0,,2.44
