rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/001,e2,v7,stress,naive,6,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,naive,7,苹果,fruit(4-5cm),1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,naive,8,石榴,fruit(4-5cm),1.56,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,naive,9,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,hit,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,naive,10,球R,ball(3cm),1.56,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,59.99,66.81,2,2,2,2,correct,球R,2.78,0.5,2.28,1.0,,,0.738,2.27,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,3.33
2026_08_16/001,e2,v7,stress,naive,11,球L,ball(3cm),2.1,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,66.7,74.18,3,3,3,3,correct,球L,2.72,0.5,2.22,1.0,,,0.801,2.22,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,3.28
2026_08_16/001,e2,v7,stress,naive,12,球M,ball(3cm),3.21,≥2.5°,occluded(front-capture),0,1,lcs_episode,0,miss,1,92.73,95.86,3,3,3,3,wrong,background,0.77,0.5,0.27,0.971,,,0.88,0.27,wrong_only,0,1,0,0,background|香蕉,wrong,wrong,wrong,,0.0,,1.0,3.71
2026_08_16/s1,s1,v7,,naive,1,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,16.77,22.45,3,3,3,3,correct,球R,2.93,-0.76,0.55,1.0,,,0.357,3.68,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,1.61
2026_08_16/s1,s1,v7,,naive,2,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,23.61,29.38,1,1,1,1,correct,球L,5.65,-0.85,3.18,1.0,,,0.279,6.5,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,1.53
2026_08_16/s1,s1,v7,,naive,3,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,30.54,36.34,2,2,2,2,correct,球M,1.86,1.05,-0.64,1.0,,,0.355,0.81,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,1.49
2026_08_16/s1,s1,v7,,naive,4,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,37.5,43.32,3,3,3,3,correct,球L,1.83,1.12,-0.69,1.0,,,0.366,0.7,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,1.54
2026_08_16/s1,s1,v7,,naive,5,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,44.48,50.18,1,1,1,1,correct,球M,5.38,-0.64,2.98,1.0,,,0.337,6.01,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,1.5
2026_08_16/s1,s1,v7,,naive,6,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,51.34,57.08,4,4,4,4,correct,球M,2.81,-0.71,0.37,1.0,,,0.296,3.52,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,1.49
2026_08_16/s1,s1,v7,,naive,7,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,58.24,63.97,2,2,2,2,correct,球R,2.71,-1.24,0.28,1.0,,,0.327,3.95,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,1.59
2026_08_16/s1,s1,v7,,naive,8,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,65.37,71.11,2,2,2,2,correct,球L,3.6,-0.19,1.16,1.0,,,0.471,3.79,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,1.56
2026_08_16/s1,s1,v7,,naive,9,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,72.27,78.0,1,1,1,1,correct,球L,5.21,-1.02,2.78,1.0,,,0.528,6.23,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,1.58
2026_08_16/s1,s1,v7,,naive,10,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,79.16,84.98,6,6,6,6,correct,球M,1.25,0.66,-1.27,1.0,,,0.421,0.6,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,1.56
2026_08_16/s1,s1,v7,,naive,11,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,86.14,92.08,1,1,1,1,correct,球R,5.41,1.51,2.77,1.0,,,0.454,3.9,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,1.6
2026_08_16/s1,s1,v7,,naive,12,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,93.24,99.18,2,2,2,2,correct,球M,4.42,-1.21,1.78,1.0,,,0.329,5.63,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,1.5
2026_08_16/s1,s1,v7,,naive,13,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,100.34,106.28,1,1,1,1,correct,球R,5.64,-1.08,3.0,1.0,,,0.377,6.72,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,1.61
2026_08_16/s1,s1,v7,,naive,14,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,107.44,113.4,3,3,3,3,correct,球R,3.92,-0.95,1.26,1.0,,,0.41,4.87,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,1.62
2026_08_16/s1,s1,v7,,naive,15,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,114.56,120.57,1,1,1,1,correct,球L,5.74,-0.97,3.03,1.0,,,0.557,6.72,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,1.59
2026_08_16/s2,s2,v7,,naive,1,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,18.18,23.88,1,1,1,1,correct,球M,5.74,2.11,3.34,1.0,,,0.603,3.63,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,2.35
2026_08_16/s2,s2,v7,,naive,2,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,25.04,30.76,2,2,2,2,correct,球R,2.98,-0.81,0.56,1.0,,,0.657,3.79,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,2.48
2026_08_16/s2,s2,v7,,naive,3,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,31.92,37.72,5,5,5,5,correct,球M,1.51,0.7,-0.99,1.0,,,0.579,0.81,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,2.45
2026_08_16/s2,s2,v7,,naive,4,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,38.88,44.65,3,3,3,3,correct,球R,3.41,-0.93,0.94,1.0,,,0.558,4.33,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,2.49
2026_08_16/s2,s2,v7,,naive,5,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,45.81,51.53,3,3,3,3,correct,球L,3.44,-0.89,1.02,1.0,,,0.382,4.33,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,2.43
