rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,sphere10,51.28,54.3,3.02,1.385,球M,321,1.0,0.697,,,0.0,0.303,object#17,,0,0,2,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.697, ""capture"": null, ""miss_deg"": null, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,sphere10,54.5,54.95,0.45,1.59,石榴,78,0.813,0.268,,,0.23,0.671,object#17,,0,0,,,,2,"[{""name"": ""石榴"", ""share"": 0.813, ""q"": 0.268, ""capture"": null, ""miss_deg"": null, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.187, ""q"": 0.062, ""capture"": null, ""miss_deg"": null, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,sphere10,55.08,57.54,2.46,1.63,石榴,78,0.94,0.419,,,0.064,0.554,object#17,,0,0,3,石榴,1,2,"[{""name"": ""石榴"", ""share"": 0.94, ""q"": 0.419, ""capture"": null, ""miss_deg"": null, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.06, ""q"": 0.027, ""capture"": null, ""miss_deg"": null, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,sphere10,57.64,60.9,3.26,1.649,石榴,78,0.914,0.385,,,0.094,0.578,object#17,,0,0,3,石榴,1,2,"[{""name"": ""石榴"", ""share"": 0.914, ""q"": 0.385, ""capture"": null, ""miss_deg"": null, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.086, ""q"": 0.036, ""capture"": null, ""miss_deg"": null, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,sphere10,61.48,64.42,2.94,1.51,香蕉,323,0.757,0.518,,,0.232,0.315,object#17,,0,0,4,香蕉,1,3,"[{""name"": ""香蕉"", ""share"": 0.757, ""q"": 0.518, ""capture"": null, ""miss_deg"": null, ""labels"": [323]}, {""name"": ""球L"", ""share"": 0.176, ""q"": 0.12, ""capture"": null, ""miss_deg"": null, ""labels"": [320]}, {""name"": ""苹果"", ""share"": 0.057, ""q"": 0.039, ""capture"": null, ""miss_deg"": null, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,sphere10,64.47,65.15,0.68,1.535,香蕉,323,0.672,0.434,,,0.293,0.354,object#17,,0,0,4,香蕉,1,3,"[{""name"": ""香蕉"", ""share"": 0.672, ""q"": 0.434, ""capture"": null, ""miss_deg"": null, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.197, ""q"": 0.127, ""capture"": null, ""miss_deg"": null, ""labels"": [300]}, {""name"": ""球L"", ""share"": 0.131, ""q"": 0.085, ""capture"": null, ""miss_deg"": null, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,sphere10,65.88,66.82,0.94,1.491,香蕉,323,0.742,0.526,,,0.274,0.291,object#316,,0,0,4,香蕉,1,3,"[{""name"": ""香蕉"", ""share"": 0.742, ""q"": 0.526, ""capture"": null, ""miss_deg"": null, ""labels"": [323]}, {""name"": ""球L"", ""share"": 0.203, ""q"": 0.144, ""capture"": null, ""miss_deg"": null, ""labels"": [320]}, {""name"": ""苹果"", ""share"": 0.051, ""q"": 0.036, ""capture"": null, ""miss_deg"": null, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,sphere10,66.87,67.15,0.27,1.54,香蕉,323,0.664,0.117,,,0.506,0.823,object#17,,0,0,4,香蕉,1,2,"[{""name"": ""香蕉"", ""share"": 0.664, ""q"": 0.117, ""capture"": null, ""miss_deg"": null, ""labels"": [323]}, {""name"": ""球M"", ""share"": 0.336, ""q"": 0.059, ""capture"": null, ""miss_deg"": null, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,sphere10,67.2,68.03,0.83,1.577,香蕉,323,0.599,0.298,,,0.669,0.502,object#17,,0,0,,,,3,"[{""name"": ""香蕉"", ""share"": 0.599, ""q"": 0.298, ""capture"": null, ""miss_deg"": null, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.401, ""q"": 0.2, ""capture"": null, ""miss_deg"": null, ""labels"": [300]}, {""name"": ""球L"", ""share"": 0.0, ""q"": 0.0, ""capture"": null, ""miss_deg"": null, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,sphere10,68.59,69.54,0.95,1.423,球L,320,0.822,0.544,,,0.217,0.339,object#10,,0,0,,,,2,"[{""name"": ""球L"", ""share"": 0.822, ""q"": 0.544, ""capture"": null, ""miss_deg"": null, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.178, ""q"": 0.118, ""capture"": null, ""miss_deg"": null, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,sphere10,70.45,70.95,0.5,2.689,,-1,0.0,0.0,,,,1.0,floor,,0,0,5,球R,,0,[]
