rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/000,e1,v7,,cluster015,1,苹果,fruit(4-5cm),4.22,≥2.5°,clear,0,0,schedule,1,hit,1,41.39,46.95,2,2,2,2,correct,苹果,3.08,-1.99,0.82,0.923,1.116,0.036,0.518,5.07,correct_only,1,0,0,0,,correct,correct,correct,苹果,7.84,correct,苹果,7.84,1.116,,0.923,,1.65
2026_08_16/000,e1,v7,,cluster015,2,球M,ball(3cm),8.3,≥2.5°,clear,0,0,schedule,1,hit,1,48.11,53.86,1,1,1,1,correct,球M,6.18,2.77,3.73,1.0,1.129,0.0,0.5,3.41,correct_only,1,0,0,0,,correct,correct,correct,球M,3.41,correct,球M,3.41,1.129,,1.0,,1.4
2026_08_16/000,e1,v7,,cluster015,3,石榴,fruit(4-5cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,55.02,60.64,1,1,1,1,correct,石榴,5.88,2.56,3.56,0.996,0.792,0.006,0.704,3.32,correct_only,1,0,0,0,,correct,correct,correct,石榴,3.32,correct,石榴,3.32,0.792,,0.996,,1.65
2026_08_16/000,e1,v7,,cluster015,4,香蕉,banana,4.22,≥2.5°,clear,0,0,schedule,1,hit,1,61.8,67.43,4,4,3,3,correct,香蕉,3.35,-0.66,1.02,0.986,0.441,0.023,0.566,4.0,correct_only,1,0,0,0,,correct,correct,correct,香蕉,6.55,correct,香蕉,6.1,0.441,,1.0,,1.54
2026_08_16/000,e1,v7,,cluster015,5,球R,ball(3cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,68.59,74.27,2,2,2,2,correct,球R,2.35,1.85,-0.03,1.0,0.267,0.0,0.971,0.5,correct_only,1,0,0,0,,correct,correct,correct,球R,3.01,correct,球R,3.01,0.486,,1.0,,2.08
2026_08_16/000,e1,v7,,cluster015,6,球L,ball(3cm),5.53,≥2.5°,clear,0,0,schedule,1,hit,1,75.43,81.18,2,2,2,2,correct,球L,4.42,1.67,1.97,0.838,0.643,0.093,0.637,2.75,mixed,1,1,0,1,香蕉,correct,correct,correct,球L,2.75,correct,球L,2.75,0.643,0.282,0.838,0.753,1.45
2026_08_16/000,e1,v7,,cluster015,7,球M,ball(3cm),8.3,≥2.5°,clear,0,0,schedule,1,hit,1,82.88,88.66,1,1,1,1,correct,球M,5.4,-0.61,2.92,1.0,0.86,0.0,0.63,6.01,correct_only,1,0,0,0,,correct,correct,correct,球M,6.01,correct,球M,6.01,0.86,,1.0,,1.46
2026_08_16/000,e1,v7,,cluster015,8,石榴,fruit(4-5cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,89.82,95.4,1,1,1,1,correct,石榴,5.14,1.54,2.86,1.0,0.595,0.0,0.778,3.6,correct_only,1,0,0,0,,correct,correct,correct,石榴,3.6,correct,石榴,3.6,0.595,,1.0,,1.65
2026_08_16/000,e1,v7,,cluster015,9,香蕉,banana,4.22,≥2.5°,clear,0,0,schedule,1,hit,1,96.56,102.11,3,3,3,3,correct,香蕉,1.47,0.36,-0.78,0.97,0.451,0.067,0.555,1.1,correct_only,1,0,0,0,,correct,correct,correct,香蕉,4.55,correct,香蕉,4.55,0.451,,0.97,,1.6
2026_08_16/000,e1,v7,,cluster015,10,球L,ball(3cm),5.53,≥2.5°,clear,0,0,schedule,1,hit,1,103.27,109.12,1,1,1,1,correct,球L,5.71,2.11,3.16,0.55,0.419,0.372,0.663,3.6,correct_only,1,0,0,0,,correct,correct,correct,球L,3.6,correct,球L,3.6,0.419,,0.55,,1.49
