rec,card,era,flags,cfg,duration_s,window_src,reliable,n_items,n_items_with_window,window_cover_s,n_finals,n_obj_finals,n_acc,n_acc_in_window,n_acc_wrong_in_window,n_extra,extra_per_min,extra_objs,extra_dur_s
2026_08_16/000,e1,v7,,s40,129.8,lcs_ends,1,12,12,68.5,71,56,40,25,1,15,6.94,石榴:4|苹果:4|球L:4|球M:3,17.4
2026_08_16/001,e2,v7,stress,s40,104.5,fallback_lcs_windows,0,12,6,31.8,50,45,14,4,0,10,5.74,球M:10,11.3
2026_08_16/s1,s1,v7,,s40,128.1,lcs_ends,1,15,15,87.3,52,42,40,31,0,9,4.22,球M:5|球L:3|球R:1,9.5
2026_08_16/s2,s2,v7,,s40,128.5,lcs_ends,1,15,15,87.4,73,63,32,20,1,12,5.6,球M:11|球R:1,11.7
2026_08_16/s3,s3,v7,,s40,128.6,lcs_ends,1,15,15,87.4,57,47,20,16,1,4,1.87,球M:4,3.6
2026_08_16/s4,s4,v8,,s40,137.7,lcs_ends(B from A + version delta),1,15,15,87.4,67,67,8,7,2,1,0.44,球L:1,0.5
2026_08_16/s6,s6,v8,,s40,138.1,lcs_ends(B from A + version delta),1,15,15,87.3,83,81,3,1,1,2,0.87,球M:1|球L:1,0.8
2026_08_18/000,s7,v8,,s40,136.5,lcs_ends,1,15,15,87.3,96,93,11,8,0,3,1.32,球L:3,1.2
2026_08_20/000,c1,v9,,s40,115.0,lcs_ends(B from A + version delta),1,12,12,68.2,94,82,7,5,0,2,1.04,苹果粉:2,2.4
2026_08_20/001,c2,v9,,s40,134.9,fallback_lcs_windows,0,15,12,52.1,115,105,1,0,0,1,0.44,纸箱子:1,0.3
2026_08_20/002,c4,v9,beyond_occ,s40,134.7,fallback_lcs_windows,0,15,10,68.2,68,55,0,0,0,0,0.0,,0
2026_08_20/003,c4,v9,beyond_occ,s40,135.2,fallback_lcs_windows,0,15,7,26.8,79,72,0,0,0,0,0.0,,0
2026_08_25/c1_1,c4,v9,beyond_occ,s40,133.9,fallback_lcs_windows,0,15,8,61.6,41,35,0,0,0,0,0.0,,0
2026_08_25/c1_2,c4,v9,,s40,133.0,lcs_ends,1,15,15,85.2,44,30,0,0,0,0,0.0,,0
2026_08_25/c1_3,c4,v9,,s40,130.9,fallback_lcs_windows,0,15,9,75.8,56,41,0,0,0,0,0.0,,0
2026_08_25/u3,u3,v9,walking,s40,131.8,lcs_ends,1,15,15,85.2,103,87,0,0,0,0,0.0,,0
