cfg,score,thr,n,coverage,correct,wrong,acc_covered
v2s15,share,0.2,175,0.949,137,29,0.825
v2s15,share,0.3,175,0.789,116,22,0.841
v2s15,share,0.35,175,0.743,113,17,0.869
v2s15,share,0.4,175,0.68,104,15,0.874
v2s15,share,0.45,175,0.669,104,13,0.889
v2s15,share,0.5,175,0.651,99,15,0.868
v2s15,share,0.6,175,0.6,88,17,0.838
v2s15,share,0.7,175,0.451,69,10,0.873
v2s15,share,0.8,175,0.331,52,6,0.897
v2s15,share,0.9,175,0.286,45,5,0.9
