rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,noocc_ng,47.81,50.73,2.92,1.413,球M,321,1.0,0.6614,0.877,0.0,0.0,0.339,object#317,389.6407,1,1,,,,1,"[{""name"": ""球M"", ""m"": 257.71575, ""q"": 0.6614, ""c"": 0.7541, ""capture"": 0.877, ""share"": 1.0, ""miss_deg"": 0.51, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,noocc_ng,50.89,51.23,0.34,1.456,球M,321,1.0,0.2654,0.362,0.0,0.0,0.735,object#10,389.6407,1,1,2,球M,1,1,"[{""name"": ""球M"", ""m"": 103.42671, ""q"": 0.2654, ""c"": 0.7341, ""capture"": 0.362, ""share"": 1.0, ""miss_deg"": 1.43, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,noocc_ng,51.28,54.3,3.02,1.385,球M,321,1.0,0.667,0.873,0.0,0.0,0.333,object#10,389.6407,1,1,2,球M,1,1,"[{""name"": ""球M"", ""m"": 259.88538, ""q"": 0.667, ""c"": 0.7636, ""capture"": 0.873, ""share"": 1.0, ""miss_deg"": 0.52, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,noocc_ng,54.5,54.95,0.45,1.59,石榴,78,1.0,0.1985,0.289,0.0,0.0,0.801,object#17,389.6407,1,1,,,,2,"[{""name"": ""石榴"", ""m"": 77.34968, ""q"": 0.1985, ""c"": 0.6874, ""capture"": 0.289, ""share"": 1.0, ""miss_deg"": 1.58, ""labels"": [78]}, {""name"": ""球R"", ""m"": 0.02796, ""q"": 0.0001, ""c"": 0.5444, ""capture"": 0.0, ""share"": 0.0, ""miss_deg"": 4.23, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,noocc_ng,55.08,57.54,2.46,1.63,石榴,78,1.0,0.3242,0.486,0.0,0.0,0.676,object#17,389.6407,1,1,3,石榴,1,1,"[{""name"": ""石榴"", ""m"": 126.30654, ""q"": 0.3242, ""c"": 0.6676, ""capture"": 0.486, ""share"": 1.0, ""miss_deg"": 1.2, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,noocc_ng,57.64,60.9,3.26,1.649,石榴,78,1.0,0.3169,0.487,0.0,0.0,0.683,object#17,389.6407,1,1,3,石榴,1,1,"[{""name"": ""石榴"", ""m"": 123.46482, ""q"": 0.3169, ""c"": 0.6512, ""capture"": 0.487, ""share"": 1.0, ""miss_deg"": 1.2, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,noocc_ng,61.48,64.42,2.94,1.51,香蕉,323,1.0,0.4874,0.487,0.0,0.0,0.513,object#316,389.6407,1,1,4,香蕉,1,1,"[{""name"": ""香蕉"", ""m"": 189.92216, ""q"": 0.4874, ""c"": 1.0, ""capture"": 0.487, ""share"": 1.0, ""miss_deg"": 1.2, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,noocc_ng,64.47,65.15,0.68,1.535,香蕉,323,1.0,0.5255,0.525,0.0,0.0,0.475,object#316,389.6407,1,1,4,香蕉,1,2,"[{""name"": ""香蕉"", ""m"": 204.74737, ""q"": 0.5255, ""c"": 1.0, ""capture"": 0.525, ""share"": 1.0, ""miss_deg"": 1.13, ""labels"": [323]}, {""name"": ""苹果"", ""m"": 0.00103, ""q"": 0.0, ""c"": 0.7636, ""capture"": 0.0, ""share"": 0.0, ""miss_deg"": 5.02, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,noocc_ng,65.88,66.82,0.94,1.491,香蕉,323,1.0,0.5721,0.572,0.0,0.0,0.428,object#316,389.6407,1,1,4,香蕉,1,2,"[{""name"": ""香蕉"", ""m"": 222.92267, ""q"": 0.5721, ""c"": 1.0, ""capture"": 0.572, ""share"": 1.0, ""miss_deg"": 1.06, ""labels"": [323]}, {""name"": ""球L"", ""m"": 0.0012, ""q"": 0.0, ""c"": 0.7541, ""capture"": 0.0, ""share"": 0.0, ""miss_deg"": 4.98, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,noocc_ng,66.87,67.15,0.27,1.54,香蕉,323,0.999,0.0015,0.001,0.0,0.001,0.999,object#17,389.6407,0,0,4,香蕉,1,2,"[{""name"": ""香蕉"", ""m"": 0.57545, ""q"": 0.0015, ""c"": 1.0, ""capture"": 0.001, ""share"": 0.999, ""miss_deg"": 3.61, ""labels"": [323]}, {""name"": ""球M"", ""m"": 0.00039, ""q"": 0.0, ""c"": 0.6874, ""capture"": 0.0, ""share"": 0.001, ""miss_deg"": 5.19, ""labels"": [321]}]"
