cfg,score,thr,n,coverage,correct,wrong,acc_covered
mass15,share,0.2,175,0.966,136,33,0.805
mass15,share,0.3,175,0.8,116,24,0.829
mass15,share,0.35,175,0.754,112,20,0.848
mass15,share,0.4,175,0.697,105,17,0.861
mass15,share,0.45,175,0.669,103,14,0.88
mass15,share,0.5,175,0.651,99,15,0.868
mass15,share,0.6,175,0.606,88,18,0.83
mass15,share,0.7,175,0.451,69,10,0.873
mass15,share,0.8,175,0.331,52,6,0.897
mass15,share,0.9,175,0.286,45,5,0.9
