cfg,score,thr,n,coverage,correct,wrong,acc_covered
v2s15,capture,0.05,175,0.971,139,31,0.818
v2s15,capture,0.1,175,0.971,139,31,0.818
v2s15,capture,0.15,175,0.971,139,31,0.818
v2s15,capture,0.2,175,0.966,138,31,0.817
v2s15,capture,0.3,175,0.949,137,29,0.825
v2s15,capture,0.4,175,0.891,129,27,0.827
v2s15,capture,0.5,175,0.811,113,29,0.796
v2s15,capture,0.6,175,0.76,108,25,0.812
v2s15,capture,0.8,175,0.629,86,24,0.782
v2s15,capture,1.0,175,0.434,59,17,0.776
