rec,card,era,flags,cfg,duration_s,window_src,reliable,n_items,n_items_with_window,window_cover_s,n_finals,n_obj_finals,n_acc,n_acc_in_window,n_acc_wrong_in_window,n_extra,extra_per_min,extra_objs,extra_dur_s
2026_08_16/000,e1,v7,,s05,129.8,lcs_ends,1,12,12,68.5,66,50,35,21,3,14,6.47,球L:4|苹果:3|香蕉:3|石榴:2|球M:2,15.6
2026_08_16/001,e2,v7,stress,s05,104.5,fallback_lcs_windows,0,12,6,31.8,50,19,1,0,0,1,0.57,球L:1,3.1
2026_08_16/s1,s1,v7,,s05,128.1,lcs_ends,1,15,15,87.3,47,39,34,28,0,6,2.81,球L:3|球M:2|球R:1,8.4
2026_08_16/s2,s2,v7,,s05,128.5,lcs_ends,1,15,15,87.4,72,61,49,32,1,17,7.94,球M:10|球L:3|香蕉:2|球R:2,18.8
2026_08_16/s3,s3,v7,,s05,128.6,lcs_ends,1,15,15,87.4,56,33,12,8,0,4,1.87,球M:3|球L:1,4.8
2026_08_16/s4,s4,v8,,s05,137.7,lcs_ends(B from A + version delta),1,15,15,87.4,66,32,7,5,1,2,0.87,球M:2,2.7
2026_08_16/s6,s6,v8,,s05,138.1,lcs_ends(B from A + version delta),1,15,15,87.3,81,58,29,18,4,11,4.78,球M:6|球L:5,11.0
2026_08_18/000,s7,v8,,s05,136.5,lcs_ends,1,15,15,87.3,94,87,56,40,11,16,7.04,球M:12|球R:3|球L:1,11.4
2026_08_20/000,c1,v9,,s05,115.0,lcs_ends(B from A + version delta),1,12,12,68.2,93,82,51,34,19,17,8.87,白杯1:5|水瓶:4|球L:3|球M:2|苹果红:2|红杯:1,13.0
2026_08_20/001,c2,v9,,s05,134.9,fallback_lcs_windows,0,15,12,52.1,115,94,47,18,0,29,12.9,球L:10|球R:9|球M:6|白杯1:1|白杯2:1|苹果粉:1|苹果红:1,25.9
2026_08_20/002,c4,v9,beyond_occ,s05,134.7,fallback_lcs_windows,0,15,10,68.2,68,51,27,12,4,15,6.68,球L:12|球M:2|球R:1,30.0
2026_08_20/003,c4,v9,beyond_occ,s05,135.2,fallback_lcs_windows,0,15,7,26.8,75,58,14,2,0,12,5.32,球L:10|球R:1|苹果红:1,10.5
2026_08_25/c1_1,c4,v9,beyond_occ,s05,133.9,fallback_lcs_windows,0,15,8,61.6,41,12,3,1,0,2,0.9,球R:1|球L:1,0.8
2026_08_25/c1_2,c4,v9,,s05,133.0,lcs_ends,1,15,15,85.2,44,17,3,2,0,1,0.45,球M:1,2.0
2026_08_25/c1_3,c4,v9,,s05,130.9,fallback_lcs_windows,0,15,9,75.8,56,36,15,5,0,10,4.58,球L:6|球M:3|水瓶:1,36.1
2026_08_25/u3,u3,v9,walking,s05,131.8,lcs_ends,1,15,15,85.2,103,66,9,7,1,2,0.91,球L:1|球M:1,1.3
