rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/001,e2,v7,stress,cluster010,7,苹果,fruit(4-5cm),1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,cluster010,8,石榴,fruit(4-5cm),1.56,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,cluster010,9,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,cluster010,10,球R,ball(3cm),1.56,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,59.99,66.81,2,2,1,1,correct,球R,2.78,0.5,2.28,0.719,0.391,0.286,0.911,2.27,correct_only,1,0,0,0,,correct,correct,correct,球R,5.9,correct,球R,2.27,0.391,,1.0,,3.33
2026_08_16/001,e2,v7,stress,cluster010,11,球L,ball(3cm),2.1,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,66.7,74.18,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球L,6.55,none,,,0.154,,1.0,,3.28
2026_08_16/001,e2,v7,stress,cluster010,12,球M,ball(3cm),3.21,≥2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,92.73,95.86,3,3,2,2,correct,球M,0.77,0.5,0.27,1.0,0.212,0.0,0.965,0.27,correct_only,1,0,0,0,,correct,correct,correct,球M,2.17,correct,球M,0.76,0.555,,1.0,,3.71
2026_08_16/s1,s1,v7,,cluster010,1,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,16.77,22.45,2,2,2,2,correct,球R,3.47,-0.92,1.09,1.0,0.922,0.0,0.498,4.39,correct_only,1,0,0,0,,correct,correct,correct,球R,6.23,correct,球R,6.23,1.018,,1.0,,1.61
2026_08_16/s1,s1,v7,,cluster010,2,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,23.61,29.38,1,1,1,1,correct,球L,5.65,-0.9,3.18,1.0,0.912,0.0,0.324,6.55,correct_only,1,0,0,0,,correct,correct,correct,球L,6.55,correct,球L,6.55,0.912,,1.0,,1.53
2026_08_16/s1,s1,v7,,cluster010,3,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,30.54,36.34,1,1,1,1,correct,球M,5.73,2.21,3.23,1.0,0.893,0.0,0.372,3.52,correct_only,1,0,0,0,,correct,correct,correct,球M,3.52,correct,球M,3.52,0.893,,1.0,,1.49
2026_08_16/s1,s1,v7,,cluster010,4,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,37.5,43.32,1,1,1,1,correct,球L,5.46,-1.04,2.94,1.0,0.9,0.0,0.333,6.5,correct_only,1,0,0,0,,correct,correct,correct,球L,6.5,correct,球L,6.5,0.9,,1.0,,1.52
2026_08_16/s1,s1,v7,,cluster010,5,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,44.48,50.18,1,1,1,1,correct,球M,5.38,-0.69,2.98,1.0,1.057,0.0,0.258,6.07,correct_only,1,0,0,0,,correct,correct,correct,球M,6.07,correct,球M,6.07,1.057,,1.0,,1.5
2026_08_16/s1,s1,v7,,cluster010,6,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,51.34,57.08,1,1,1,1,correct,球M,5.36,-0.92,2.92,1.0,1.135,0.0,0.203,6.28,correct_only,1,0,0,0,,correct,correct,correct,球M,6.28,correct,球M,6.28,1.135,,1.0,,1.5
2026_08_16/s1,s1,v7,,cluster010,7,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,58.24,63.97,1,1,1,1,correct,球R,5.2,-1.24,2.77,1.0,1.133,0.0,0.383,6.45,correct_only,1,0,0,0,,correct,correct,correct,球R,6.45,correct,球R,6.45,1.133,,1.0,,1.59
2026_08_16/s1,s1,v7,,cluster010,8,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,65.37,71.11,2,2,2,2,correct,球L,3.6,-1.54,1.16,1.0,0.742,0.0,0.479,5.15,correct_only,1,0,0,0,,correct,correct,correct,球L,6.73,correct,球L,6.73,0.819,,1.0,,1.56
