rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,vis,2.64,3.09,0.46,0.901,,-1,0.0,0.0,,,,1.0,object#20,389.6407,0,0,,,,0,[]
2026_08_16/000,e1,v7,,vis,15.38,15.7,0.32,1.034,,-1,0.0,0.0,,,,1.0,object#35,389.6407,0,0,,,,0,[]
2026_08_16/000,e1,v7,,vis,15.98,16.38,0.4,0.667,,-1,0.0,0.0,,,,1.0,object#94,389.6407,0,0,,,,0,[]
2026_08_16/000,e1,v7,,vis,18.3,18.6,0.3,0.462,,-1,0.0,0.0,,,,1.0,object#67,389.6407,0,0,,,,0,[]
2026_08_16/000,e1,v7,,vis,24.82,25.15,0.33,0.962,,-1,0.0,0.0,,,,1.0,object#20,389.6407,0,0,,,,0,[]
2026_08_16/000,e1,v7,,vis,25.48,26.56,1.07,0.962,,-1,0.0,0.0,,,,1.0,object#20,389.6407,0,0,,,,0,[]
2026_08_16/000,e1,v7,,vis,27.5,27.81,0.31,1.01,,-1,0.0,0.0,,,,1.0,object#67,389.6407,0,0,,,,0,[]
2026_08_16/000,e1,v7,,vis,29.64,29.98,0.34,0.748,,-1,0.0,0.0,,,,1.0,object#187,389.6407,0,0,,,,0,[]
2026_08_16/000,e1,v7,,vis,31.09,31.45,0.36,1.171,,-1,0.0,0.0,,,,1.0,object#187,389.6407,0,0,,,,0,[]
2026_08_16/000,e1,v7,,vis,32.16,32.71,0.55,1.208,,-1,0.0,0.0,,,,1.0,object#20,389.6407,0,0,,,,0,[]
2026_08_16/000,e1,v7,,vis,35.34,35.62,0.27,1.359,石榴,78,1.0,0.0,0.0,0.0,0.0,1.0,object#34,389.6407,0,0,,,,1,"[{""name"": ""石榴"", ""m"": 0.0012, ""q"": 0.0, ""c"": 0.8126, ""capture"": 0.0, ""share"": 1.0, ""miss_deg"": 5.0, ""labels"": [78]}]"
