cfg,A_lo,A_hi,correct,wrong,err
noocc,0,0.25,209,24,0.103
noocc,0.25,0.5,13,6,0.316
noocc,0.5,0.75,9,11,0.55
noocc,0.75,1.0,4,7,0.636
