rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,ours_first,ours_obj,ours_cap,ours_share,ours_A,ours_any,ours_lcs,noocc_ng_first,noocc_ng_obj,noocc_ng_cap,noocc_ng_share,noocc_ng_A,noocc_ng_any,noocc_ng_lcs,ours_best_target_cap,noocc_ng_best_target_cap,ours_best_wrong_cap,noocc_ng_best_wrong_cap
2026_08_16/s1,9,球L,≥2.5°,clear,,5.02,1.58,1,correct,球L,0.58,1.0,0.0,correct_only,hit,correct,球L,0.607,1.0,0.0,correct_only,hit,0.58,0.607,,
2026_08_16/s1,10,球M,≥2.5°,clear,,7.69,1.56,1,correct,球M,0.653,1.0,0.0,correct_only,hit,correct,球M,0.573,1.0,0.0,correct_only,hit,1.125,1.07,,
2026_08_16/s1,11,球R,≥2.5°,clear,,5.41,1.6,1,correct,球R,0.472,1.0,0.0,correct_only,hit,correct,球R,0.463,1.0,0.0,correct_only,hit,0.472,0.463,,
2026_08_16/s1,12,球M,≥2.5°,clear,,7.69,1.5,1,correct,球M,0.824,1.0,0.0,correct_only,hit,correct,球M,0.721,1.0,0.0,correct_only,hit,1.191,1.127,,
2026_08_16/s1,13,球R,≥2.5°,clear,,5.41,1.61,1,correct,球R,0.997,1.0,0.0,correct_only,hit,correct,球R,0.996,1.0,0.0,correct_only,hit,0.997,0.996,,
2026_08_16/s1,14,球R,≥2.5°,clear,,5.41,1.62,1,correct,球R,0.849,1.0,0.0,correct_only,hit,correct,球R,0.848,1.0,0.0,correct_only,hit,0.849,0.848,,
2026_08_16/s1,15,球L,≥2.5°,clear,,5.02,1.59,1,correct,球L,0.521,1.0,0.0,correct_only,hit,correct,球L,0.535,1.0,0.0,correct_only,hit,0.521,0.535,,
2026_08_16/s2,1,球M,≥2.5°,clear,,4.47,2.35,1,correct,球M,0.904,1.0,0.0,correct_only,hit,correct,球M,0.868,1.0,0.0,correct_only,hit,0.904,0.868,,
2026_08_16/s2,2,球R,≥2.5°,clear,,2.55,2.48,1,correct,球R,0.561,0.995,0.004,correct_only,hit,correct,球R,0.704,0.995,0.004,correct_only,hit,0.561,0.704,,
2026_08_16/s2,3,球M,≥2.5°,clear,,4.47,2.45,1,correct,球M,1.145,1.0,0.0,correct_only,hit,correct,球M,1.126,1.0,0.0,correct_only,hit,1.254,1.224,,
2026_08_16/s2,4,球R,≥2.5°,clear,,2.55,2.49,1,correct,球R,1.007,0.962,0.029,correct_only,hit,correct,球R,1.192,0.964,0.027,correct_only,hit,1.078,1.283,,
2026_08_16/s2,5,球L,≥2.5°,clear,,2.85,2.43,1,correct,球L,0.7,0.746,0.116,mixed,hit,correct,球L,0.952,0.789,0.085,correct_only,hit,0.7,0.962,0.208,0.178
2026_08_16/s2,6,球R,≥2.5°,clear,,2.55,2.46,1,correct,球R,0.937,0.955,0.034,correct_only,hit,correct,球R,1.083,0.959,0.031,correct_only,hit,0.937,1.083,,
2026_08_16/s2,7,球M,≥2.5°,clear,,4.47,2.45,1,correct,球M,1.372,1.0,0.0,mixed,hit,correct,球M,1.325,1.0,0.0,mixed,hit,1.372,1.325,0.37,0.372
