rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/000,e1,v7,,v1_cluster0,11,苹果,fruit(4-5cm),4.22,≥2.5°,clear,0,0,schedule,1,hit,1,110.28,116.1,4,4,4,4,correct,苹果,2.6,1.66,0.08,0.814,,,0.469,0.94,correct_only,1,0,0,0,,correct,correct,correct,苹果,4.07,correct,苹果,4.07,0.0,,0.814,,1.66
2026_08_16/000,e1,v7,,v1_cluster0,12,球R,ball(3cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,117.26,123.17,1,1,1,1,correct,球R,6.16,0.35,3.55,1.0,,,0.683,5.81,correct_only,1,0,0,0,,correct,correct,correct,球R,5.81,correct,球R,5.81,0.0,,1.0,,1.47
2026_08_16/001,e2,v7,stress,v1_cluster0,1,球L,ball(3cm),2.1,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,15.68,19.4,2,2,2,2,correct,球L,2.67,0.5,2.17,0.896,,,0.825,2.17,correct_only,1,0,0,0,,correct,correct,correct,球L,2.76,correct,球L,2.76,0.0,,0.896,,3.17
2026_08_16/001,e2,v7,stress,v1_cluster0,2,球R,ball(3cm),1.56,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,32.06,40.2,5,5,5,5,wrong,球L,0.45,0.12,-0.05,0.666,,,0.612,0.32,mixed,1,1,1,0,球L,wrong,wrong,correct,球R,6.82,correct,球R,6.82,0.0,0.0,0.822,0.666,3.31
2026_08_16/001,e2,v7,stress,v1_cluster0,3,苹果,fruit(4-5cm),1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,v1_cluster0,4,石榴,fruit(4-5cm),1.56,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,v1_cluster0,5,球M,ball(3cm),3.21,≥2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,43.24,45.72,1,1,1,1,correct,球M,2.18,0.5,1.68,0.963,,,0.909,1.68,correct_only,1,0,0,0,,correct,correct,correct,球M,1.68,correct,球M,1.68,0.0,,0.963,,3.61
2026_08_16/001,e2,v7,stress,v1_cluster0,6,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,v1_cluster0,7,苹果,fruit(4-5cm),1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,v1_cluster0,8,石榴,fruit(4-5cm),1.56,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,v1_cluster0,9,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,v1_cluster0,10,球R,ball(3cm),1.56,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,59.99,66.81,2,2,2,2,correct,球R,2.78,0.5,2.28,0.646,,,0.738,2.27,correct_only,1,0,0,0,,correct,correct,correct,球R,5.9,correct,球R,5.9,0.0,,0.759,,3.33
2026_08_16/001,e2,v7,stress,v1_cluster0,11,球L,ball(3cm),2.1,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,66.7,74.18,3,3,3,3,correct,球L,2.72,0.23,2.22,0.678,,,0.803,2.49,correct_only,1,0,0,0,,correct,correct,correct,球L,6.55,correct,球L,6.55,0.0,,0.705,,3.28
2026_08_16/001,e2,v7,stress,v1_cluster0,12,球M,ball(3cm),3.21,≥2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,92.73,95.86,3,3,3,3,correct,球M,0.77,0.5,0.27,0.971,,,0.88,0.27,correct_only,1,0,0,0,,correct,correct,correct,球M,2.17,correct,球M,2.17,0.0,,0.971,,3.71
2026_08_16/s1,s1,v7,,v1_cluster0,1,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,16.77,22.45,2,2,2,2,correct,球R,3.47,-0.92,1.09,0.995,,,0.339,4.39,correct_only,1,0,0,0,,correct,correct,correct,球R,6.23,correct,球R,6.23,0.0,,0.995,,1.61
2026_08_16/s1,s1,v7,,v1_cluster0,2,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,23.61,29.38,1,1,1,1,correct,球L,5.65,-0.9,3.18,0.859,,,0.282,6.55,correct_only,1,0,0,0,,correct,correct,correct,球L,6.55,correct,球L,6.55,0.0,,0.859,,1.53
2026_08_16/s1,s1,v7,,v1_cluster0,3,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,30.54,36.34,1,1,1,1,correct,球M,5.73,2.21,3.23,1.0,,,0.411,3.52,correct_only,1,0,0,0,,correct,correct,correct,球M,3.52,correct,球M,3.52,0.0,,1.0,,1.49
2026_08_16/s1,s1,v7,,v1_cluster0,4,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,37.5,43.32,1,1,1,1,correct,球L,5.46,-1.04,2.94,0.797,,,0.219,6.5,correct_only,1,0,0,0,,correct,correct,correct,球L,6.5,correct,球L,6.5,0.0,,0.797,,1.52
2026_08_16/s1,s1,v7,,v1_cluster0,5,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,44.48,50.18,1,1,1,1,correct,球M,5.38,-0.69,2.98,1.0,,,0.335,6.07,correct_only,1,0,0,0,,correct,correct,correct,球M,6.07,correct,球M,6.07,0.0,,1.0,,1.5
2026_08_16/s1,s1,v7,,v1_cluster0,6,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,51.34,57.08,1,1,1,1,correct,球M,5.36,-0.92,2.92,1.0,,,0.296,6.28,correct_only,1,0,0,0,,correct,correct,correct,球M,6.28,correct,球M,6.28,0.0,,1.0,,1.5
2026_08_16/s1,s1,v7,,v1_cluster0,7,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,58.24,63.97,1,1,1,1,correct,球R,5.2,-1.24,2.77,0.984,,,0.348,6.45,correct_only,1,0,0,0,,correct,correct,correct,球R,6.45,correct,球R,6.45,0.0,,0.984,,1.59
