rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,s02,64.47,65.15,0.68,1.535,香蕉,323,1.0,0.447,0.447,0.0,0.0,0.553,object#316,,1,1,4,香蕉,1,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.447, ""capture"": 0.447, ""miss_deg"": 0.25, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s02,65.88,66.82,0.94,1.491,香蕉,323,1.0,1.0,1.0,0.0,0.0,0.0,,,1,1,4,香蕉,1,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 1.0, ""capture"": 1.0, ""miss_deg"": 0.01, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s02,66.87,67.15,0.27,1.54,,-1,0.0,0.0,,,,1.0,object#17,,0,0,4,香蕉,,0,[]
2026_08_16/000,e1,v7,,s02,67.2,68.03,0.83,1.577,香蕉,323,1.0,0.011,0.011,0.0,0.0,0.989,object#316,,0,0,,,,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.011, ""capture"": 0.011, ""miss_deg"": 0.6, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s02,68.59,69.54,0.95,1.423,球L,320,1.0,0.9,0.9,0.0,0.0,0.1,object#316,,1,1,,,,1,"[{""name"": ""球L"", ""share"": 1.0, ""q"": 0.9, ""capture"": 0.9, ""miss_deg"": 0.09, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,s02,70.45,70.95,0.5,2.689,,-1,0.0,0.0,,,,1.0,floor,,0,0,5,球R,,0,[]
2026_08_16/000,e1,v7,,s02,74.33,74.83,0.5,1.626,,-1,0.0,0.0,,,,1.0,object#201,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s02,75.26,77.05,1.79,1.418,球L,320,1.0,0.625,0.625,0.0,0.0,0.375,object#316,,1,1,,,,1,"[{""name"": ""球L"", ""share"": 1.0, ""q"": 0.625, ""capture"": 0.625, ""miss_deg"": 0.19, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,s02,77.16,78.55,1.4,1.418,球L,320,1.0,0.418,0.418,0.0,0.0,0.582,object#316,,1,1,6,球L,1,1,"[{""name"": ""球L"", ""share"": 1.0, ""q"": 0.418, ""capture"": 0.418, ""miss_deg"": 0.26, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,s02,78.84,79.52,0.69,1.415,球L,320,1.0,0.631,0.631,0.0,0.0,0.369,object#316,,1,1,6,球L,1,1,"[{""name"": ""球L"", ""share"": 1.0, ""q"": 0.631, ""capture"": 0.631, ""miss_deg"": 0.19, ""labels"": [320]}]"
