cfg,A_lo,A_hi,correct,wrong,err
v2s15,0,0.25,166,14,0.078
v2s15,0.25,0.5,73,18,0.198
v2s15,0.5,0.75,26,14,0.35
v2s15,0.75,1.0,9,7,0.438
