rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_20/001,c2,v9,,selfcal2,71.96,72.77,0.81,3.295,球R,263,0.333,0.095,1.324,0.276,0.628,0.714,物品台,,0,0,,,,3,"[{""name"": ""球R"", ""share"": 0.333, ""q"": 0.095, ""capture"": 1.324, ""miss_deg"": 0.0, ""labels"": [263]}, {""name"": ""白杯1"", ""share"": 0.209, ""q"": 0.06, ""capture"": 0.366, ""miss_deg"": 2.13, ""labels"": [266]}, {""name"": ""球M"", ""share"": 0.067, ""q"": 0.019, ""capture"": 0.305, ""miss_deg"": 2.31, ""labels"": [261]}]"
2026_08_20/001,c2,v9,,selfcal2,72.88,74.29,1.41,3.322,球R,263,0.234,0.076,1.06,0.648,0.564,0.675,物品台,,0,0,,,,3,"[{""name"": ""球R"", ""share"": 0.234, ""q"": 0.076, ""capture"": 1.06, ""miss_deg"": 0.0, ""labels"": [263]}, {""name"": ""球M"", ""share"": 0.132, ""q"": 0.043, ""capture"": 0.687, ""miss_deg"": 1.3, ""labels"": [261]}, {""name"": ""白杯1"", ""share"": 0.232, ""q"": 0.076, ""capture"": 0.462, ""miss_deg"": 1.86, ""labels"": [266]}]"
2026_08_20/001,c2,v9,,selfcal2,75.39,75.76,0.38,3.312,球R,263,0.307,0.075,1.047,0.452,0.391,0.754,物品台,,0,0,,,,3,"[{""name"": ""球R"", ""share"": 0.307, ""q"": 0.075, ""capture"": 1.047, ""miss_deg"": 0.0, ""labels"": [263]}, {""name"": ""球M"", ""share"": 0.12, ""q"": 0.029, ""capture"": 0.473, ""miss_deg"": 1.84, ""labels"": [261]}, {""name"": ""白杯1"", ""share"": 0.199, ""q"": 0.049, ""capture"": 0.298, ""miss_deg"": 2.33, ""labels"": [266]}]"
2026_08_20/001,c2,v9,,selfcal2,75.87,76.19,0.32,3.327,球R,263,0.276,0.093,1.294,0.386,0.337,0.663,物品台,,0,0,,,,3,"[{""name"": ""球R"", ""share"": 0.276, ""q"": 0.093, ""capture"": 1.294, ""miss_deg"": 0.0, ""labels"": [263]}, {""name"": ""球M"", ""share"": 0.093, ""q"": 0.031, ""capture"": 0.5, ""miss_deg"": 1.77, ""labels"": [261]}, {""name"": ""白杯1"", ""share"": 0.232, ""q"": 0.078, ""capture"": 0.477, ""miss_deg"": 1.83, ""labels"": [266]}]"
2026_08_20/001,c2,v9,,selfcal2,76.25,76.52,0.27,3.336,球M,261,0.233,0.069,1.1,0.608,0.704,0.706,物品台,,0,0,,,,3,"[{""name"": ""球M"", ""share"": 0.233, ""q"": 0.069, ""capture"": 1.1, ""miss_deg"": 0.0, ""labels"": [261]}, {""name"": ""球R"", ""share"": 0.164, ""q"": 0.048, ""capture"": 0.669, ""miss_deg"": 1.35, ""labels"": [263]}, {""name"": ""白杯1"", ""share"": 0.183, ""q"": 0.054, ""capture"": 0.329, ""miss_deg"": 2.24, ""labels"": [266]}]"
2026_08_20/001,c2,v9,,selfcal2,76.57,77.0,0.43,3.31,球R,263,0.302,0.079,1.105,0.34,0.295,0.737,物品台,,0,0,,,,3,"[{""name"": ""球R"", ""share"": 0.302, ""q"": 0.079, ""capture"": 1.105, ""miss_deg"": 0.0, ""labels"": [263]}, {""name"": ""球M"", ""share"": 0.089, ""q"": 0.023, ""capture"": 0.376, ""miss_deg"": 2.1, ""labels"": [261]}, {""name"": ""白杯1"", ""share"": 0.225, ""q"": 0.059, ""capture"": 0.363, ""miss_deg"": 2.14, ""labels"": [266]}]"
2026_08_20/001,c2,v9,,selfcal2,77.06,77.36,0.3,3.313,球M,261,0.341,0.06,0.965,0.277,0.32,0.824,物品台,,0,0,,,,3,"[{""name"": ""球M"", ""share"": 0.341, ""q"": 0.06, ""capture"": 0.965, ""miss_deg"": 0.4, ""labels"": [261]}, {""name"": ""球R"", ""share"": 0.109, ""q"": 0.019, ""capture"": 0.267, ""miss_deg"": 2.44, ""labels"": [263]}, {""name"": ""白杯1"", ""share"": 0.123, ""q"": 0.022, ""capture"": 0.132, ""miss_deg"": 3.02, ""labels"": [266]}]"
2026_08_20/001,c2,v9,,selfcal2,77.65,78.73,1.08,3.306,球R,263,0.311,0.086,1.194,0.302,0.26,0.724,物品台,,0,0,,,,3,"[{""name"": ""球R"", ""share"": 0.311, ""q"": 0.086, ""capture"": 1.194, ""miss_deg"": 0.0, ""labels"": [263]}, {""name"": ""球M"", ""share"": 0.081, ""q"": 0.022, ""capture"": 0.36, ""miss_deg"": 2.14, ""labels"": [261]}, {""name"": ""白杯1"", ""share"": 0.213, ""q"": 0.059, ""capture"": 0.359, ""miss_deg"": 2.15, ""labels"": [266]}]"
2026_08_20/001,c2,v9,,selfcal2,79.4,79.77,0.38,3.296,球L,259,0.376,0.021,0.294,0.694,1.41,0.944,物品台,,0,0,,,,3,"[{""name"": ""球L"", ""share"": 0.376, ""q"": 0.021, ""capture"": 0.294, ""miss_deg"": 2.35, ""labels"": [259]}, {""name"": ""苹果粉"", ""share"": 0.53, ""q"": 0.03, ""capture"": 0.204, ""miss_deg"": 2.67, ""labels"": [64]}, {""name"": ""苹果红"", ""share"": 0.056, ""q"": 0.003, ""capture"": 0.029, ""miss_deg"": 4.0, ""labels"": [260]}]"
2026_08_20/001,c2,v9,,selfcal2,80.05,82.0,1.95,3.303,苹果粉,64,0.636,0.091,0.626,0.824,0.407,0.857,物品台,,1,1,9,苹果粉,1,3,"[{""name"": ""苹果粉"", ""share"": 0.636, ""q"": 0.091, ""capture"": 0.626, ""miss_deg"": 1.45, ""labels"": [64, 250]}, {""name"": ""球L"", ""share"": 0.259, ""q"": 0.037, ""capture"": 0.516, ""miss_deg"": 1.72, ""labels"": [259]}, {""name"": ""苹果红"", ""share"": 0.065, ""q"": 0.009, ""capture"": 0.085, ""miss_deg"": 3.33, ""labels"": [260]}]"
2026_08_20/001,c2,v9,,selfcal2,82.05,82.48,0.43,3.292,球L,259,0.343,0.099,1.37,0.38,0.58,0.713,物品台,,0,0,,,,3,"[{""name"": ""球L"", ""share"": 0.343, ""q"": 0.099, ""capture"": 1.37, ""miss_deg"": 0.0, ""labels"": [259]}, {""name"": ""苹果红"", ""share"": 0.199, ""q"": 0.057, ""capture"": 0.52, ""miss_deg"": 1.71, ""labels"": [260]}, {""name"": ""球M"", ""share"": 0.092, ""q"": 0.026, ""capture"": 0.423, ""miss_deg"": 1.97, ""labels"": [261]}]"
