cfg,score,thr,n,coverage,correct,wrong,acc_covered
mass10,share,0.2,175,0.971,150,20,0.882
mass10,share,0.3,175,0.937,145,19,0.884
mass10,share,0.35,175,0.897,138,19,0.879
mass10,share,0.4,175,0.863,132,19,0.874
mass10,share,0.45,175,0.84,128,19,0.871
mass10,share,0.5,175,0.817,126,17,0.881
mass10,share,0.6,175,0.743,115,15,0.885
mass10,share,0.7,175,0.686,106,14,0.883
mass10,share,0.8,175,0.651,102,12,0.895
mass10,share,0.9,175,0.554,83,14,0.856
