rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,cluster010,61.15,65.15,4.0,1.515,香蕉,323,1.0,0.57,0.57,0.0,0.0,0.43,object#316,,1,1,4,香蕉,1,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.57, ""capture"": 0.57, ""miss_deg"": 1.06, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,cluster010,65.2,65.65,0.45,1.607,香蕉,323,1.0,0.087,0.087,0.0,0.0,0.913,object#17,,0,0,4,香蕉,1,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.087, ""capture"": 0.087, ""miss_deg"": 2.21, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,cluster010,65.88,66.82,0.94,1.491,香蕉,323,1.0,0.602,0.602,0.0,0.0,0.398,object#316,,1,1,4,香蕉,1,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.602, ""capture"": 0.602, ""miss_deg"": 1.01, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,cluster010,66.87,68.03,1.16,1.566,香蕉,323,1.0,0.14,0.14,0.0,0.0,0.86,object#316,,0,0,4,香蕉,1,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.14, ""capture"": 0.14, ""miss_deg"": 1.98, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,cluster010,68.59,69.54,0.95,1.423,球L,320,0.997,0.534,0.675,0.003,0.003,0.465,object#316,,1,1,,,,2,"[{""name"": ""球L"", ""share"": 0.997, ""q"": 0.534, ""capture"": 0.675, ""miss_deg"": 0.89, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.003, ""q"": 0.002, ""capture"": 0.002, ""miss_deg"": 3.58, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,cluster010,70.45,70.95,0.5,2.689,,-1,0.0,0.0,,,,1.0,floor,,0,0,5,球R,,0,[]
2026_08_16/000,e1,v7,,cluster010,71.0,73.51,2.51,1.48,球R,322,1.0,0.11,0.183,0.0,0.0,0.89,object#318,,0,0,5,球R,1,1,"[{""name"": ""球R"", ""share"": 1.0, ""q"": 0.11, ""capture"": 0.183, ""miss_deg"": 1.84, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,cluster010,74.33,74.83,0.5,1.626,石榴,78,1.0,0.032,0.049,0.0,0.0,0.968,object#201,,0,0,,,,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.032, ""capture"": 0.049, ""miss_deg"": 2.46, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,cluster010,75.26,77.05,1.79,1.418,球L,320,0.989,0.473,0.594,0.008,0.011,0.521,object#316,,1,1,,,,2,"[{""name"": ""球L"", ""share"": 0.989, ""q"": 0.473, ""capture"": 0.594, ""miss_deg"": 1.02, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.011, ""q"": 0.005, ""capture"": 0.005, ""miss_deg"": 3.24, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,cluster010,77.1,79.85,2.75,1.432,球L,320,0.948,0.363,0.459,0.044,0.055,0.617,object#316,,1,1,6,球L,1,2,"[{""name"": ""球L"", ""share"": 0.948, ""q"": 0.363, ""capture"": 0.459, ""miss_deg"": 1.25, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.052, ""q"": 0.02, ""capture"": 0.02, ""miss_deg"": 2.8, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,cluster010,79.96,81.8,1.84,1.472,香蕉,323,0.907,0.335,0.335,0.134,0.103,0.631,object#316,,1,1,6,球L,0,2,"[{""name"": ""香蕉"", ""share"": 0.907, ""q"": 0.335, ""capture"": 0.335, ""miss_deg"": 1.48, ""labels"": [323]}, {""name"": ""球L"", ""share"": 0.093, ""q"": 0.034, ""capture"": 0.045, ""miss_deg"": 2.49, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,cluster010,82.27,88.28,6.01,1.458,球M,321,1.0,0.392,0.539,0.0,0.0,0.608,object#10,,1,1,7,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.392, ""capture"": 0.539, ""miss_deg"": 1.11, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,cluster010,88.49,88.88,0.39,1.622,石榴,78,1.0,0.241,0.36,0.0,0.0,0.759,object#17,,1,1,,,,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.241, ""capture"": 0.36, ""miss_deg"": 1.43, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,cluster010,89.27,91.31,2.04,1.664,石榴,78,1.0,0.324,0.504,0.0,0.0,0.676,object#17,,1,1,,,,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.324, ""capture"": 0.504, ""miss_deg"": 1.17, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,cluster010,91.36,94.96,3.6,1.651,石榴,78,1.0,0.205,0.315,0.0,0.0,0.795,object#17,,1,1,8,石榴,1,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.205, ""capture"": 0.315, ""miss_deg"": 1.52, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,cluster010,95.2,96.77,1.57,1.536,香蕉,323,1.0,0.536,0.536,0.0,0.0,0.464,object#316,,1,1,,,,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.536, ""capture"": 0.536, ""miss_deg"": 1.12, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,cluster010,96.92,98.03,1.1,1.572,香蕉,323,1.0,0.512,0.512,0.0,0.0,0.488,object#316,,1,1,9,香蕉,1,2,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.512, ""capture"": 0.512, ""miss_deg"": 1.16, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.0, ""q"": 0.0, ""capture"": 0.0, ""miss_deg"": 4.02, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,cluster010,98.2,100.65,2.45,1.602,香蕉,323,0.983,0.575,0.575,0.024,0.017,0.415,object#316,,1,1,9,香蕉,1,2,"[{""name"": ""香蕉"", ""share"": 0.983, ""q"": 0.575, ""capture"": 0.575, ""miss_deg"": 1.05, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.017, ""q"": 0.01, ""capture"": 0.014, ""miss_deg"": 2.93, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,cluster010,100.76,101.76,1.0,1.629,香蕉,323,0.993,0.383,0.383,0.01,0.007,0.615,object#10,,1,1,9,香蕉,1,2,"[{""name"": ""香蕉"", ""share"": 0.993, ""q"": 0.383, ""capture"": 0.383, ""miss_deg"": 1.39, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.007, ""q"": 0.003, ""capture"": 0.004, ""miss_deg"": 3.36, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,cluster010,102.28,105.33,3.05,1.453,球L,320,0.891,0.286,0.371,0.094,0.122,0.679,object#316,,1,1,,,,2,"[{""name"": ""球L"", ""share"": 0.891, ""q"": 0.286, ""capture"": 0.371, ""miss_deg"": 1.41, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.109, ""q"": 0.035, ""capture"": 0.035, ""miss_deg"": 2.59, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,cluster010,105.38,108.98,3.6,1.487,球L,320,0.514,0.142,0.189,0.714,0.946,0.723,object#316,,0,0,10,球L,1,2,"[{""name"": ""球L"", ""share"": 0.514, ""q"": 0.142, ""capture"": 0.189, ""miss_deg"": 1.83, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.486, ""q"": 0.135, ""capture"": 0.135, ""miss_deg"": 2.0, ""labels"": [323]}]"
