rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/001,e2,v7,stress,selfcal3,6,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,selfcal3,7,苹果,fruit(4-5cm),1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,selfcal3,8,石榴,fruit(4-5cm),1.56,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,selfcal3,9,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,selfcal3,10,球R,ball(3cm),1.56,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,59.99,66.81,2,2,2,2,wrong,球M,2.78,0.5,2.28,0.957,1.353,0.029,0.871,2.27,wrong_only,0,1,0,0,球M,wrong,wrong,wrong,球M,5.58,wrong,球M,5.58,,1.353,,0.957,3.32
2026_08_16/001,e2,v7,stress,selfcal3,11,球L,ball(3cm),2.1,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,66.7,74.18,3,3,3,3,correct,球L,2.72,0.55,2.22,0.634,0.545,0.224,0.906,2.17,correct_only,1,0,0,0,,correct,correct,correct,球L,6.17,correct,球L,6.17,0.726,,0.645,,3.27
2026_08_16/001,e2,v7,stress,selfcal3,12,球M,ball(3cm),3.21,≥2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,92.73,95.86,3,3,3,2,correct,球M,0.82,-0.04,0.32,0.599,1.055,0.12,0.84,0.87,correct_only,1,0,0,0,,correct,correct,correct,球M,2.6,correct,球M,2.6,1.093,,0.599,,3.3
2026_08_16/s1,s1,v7,,selfcal3,1,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,16.77,22.45,3,3,3,3,correct,球R,2.93,-0.76,0.55,0.947,0.935,0.041,0.733,3.68,correct_only,1,0,0,0,,correct,correct,correct,球R,5.8,correct,球R,5.8,0.935,,0.947,,1.66
2026_08_16/s1,s1,v7,,selfcal3,2,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,23.61,29.38,1,1,1,1,correct,球L,5.65,-0.85,3.18,0.973,0.615,0.011,0.756,6.5,correct_only,1,0,0,0,,correct,correct,correct,球L,6.5,correct,球L,6.5,0.615,,0.973,,1.61
2026_08_16/s1,s1,v7,,selfcal3,3,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,30.54,36.34,3,3,3,3,correct,球M,1.43,1.05,-1.07,1.0,0.915,0.0,0.635,0.38,correct_only,1,0,0,0,,correct,correct,correct,球M,3.36,correct,球M,3.36,0.998,,1.0,,1.5
2026_08_16/s1,s1,v7,,selfcal3,4,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,37.5,43.32,3,3,3,3,correct,球L,1.83,1.12,-0.69,0.995,0.814,0.002,0.669,0.7,correct_only,1,0,0,0,,correct,correct,correct,球L,4.22,correct,球L,4.22,0.911,,0.995,,1.55
2026_08_16/s1,s1,v7,,selfcal3,5,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,44.48,50.18,1,1,1,1,correct,球M,5.16,-0.64,2.76,1.0,1.251,0.0,0.501,5.8,correct_only,1,0,0,0,,correct,correct,correct,球M,5.8,correct,球M,5.8,1.251,,1.0,,1.5
2026_08_16/s1,s1,v7,,selfcal3,6,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,51.34,57.08,5,5,5,5,correct,球M,1.67,0.97,-0.77,1.0,1.032,0.0,0.602,0.7,correct_only,1,0,0,0,,correct,correct,correct,球M,3.95,correct,球M,3.95,1.395,,1.0,,1.49
2026_08_16/s1,s1,v7,,selfcal3,7,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,58.24,63.97,2,2,2,2,correct,球R,2.71,-1.24,0.28,1.0,1.088,0.0,0.673,3.95,correct_only,1,0,0,0,,correct,correct,correct,球R,6.39,correct,球R,6.39,1.159,,1.0,,1.59
2026_08_16/s1,s1,v7,,selfcal3,8,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,65.37,71.11,2,2,2,2,correct,球L,3.6,-0.19,1.16,1.0,0.846,0.0,0.657,3.79,correct_only,1,0,0,0,,correct,correct,correct,球L,5.2,correct,球L,5.2,0.948,,1.0,,1.55
2026_08_16/s1,s1,v7,,selfcal3,9,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,72.27,78.0,2,2,2,2,correct,球L,4.18,-1.02,1.75,1.0,0.83,0.0,0.669,5.2,correct_only,1,0,0,0,,correct,correct,correct,球L,6.17,correct,球L,6.17,0.891,,1.0,,1.56
2026_08_16/s1,s1,v7,,selfcal3,10,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,79.16,84.98,4,4,4,4,correct,球M,2.62,1.97,0.1,1.0,1.307,0.0,0.479,0.65,correct_only,1,0,0,0,,correct,correct,correct,球M,3.14,correct,球M,3.14,1.307,,1.0,,1.52
2026_08_16/s1,s1,v7,,selfcal3,11,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,86.14,92.08,2,2,2,2,correct,球R,3.78,1.51,1.14,1.0,0.919,0.0,0.737,2.27,correct_only,1,0,0,0,,correct,correct,correct,球R,3.74,correct,球R,3.74,0.919,,1.0,,1.6
2026_08_16/s1,s1,v7,,selfcal3,12,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,93.24,99.18,4,4,4,4,correct,球M,3.66,-1.21,1.02,1.0,1.411,0.0,0.438,4.87,correct_only,1,0,0,0,,correct,correct,correct,球M,6.61,correct,球M,6.61,1.411,,1.0,,1.5
2026_08_16/s1,s1,v7,,selfcal3,13,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,100.34,106.28,1,1,1,1,correct,球R,5.64,-1.08,3.0,1.0,1.15,0.0,0.671,6.72,correct_only,1,0,0,0,,correct,correct,correct,球R,6.72,correct,球R,6.72,1.15,,1.0,,1.6
2026_08_16/s1,s1,v7,,selfcal3,14,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,107.44,113.4,2,2,2,2,correct,球R,3.98,-0.95,1.32,0.999,1.204,0.001,0.655,4.93,correct_only,1,0,0,0,,correct,correct,correct,球R,6.45,correct,球R,6.45,1.216,,0.999,,1.61
2026_08_16/s1,s1,v7,,selfcal3,15,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,114.56,120.57,1,1,1,1,correct,球L,5.74,-0.97,3.03,0.905,0.812,0.044,0.643,6.72,correct_only,1,0,0,0,,correct,correct,correct,球L,6.72,correct,球L,6.72,0.812,,0.905,,1.59
2026_08_16/s2,s2,v7,,selfcal3,1,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,18.18,23.88,2,2,2,2,correct,球M,0.93,0.6,-1.47,0.999,1.53,0.001,0.71,0.32,correct_only,1,0,0,0,,correct,correct,correct,球M,4.92,correct,球M,4.92,1.53,,1.0,,2.39
2026_08_16/s2,s2,v7,,selfcal3,2,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,25.04,30.76,2,2,2,2,correct,球R,2.44,2.16,0.02,0.63,0.564,0.426,0.877,0.27,correct_only,1,0,0,0,,correct,correct,correct,球R,1.46,correct,球R,1.46,0.621,,0.688,,2.43
2026_08_16/s2,s2,v7,,selfcal3,3,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,31.92,37.72,2,2,2,2,correct,球M,2.16,1.78,-0.34,1.0,0.225,0.0,0.963,0.38,correct_only,1,0,0,0,,correct,correct,correct,球M,3.63,correct,球M,3.63,0.848,,1.0,,2.45
2026_08_16/s2,s2,v7,,selfcal3,4,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,38.88,44.65,3,3,3,1,correct,球R,3.41,-0.06,0.94,0.466,0.738,0.828,0.783,3.47,correct_only,1,0,0,0,,correct,correct,correct,球R,5.15,correct,球R,5.15,1.376,,0.515,,2.43
2026_08_16/s2,s2,v7,,selfcal3,5,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,miss,1,45.81,51.53,4,4,3,1,wrong,苹果,1.0,0.73,-1.42,0.648,0.954,0.238,0.697,0.27,wrong_only,0,1,0,0,苹果,wrong,wrong,wrong,苹果,4.6,wrong,苹果,4.12,,0.954,,0.648,2.43
2026_08_16/s2,s2,v7,,selfcal3,6,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,52.69,58.39,2,2,2,1,correct,球R,3.63,1.79,1.23,0.484,0.757,0.773,0.786,1.84,mixed,1,1,0,1,石榴,wrong,correct,correct,球R,1.84,correct,球R,1.84,0.757,0.521,0.484,0.582,2.44
2026_08_16/s2,s2,v7,,selfcal3,7,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,59.55,65.33,4,4,3,3,correct,球M,3.5,2.9,1.02,1.0,0.439,0.0,0.928,0.6,mixed,1,1,1,1,苹果,correct,correct,correct,球M,1.84,correct,球M,1.35,0.439,0.688,1.0,0.6,2.54
2026_08_16/s2,s2,v7,,selfcal3,8,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,miss,1,66.69,72.44,1,1,1,1,wrong,苹果,5.46,-0.39,3.01,0.503,0.784,0.529,0.678,5.85,wrong_only,0,1,0,0,苹果,wrong,wrong,wrong,苹果,5.85,wrong,苹果,5.85,,0.784,,0.503,2.49
