rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/000,e1,v7,,mass10,1,苹果,fruit(4-5cm),4.22,≥2.5°,clear,0,0,schedule,1,hit,1,41.39,46.95,3,3,3,3,correct,苹果,3.08,-0.14,0.82,0.999,1.005,0.001,0.293,3.22,mixed,1,1,0,1,香蕉,correct,correct,correct,1.005,0.404,0.999,0.961,1.66
2026_08_16/000,e1,v7,,mass10,2,球M,ball(3cm),8.3,≥2.5°,clear,0,0,schedule,1,hit,1,48.11,53.86,2,2,2,2,correct,球M,3.11,2.77,0.66,1.0,0.367,0.0,0.731,0.34,correct_only,1,0,0,0,,correct,correct,correct,0.898,,1.0,,1.42
2026_08_16/000,e1,v7,,mass10,3,石榴,fruit(4-5cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,55.02,60.64,2,2,2,2,correct,石榴,2.51,0.06,0.19,1.0,0.513,0.0,0.657,2.46,correct_only,1,0,0,0,,correct,correct,correct,0.513,,1.0,,1.64
2026_08_16/000,e1,v7,,mass10,4,香蕉,banana,4.22,≥2.5°,clear,0,0,schedule,1,hit,1,61.8,67.43,4,4,3,3,correct,香蕉,2.61,-0.33,0.28,1.0,0.529,0.0,0.471,2.94,correct_only,1,0,0,0,,correct,correct,correct,0.602,,1.0,,1.52
2026_08_16/000,e1,v7,,mass10,5,球R,ball(3cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,68.59,74.27,2,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.183,,1.0,,1.48
2026_08_16/000,e1,v7,,mass10,6,球L,ball(3cm),5.53,≥2.5°,clear,0,0,schedule,1,hit,1,75.43,81.18,4,4,4,4,correct,球L,3.12,1.72,0.67,0.985,0.533,0.011,0.569,1.4,mixed,1,1,0,1,香蕉,correct,correct,correct,0.562,0.346,0.985,0.957,1.46
2026_08_16/000,e1,v7,,mass10,7,球M,ball(3cm),8.3,≥2.5°,clear,0,0,schedule,1,hit,1,82.88,88.66,7,7,7,7,correct,球M,0.64,0.04,-1.84,1.0,0.408,0.0,0.703,0.6,correct_only,1,0,0,0,,correct,correct,correct,0.599,,1.0,,1.46
2026_08_16/000,e1,v7,,mass10,8,石榴,fruit(4-5cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,89.82,95.4,1,1,1,1,correct,石榴,5.14,1.61,2.86,1.0,0.298,0.0,0.806,3.53,correct_only,1,0,0,0,,correct,correct,correct,0.298,,1.0,,1.65
2026_08_16/000,e1,v7,,mass10,9,香蕉,banana,4.22,≥2.5°,clear,0,0,schedule,1,hit,1,96.56,102.11,4,4,4,4,correct,香蕉,1.47,0.36,-0.78,1.0,0.512,0.0,0.488,1.1,correct_only,1,0,0,0,,correct,correct,correct,0.544,,1.0,,1.6
2026_08_16/000,e1,v7,,mass10,10,球L,ball(3cm),5.53,≥2.5°,clear,0,0,schedule,1,hit,1,103.27,109.12,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.189,,0.514,,1.49
2026_08_16/000,e1,v7,,mass10,11,苹果,fruit(4-5cm),4.22,≥2.5°,clear,0,0,schedule,1,hit,1,110.28,116.1,4,4,3,3,correct,苹果,2.55,1.72,0.03,0.99,0.341,0.006,0.758,0.83,correct_only,1,0,0,0,,correct,correct,correct,0.341,,1.0,,1.66
2026_08_16/000,e1,v7,,mass10,12,球R,ball(3cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,117.26,123.17,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.135,,1.0,,1.47
2026_08_16/001,e2,v7,stress,mass10,1,球L,ball(3cm),2.1,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,15.68,19.4,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.005,,1.0,,3.17
2026_08_16/001,e2,v7,stress,mass10,2,球R,ball(3cm),1.56,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,32.06,40.2,6,6,5,5,wrong,球L,0.45,0.12,-0.05,0.714,0.528,0.119,0.829,0.32,mixed,1,1,1,0,球L,wrong,wrong,correct,0.624,0.528,1.0,0.714,3.31
2026_08_16/001,e2,v7,stress,mass10,3,苹果,fruit(4-5cm),1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,mass10,4,石榴,fruit(4-5cm),1.56,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,mass10,5,球M,ball(3cm),3.21,≥2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,43.24,45.72,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.093,,1.0,,3.61
2026_08_16/001,e2,v7,stress,mass10,6,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,mass10,7,苹果,fruit(4-5cm),1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,mass10,8,石榴,fruit(4-5cm),1.56,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,mass10,9,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,mass10,10,球R,ball(3cm),1.56,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,59.99,66.81,2,2,1,1,correct,球R,2.78,0.5,2.28,0.719,0.391,0.286,0.911,2.27,correct_only,1,0,0,0,,correct,correct,correct,0.391,,1.0,,3.33
2026_08_16/001,e2,v7,stress,mass10,11,球L,ball(3cm),2.1,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,66.7,74.18,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.188,,1.0,,3.28
2026_08_16/001,e2,v7,stress,mass10,12,球M,ball(3cm),3.21,≥2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,92.73,95.86,3,3,2,2,correct,球M,0.77,0.5,0.27,1.0,0.212,0.0,0.965,0.27,correct_only,1,0,0,0,,correct,correct,correct,0.513,,1.0,,3.71
2026_08_16/s1,s1,v7,,mass10,1,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,16.77,22.45,3,3,3,3,correct,球R,2.93,-0.76,0.55,1.0,0.839,0.0,0.543,3.68,correct_only,1,0,0,0,,correct,correct,correct,1.018,,1.0,,1.61
2026_08_16/s1,s1,v7,,mass10,2,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,23.61,29.38,1,1,1,1,correct,球L,5.65,-0.85,3.18,1.0,0.915,0.0,0.322,6.5,correct_only,1,0,0,0,,correct,correct,correct,0.915,,1.0,,1.53
2026_08_16/s1,s1,v7,,mass10,3,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,30.54,36.34,2,2,2,2,correct,球M,1.86,1.05,-0.64,1.0,1.03,0.0,0.277,0.81,correct_only,1,0,0,0,,correct,correct,correct,1.03,,1.0,,1.49
2026_08_16/s1,s1,v7,,mass10,4,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,37.5,43.32,3,3,2,2,correct,球L,1.83,1.12,-0.69,1.0,0.738,0.0,0.454,0.7,correct_only,1,0,0,0,,correct,correct,correct,0.891,0.141,1.0,0.643,1.54
