rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/s1,s1,v7,,mass15,9,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,72.27,78.0,1,1,1,1,correct,球L,5.21,-1.02,2.78,1.0,0.767,0.0,0.694,6.23,correct_only,1,0,0,0,,correct,correct,correct,0.767,,1.0,,1.58
2026_08_16/s1,s1,v7,,mass15,10,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,79.16,84.98,6,6,6,6,correct,球M,1.25,0.66,-1.27,1.0,0.979,0.0,0.622,0.6,correct_only,1,0,0,0,,correct,correct,correct,1.358,,1.0,,1.56
2026_08_16/s1,s1,v7,,mass15,11,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,86.14,92.08,1,1,1,1,correct,球R,5.41,1.51,2.77,1.0,0.73,0.0,0.78,3.9,correct_only,1,0,0,0,,correct,correct,correct,0.73,,1.0,,1.6
2026_08_16/s1,s1,v7,,mass15,12,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,93.24,99.18,2,2,2,2,correct,球M,4.42,-1.21,1.78,1.0,1.16,0.0,0.538,5.63,correct_only,1,0,0,0,,correct,correct,correct,1.413,,1.0,,1.5
2026_08_16/s1,s1,v7,,mass15,13,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,100.34,106.28,1,1,1,1,correct,球R,5.64,-1.08,3.0,1.0,1.141,0.0,0.674,6.72,correct_only,1,0,0,0,,correct,correct,correct,1.141,,1.0,,1.61
2026_08_16/s1,s1,v7,,mass15,14,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,107.44,113.4,3,3,3,3,correct,球R,3.92,-0.95,1.26,0.998,1.06,0.001,0.697,4.87,correct_only,1,0,0,0,,correct,correct,correct,1.06,,0.998,,1.62
2026_08_16/s1,s1,v7,,mass15,15,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,114.56,120.57,1,1,1,1,correct,球L,5.74,-0.97,3.03,1.0,0.718,0.0,0.714,6.72,correct_only,1,0,0,0,,correct,correct,correct,0.718,,1.0,,1.59
2026_08_16/s2,s2,v7,,mass15,1,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,18.18,23.88,1,1,1,1,correct,球M,5.74,2.11,3.34,1.0,1.246,0.0,0.764,3.63,correct_only,1,0,0,0,,correct,correct,correct,1.246,,1.0,,2.35
2026_08_16/s2,s2,v7,,mass15,2,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,25.04,30.76,2,2,2,2,correct,球R,2.98,-0.81,0.56,0.858,0.838,0.138,0.866,3.79,correct_only,1,0,0,0,,correct,correct,correct,0.838,,0.862,,2.48
2026_08_16/s2,s2,v7,,mass15,3,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,31.92,37.72,5,5,5,5,correct,球M,1.51,0.7,-0.99,1.0,1.703,0.0,0.721,0.81,correct_only,1,0,0,0,,correct,correct,correct,1.703,,1.0,,2.45
2026_08_16/s2,s2,v7,,mass15,4,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,38.88,44.65,3,3,3,3,correct,球R,3.41,-0.93,0.94,0.775,1.26,0.21,0.807,4.33,correct_only,1,0,0,0,,correct,correct,correct,1.346,,0.795,,2.49
2026_08_16/s2,s2,v7,,mass15,5,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,45.81,51.53,3,3,3,2,correct,球L,3.44,-0.89,1.02,0.497,0.735,0.211,0.695,4.33,mixed,1,1,1,1,香蕉,wrong,correct,correct,0.735,0.239,0.507,0.683,2.43
2026_08_16/s2,s2,v7,,mass15,6,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,52.69,58.39,2,2,2,2,correct,球R,4.39,-0.81,1.99,0.76,1.067,0.264,0.808,5.2,correct_only,1,0,0,0,,correct,correct,correct,1.067,,0.76,,2.46
2026_08_16/s2,s2,v7,,mass15,7,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,59.55,65.33,4,4,4,4,correct,球M,2.25,1.28,-0.23,0.995,1.6,0.001,0.696,0.97,mixed,1,1,1,1,香蕉,correct,correct,correct,1.6,0.343,1.0,0.595,2.45
2026_08_16/s2,s2,v7,,mass15,8,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,66.69,72.44,1,1,1,1,correct,球L,5.46,-0.39,3.01,0.53,0.831,0.159,0.703,5.85,correct_only,1,0,0,0,,correct,correct,correct,0.831,,0.53,,2.47
2026_08_16/s2,s2,v7,,mass15,9,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,73.6,79.28,1,1,1,1,correct,球R,5.49,2.89,3.11,0.842,1.059,0.136,0.851,2.6,correct_only,1,0,0,0,,correct,correct,correct,1.059,,0.842,,2.55
2026_08_16/s2,s2,v7,,mass15,10,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,80.44,86.23,3,3,3,3,correct,球R,2.77,-0.37,0.28,0.699,1.31,0.312,0.777,3.14,correct_only,1,0,0,0,,correct,correct,correct,1.31,,0.762,,2.52
2026_08_16/s2,s2,v7,,mass15,11,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,87.39,93.38,5,5,5,5,correct,球M,1.73,1.3,-0.96,0.988,1.667,0.003,0.724,0.43,correct_only,1,0,0,0,,correct,correct,correct,1.877,,1.0,,2.39
2026_08_16/s2,s2,v7,,mass15,12,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,94.54,100.51,3,3,3,2,correct,球L,3.72,-0.84,1.05,0.618,0.748,0.151,0.771,4.56,correct_only,1,0,0,0,,correct,correct,correct,0.781,,0.618,,2.47
2026_08_16/s2,s2,v7,,mass15,13,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,101.67,107.63,3,3,3,3,correct,球M,3.45,3.01,0.79,1.0,1.468,0.0,0.76,0.43,correct_only,1,0,0,0,,correct,correct,correct,1.809,,1.0,,2.4
2026_08_16/s2,s2,v7,,mass15,14,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,108.79,114.8,3,3,2,2,wrong,香蕉,4.95,4.52,2.24,0.67,0.238,1.076,0.779,0.43,mixed,1,1,1,0,香蕉,wrong,correct,correct,0.77,0.238,0.562,0.67,2.47
