rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_20/000,c1,v9,,tag15,55.45,55.77,0.32,2.171,球M,261,0.743,0.12,0.731,0.06,0.269,0.839,物品台,,1,1,6,水瓶,0,3,"[{""name"": ""球M"", ""share"": 0.743, ""q"": 0.12, ""capture"": 0.731, ""miss_deg"": 1.19, ""labels"": [261]}, {""name"": ""水瓶"", ""share"": 0.2, ""q"": 0.032, ""capture"": 0.044, ""miss_deg"": 3.76, ""labels"": [30]}, {""name"": ""球L"", ""share"": 0.015, ""q"": 0.002, ""capture"": 0.015, ""miss_deg"": 4.34, ""labels"": [259]}]"
2026_08_20/000,c1,v9,,tag15,56.21,56.48,0.27,2.171,球M,261,0.686,0.15,0.915,0.071,0.319,0.782,物品台,,1,1,6,水瓶,0,3,"[{""name"": ""球M"", ""share"": 0.686, ""q"": 0.15, ""capture"": 0.915, ""miss_deg"": 0.63, ""labels"": [261]}, {""name"": ""水瓶"", ""share"": 0.219, ""q"": 0.048, ""capture"": 0.065, ""miss_deg"": 3.51, ""labels"": [30]}, {""name"": ""白杯1"", ""share"": 0.025, ""q"": 0.006, ""capture"": 0.017, ""miss_deg"": 4.27, ""labels"": [266]}]"
2026_08_20/000,c1,v9,,tag15,57.02,57.61,0.6,2.276,球M,261,0.411,0.158,1.086,0.286,0.287,0.615,物品台,,1,0,,,,3,"[{""name"": ""球M"", ""share"": 0.411, ""q"": 0.158, ""capture"": 1.086, ""miss_deg"": 0.0, ""labels"": [261]}, {""name"": ""球L"", ""share"": 0.118, ""q"": 0.045, ""capture"": 0.311, ""miss_deg"": 2.29, ""labels"": [259]}, {""name"": ""苹果红"", ""share"": 0.093, ""q"": 0.036, ""capture"": 0.174, ""miss_deg"": 2.8, ""labels"": [260]}]"
2026_08_20/000,c1,v9,,tag15,58.47,58.96,0.49,2.301,球M,261,0.221,0.151,1.033,0.512,2.416,0.319,object#12,,0,0,,,,3,"[{""name"": ""球M"", ""share"": 0.221, ""q"": 0.151, ""capture"": 1.033, ""miss_deg"": 0.0, ""labels"": [261]}, {""name"": ""水瓶"", ""share"": 0.534, ""q"": 0.364, ""capture"": 0.529, ""miss_deg"": 1.69, ""labels"": [30]}, {""name"": ""苹果红"", ""share"": 0.048, ""q"": 0.033, ""capture"": 0.158, ""miss_deg"": 2.88, ""labels"": [260]}]"
2026_08_20/000,c1,v9,,tag15,59.01,59.71,0.7,2.29,球L,259,0.239,0.139,0.953,0.757,1.067,0.417,物品台,,0,0,,,,3,"[{""name"": ""球L"", ""share"": 0.239, ""q"": 0.139, ""capture"": 0.953, ""miss_deg"": 0.46, ""labels"": [259]}, {""name"": ""苹果红"", ""share"": 0.255, ""q"": 0.149, ""capture"": 0.721, ""miss_deg"": 1.21, ""labels"": [260]}, {""name"": ""球M"", ""share"": 0.12, ""q"": 0.07, ""capture"": 0.478, ""miss_deg"": 1.82, ""labels"": [261]}]"
2026_08_20/000,c1,v9,,tag15,59.77,60.63,0.87,2.321,球M,261,0.202,0.135,0.982,0.467,2.351,0.335,物品台,,0,0,,,,3,"[{""name"": ""球M"", ""share"": 0.202, ""q"": 0.135, ""capture"": 0.982, ""miss_deg"": 0.28, ""labels"": [261]}, {""name"": ""水瓶"", ""share"": 0.475, ""q"": 0.316, ""capture"": 0.459, ""miss_deg"": 1.87, ""labels"": [30]}, {""name"": ""苹果红"", ""share"": 0.12, ""q"": 0.08, ""capture"": 0.387, ""miss_deg"": 2.07, ""labels"": [260]}]"
2026_08_20/000,c1,v9,,tag15,61.2,61.68,0.49,3.344,,-1,0.0,0.0,,,,1.0,object#36,,0,0,,,,0,[]
2026_08_20/000,c1,v9,,tag15,61.74,62.33,0.6,3.393,,-1,0.0,0.0,,,,1.0,object#36,,0,0,,,,0,[]
2026_08_20/000,c1,v9,,tag15,64.98,65.31,0.32,2.188,球M,261,0.539,0.106,0.651,0.177,0.176,0.802,物品台,,1,1,,,,3,"[{""name"": ""球M"", ""share"": 0.539, ""q"": 0.106, ""capture"": 0.651, ""miss_deg"": 1.39, ""labels"": [261]}, {""name"": ""球R"", ""share"": 0.095, ""q"": 0.019, ""capture"": 0.115, ""miss_deg"": 3.12, ""labels"": [263]}, {""name"": ""白杯1"", ""share"": 0.127, ""q"": 0.025, ""capture"": 0.08, ""miss_deg"": 3.37, ""labels"": [266]}]"
2026_08_20/000,c1,v9,,tag15,65.58,65.91,0.32,2.163,球L,259,0.59,0.066,0.401,0.369,0.369,0.889,物品台,,1,1,,,,3,"[{""name"": ""球L"", ""share"": 0.59, ""q"": 0.066, ""capture"": 0.401, ""miss_deg"": 2.03, ""labels"": [259]}, {""name"": ""球M"", ""share"": 0.218, ""q"": 0.024, ""capture"": 0.148, ""miss_deg"": 2.93, ""labels"": [261]}, {""name"": ""水瓶"", ""share"": 0.154, ""q"": 0.017, ""capture"": 0.023, ""miss_deg"": 4.12, ""labels"": [30]}]"
