rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,ours_first,ours_obj,ours_cap,ours_share,ours_A,ours_any,ours_lcs,v1_first,v1_obj,v1_cap,v1_share,v1_A,v1_any,v1_lcs,ours_best_target_cap,v1_best_target_cap,ours_best_wrong_cap,v1_best_wrong_cap
2026_08_16/s1,11,球R,≥2.5°,clear,,5.41,1.6,1,correct,球R,0.472,1.0,0.0,correct_only,hit,correct,球R,,0.99,,correct_only,hit,0.472,0.0,,
2026_08_16/s1,12,球M,≥2.5°,clear,,7.69,1.5,1,correct,球M,0.824,1.0,0.0,correct_only,hit,correct,球M,,1.0,,correct_only,hit,1.191,0.0,,
2026_08_16/s1,13,球R,≥2.5°,clear,,5.41,1.61,1,correct,球R,0.997,1.0,0.0,correct_only,hit,correct,球R,,0.968,,correct_only,hit,0.997,0.0,,
2026_08_16/s1,14,球R,≥2.5°,clear,,5.41,1.62,1,correct,球R,0.849,1.0,0.0,correct_only,hit,correct,球R,,0.947,,correct_only,hit,0.849,0.0,,
2026_08_16/s1,15,球L,≥2.5°,clear,,5.02,1.59,1,correct,球L,0.521,1.0,0.0,correct_only,hit,correct,球L,,0.873,,correct_only,hit,0.521,0.0,,
2026_08_16/s2,1,球M,≥2.5°,clear,,4.47,2.35,1,correct,球M,0.904,1.0,0.0,correct_only,hit,correct,球M,,0.995,,correct_only,hit,0.904,0.0,,
2026_08_16/s2,2,球R,≥2.5°,clear,,2.55,2.48,1,correct,球R,0.561,0.995,0.004,correct_only,hit,correct,球R,,0.892,,correct_only,hit,0.561,0.0,,
2026_08_16/s2,3,球M,≥2.5°,clear,,4.47,2.45,1,correct,球M,1.145,1.0,0.0,correct_only,hit,correct,球M,,0.991,,correct_only,hit,1.254,0.0,,
2026_08_16/s2,4,球R,≥2.5°,clear,,2.55,2.49,1,correct,球R,1.007,0.962,0.029,correct_only,hit,correct,球R,,0.831,,correct_only,hit,1.078,0.0,,
2026_08_16/s2,5,球L,≥2.5°,clear,,2.85,2.43,1,correct,球L,0.7,0.746,0.116,mixed,hit,correct,球L,,0.537,,mixed,hit,0.7,0.0,0.208,0.0
2026_08_16/s2,6,球R,≥2.5°,clear,,2.55,2.46,1,correct,球R,0.937,0.955,0.034,correct_only,hit,correct,球R,,0.813,,correct_only,hit,0.937,0.0,,
2026_08_16/s2,7,球M,≥2.5°,clear,,4.47,2.45,1,correct,球M,1.372,1.0,0.0,mixed,hit,correct,球M,,0.968,,mixed,hit,1.372,0.0,0.37,0.0
2026_08_16/s2,8,球L,≥2.5°,clear,,2.85,2.47,1,correct,球L,0.774,0.807,0.071,correct_only,hit,correct,球L,,0.579,,correct_only,hit,0.774,0.0,,
2026_08_16/s2,9,球R,≥2.5°,clear,,2.55,2.55,1,correct,球R,0.806,0.993,0.005,correct_only,hit,correct,球R,,0.891,,correct_only,hit,0.806,0.0,,
2026_08_16/s2,10,球R,≥2.5°,clear,,2.55,2.52,1,correct,球R,1.083,0.907,0.078,correct_only,hit,correct,球R,,0.777,,correct_only,hit,1.113,0.0,,
2026_08_16/s2,11,球M,≥2.5°,clear,,4.47,2.39,1,correct,球M,1.286,1.0,0.0,correct_only,hit,correct,球M,,0.938,,correct_only,hit,1.381,0.0,,
2026_08_16/s2,12,球L,≥2.5°,clear,,2.85,2.47,1,correct,球L,0.673,0.861,0.065,correct_only,hit,correct,球L,,0.672,,correct_only,hit,0.673,0.0,,
2026_08_16/s2,13,球M,≥2.5°,clear,,4.47,2.4,1,correct,球M,0.972,1.0,0.0,correct_only,hit,correct,球M,,0.99,,correct_only,hit,1.41,0.0,,
2026_08_16/s2,14,球L,≥2.5°,clear,,2.85,2.47,1,correct,球L,0.65,0.656,0.182,correct_only,hit,correct,球L,,0.514,,mixed,hit,0.732,0.0,0.177,0.0
2026_08_16/s2,15,球L,≥2.5°,clear,,2.85,2.46,1,correct,球L,0.791,0.753,0.096,correct_only,hit,correct,球L,,0.541,,mixed,hit,0.791,0.0,0.111,0.0
2026_08_16/s3,1,球M,≥2.5°,clear,,3.19,3.45,1,none,,,,,none,hit,correct,球M,,0.994,,correct_only,hit,0.15,0.0,,
2026_08_16/s3,2,球L,1.0–2.5°,clear,,2.0,3.35,1,none,,,,,none,hit,correct,球L,,0.813,,correct_only,hit,0.147,0.0,,
2026_08_16/s3,3,球L,1.0–2.5°,clear,,2.0,3.35,1,none,,,,,none,hit,correct,球L,,0.841,,correct_only,hit,0.19,0.0,,
2026_08_16/s3,4,球M,≥2.5°,clear,,3.19,3.91,1,correct,球M,0.924,0.99,0.003,correct_only,hit,correct,球M,,0.807,,correct_only,hit,1.174,0.0,,
2026_08_16/s3,5,球R,1.0–2.5°,clear,,1.53,3.4,1,correct,球R,0.21,1.0,0.0,correct_only,hit,correct,球R,,0.845,,correct_only,hit,0.21,0.0,,
2026_08_16/s3,6,球R,1.0–2.5°,clear,,1.53,3.39,1,correct,球R,0.253,1.0,0.0,correct_only,hit,correct,球R,,0.846,,correct_only,hit,0.253,0.0,,
2026_08_16/s3,7,球L,1.0–2.5°,clear,,2.0,3.34,1,correct,球L,0.503,0.825,0.056,correct_only,hit,correct,球L,,0.799,,correct_only,hit,0.523,0.0,0.096,0.0
2026_08_16/s3,8,球L,1.0–2.5°,clear,,2.0,3.35,1,correct,球L,0.212,1.0,0.0,correct_only,hit,correct,球L,,0.844,,correct_only,hit,0.212,0.0,,
2026_08_16/s3,9,球M,≥2.5°,clear,,3.19,3.4,1,correct,球M,1.519,0.99,0.003,correct_only,hit,correct,球M,,0.863,,correct_only,hit,1.519,0.0,,
2026_08_16/s3,10,球R,1.0–2.5°,clear,,1.53,3.4,1,wrong,球M,0.247,1.0,0.0,mixed,hit,wrong,球M,,0.758,,mixed,hit,0.741,0.0,0.247,0.0
2026_08_16/s3,11,球L,1.0–2.5°,clear,,2.0,3.35,1,correct,球L,0.39,0.809,0.074,correct_only,hit,correct,球L,,0.734,,correct_only,hit,0.39,0.0,,
2026_08_16/s3,12,球M,≥2.5°,clear,,3.19,4.0,1,correct,球M,1.031,1.0,0.0,correct_only,hit,correct,球M,,0.958,,correct_only,hit,1.031,0.0,,
2026_08_16/s3,13,球R,1.0–2.5°,clear,,1.53,3.38,1,none,,,,,none,hit,correct,球R,,0.873,,correct_only,hit,0.135,0.0,,
2026_08_16/s3,14,球M,≥2.5°,clear,,3.19,3.39,1,correct,球M,0.306,1.0,0.0,correct_only,hit,correct,球M,,0.943,,mixed,hit,1.321,0.0,0.162,0.0
2026_08_16/s3,15,球R,1.0–2.5°,clear,,1.53,3.38,1,correct,球R,0.517,0.938,0.048,correct_only,hit,correct,球R,,0.827,,correct_only,hit,0.517,0.0,,
2026_08_16/s4,1,球L,1.0–2.5°,clear,,1.67,3.81,1,none,,,,,none,hit,correct,球L,,0.929,,correct_only,hit,0.071,0.0,,
2026_08_16/s4,2,球L,1.0–2.5°,clear,,1.67,3.8,1,none,,,,,none,hit,correct,球L,,0.979,,correct_only,hit,0.062,0.0,,
2026_08_16/s4,3,球M,≥2.5°,clear,,2.82,3.8,1,wrong,球L,0.611,0.929,0.026,mixed,miss,wrong,球L,,0.81,,mixed,hit,0.413,0.0,0.611,0.0
2026_08_16/s4,4,球R,1.0–2.5°,clear,,1.28,3.95,1,none,,,,,none,hit,wrong,球M,,0.78,,mixed,hit,0.015,0.0,0.008,0.0
2026_08_16/s4,5,球R,1.0–2.5°,clear,,1.28,3.87,1,none,,,,,none,hit,correct,球R,,0.902,,correct_only,hit,0.002,0.0,,
2026_08_16/s4,6,球M,≥2.5°,clear,,2.82,3.87,1,wrong,球R,0.303,0.985,0.017,mixed,hit,wrong,球R,,0.745,,mixed,hit,0.435,0.0,0.303,0.0
2026_08_16/s4,7,球M,≥2.5°,clear,,2.82,3.9,1,correct,球M,0.651,0.99,0.003,correct_only,hit,correct,球M,,0.826,,correct_only,hit,0.755,0.0,,
2026_08_16/s4,8,球L,1.0–2.5°,clear,,1.67,3.79,1,wrong,球M,0.854,1.0,0.0,mixed,hit,wrong,球M,,0.866,,mixed,hit,0.832,0.0,0.854,0.0
2026_08_16/s4,9,球R,1.0–2.5°,clear,,1.28,3.79,1,wrong,球L,0.23,1.0,0.0,mixed,hit,wrong,球L,,0.873,,mixed,hit,0.389,0.0,0.23,0.0
2026_08_16/s4,10,球M,≥2.5°,clear,,2.82,3.8,1,wrong,球R,0.613,0.939,0.064,wrong_only,miss,wrong,球R,,0.966,,wrong_only,miss,,,0.613,0.0
2026_08_16/s4,11,球R,1.0–2.5°,clear,,1.28,3.8,1,wrong,球M,0.642,0.744,0.104,wrong_only,hit,wrong,球M,,0.589,,mixed,hit,0.168,0.0,0.642,0.0
2026_08_16/s4,12,球R,1.0–2.5°,clear,,1.28,3.91,1,correct,球R,0.202,1.0,0.0,correct_only,hit,correct,球R,,0.787,,correct_only,hit,0.202,0.0,,
2026_08_16/s4,13,球M,≥2.5°,clear,,2.82,3.81,1,correct,球M,0.841,1.0,0.0,correct_only,hit,correct,球M,,0.88,,correct_only,hit,0.841,0.0,,
2026_08_16/s4,14,球L,1.0–2.5°,clear,,1.67,3.77,1,correct,球L,0.545,0.936,0.026,correct_only,hit,correct,球L,,0.808,,correct_only,hit,0.545,0.0,,
2026_08_16/s4,15,球L,1.0–2.5°,clear,,1.67,3.77,1,correct,球L,0.312,0.829,0.071,correct_only,hit,correct,球L,,0.65,,correct_only,hit,0.633,0.0,,
2026_08_16/s6,1,球L,<1.0°,clear,,0.56,4.43,1,correct,球L,0.294,0.992,0.003,correct_only,hit,correct,球L,,0.738,,correct_only,hit,0.69,0.0,,
2026_08_16/s6,2,球M,1.0–2.5°,clear,,1.79,4.53,1,correct,球M,0.407,0.999,0.002,correct_only,hit,correct,球M,,0.683,,mixed,hit,0.407,0.0,,0.0
2026_08_16/s6,3,球R,1.0–2.5°,clear,,1.85,4.56,1,none,,,,,none,hit,correct,球R,,0.739,,correct_only,hit,0.062,0.0,,
2026_08_16/s6,4,球R,1.0–2.5°,clear,,1.85,4.54,1,correct,球R,0.277,1.0,0.0,correct_only,hit,correct,球R,,0.812,,correct_only,hit,0.277,0.0,,
