cfg,A_thr,n,covered,coverage,correct,wrong,acc_covered
mass10,0.1,175,89,0.509,80,9,0.899
mass10,0.2,175,103,0.589,91,12,0.883
mass10,0.25,175,106,0.606,93,13,0.877
mass10,0.3,175,109,0.623,96,13,0.881
mass10,0.4,175,116,0.663,100,16,0.862
mass10,0.5,175,120,0.686,104,16,0.867
mass10,0.6,175,124,0.709,108,16,0.871
mass10,0.75,175,128,0.731,112,16,0.875
mass10,1.0,175,129,0.737,113,16,0.876
mass10,9.0,175,129,0.737,112,17,0.868
