theta_lo,theta_hi,n,hits,acc
0.5,0.75,28,25,0.893
0.75,1.0,41,28,0.683
1.0,1.5,34,31,0.912
1.5,2.5,59,56,0.949
2.5,4.0,51,49,0.961
4.0,6.0,62,58,0.935
6.0,20.0,23,22,0.957
