rec,card,room,map,station,tags,target,outcome,theta_deg,theta_src,vote,dur_s,dist_m
s3,s3,老房,v7,~3.4m 正对,,网球L,hit,3.19,station,0.84,12.0,3.35
s3,s3,老房,v7,~3.4m 正对,,网球L,hit,3.19,station,0.84,12.0,3.35
s3,s3,老房,v7,~3.4m 正对,,网球M,hit,3.19,unit,0.92,1.8,3.38
s3,s3,老房,v7,~3.4m 正对,,网球R,hit,3.19,station,0.85,12.8,3.39
s3,s3,老房,v7,~3.4m 正对,,网球R,hit,3.19,station,0.85,12.8,3.39
s3,s3,老房,v7,~3.4m 正对,,网球L,hit,3.19,station,0.79,11.8,3.34
s3,s3,老房,v7,~3.4m 正对,,网球L,hit,3.19,station,0.79,11.8,3.34
s3,s3,老房,v7,~3.4m 正对,,网球M,hit,3.19,unit,0.86,6.4,3.4
s3,s3,老房,v7,~3.4m 正对,,网球R,hit,1.53,unit,0.83,3.3,3.38
s3,s3,老房,v7,~3.4m 正对,,网球L,hit,2.0,unit,0.73,6.4,3.36
s3,s3,老房,v7,~3.4m 正对,,网球M,hit,3.19,unit,0.89,3.7,3.39
s3,s3,老房,v7,~3.4m 正对,,网球R,hit,1.53,unit,0.87,6.3,3.39
s3,s3,老房,v7,~3.4m 正对,,网球M,hit,3.19,unit,0.94,1.2,3.5
s3,s3,老房,v7,~3.4m 正对,,网球M,extra,3.19,unit,0.94,1.0,3.39
s3,s3,老房,v7,~3.4m 正对,,网球R,hit,1.53,unit,0.83,7.1,3.38
s4,s4,新房,v8,3.9m 正对,,网球L,hit,2.79,station,0.93,12.5,3.8
s4,s4,新房,v8,3.9m 正对,,网球L,hit,2.79,station,0.93,12.5,3.8
s4,s4,新房,v8,3.9m 正对,,网球M,hit,2.82,unit,0.85,1.1,3.82
s4,s4,新房,v8,3.9m 正对,,网球M,extra,2.82,unit,0.78,1.4,4.02
s4,s4,新房,v8,3.9m 正对,,网球R,hit,2.79,station,0.9,9.0,3.81
s4,s4,新房,v8,3.9m 正对,,网球R,hit,2.79,station,0.9,9.0,3.81
s4,s4,新房,v8,3.9m 正对,,网球M,hit,2.79,station,0.59,2.7,3.88
s4,s4,新房,v8,3.9m 正对,,网球M,hit,2.79,station,0.59,2.7,3.88
s4,s4,新房,v8,3.9m 正对,,网球M,extra,2.82,unit,0.89,1.4,3.86
s4,s4,新房,v8,3.9m 正对,,网球L,hit,1.67,unit,0.84,4.2,3.78
s4,s4,新房,v8,3.9m 正对,,网球R,hit,1.28,unit,0.85,4.9,3.84
s4,s4,新房,v8,3.9m 正对,,网球M,miss,2.82,unit,,,
s4,s4,新房,v8,3.9m 正对,,网球R,hit,2.79,station,0.82,10.2,3.8
s4,s4,新房,v8,3.9m 正对,,网球R,hit,2.79,station,0.82,10.2,3.8
s4,s4,新房,v8,3.9m 正对,,网球R,extra,1.28,unit,0.88,2.5,3.82
s4,s4,新房,v8,3.9m 正对,,网球M,hit,2.82,unit,0.88,4.3,3.81
s4,s4,新房,v8,3.9m 正对,,网球L,hit,2.79,station,0.85,12.9,3.77
s4,s4,新房,v8,3.9m 正对,,网球L,hit,2.79,station,0.85,12.9,3.77
s6,s6,新房,v8,4.3m α57°,,网球M,extra,1.79,unit,0.67,3.1,4.5
s6,s6,新房,v8,4.3m α57°,,网球L,hit,0.56,unit,0.74,5.5,4.43
s6,s6,新房,v8,4.3m α57°,,网球M,hit,1.79,unit,0.71,5.0,4.49
s6,s6,新房,v8,4.3m α57°,,网球R,hit,1.73,station,0.81,11.8,4.6
s6,s6,新房,v8,4.3m α57°,,网球R,hit,1.73,station,0.81,11.8,4.6
s6,s6,新房,v8,4.3m α57°,,网球M,hit,1.79,unit,0.7,6.6,4.46
s6,s6,新房,v8,4.3m α57°,,网球R,hit,1.73,station,0.68,10.9,4.56
s6,s6,新房,v8,4.3m α57°,,网球R,hit,1.73,station,0.68,10.9,4.56
s6,s6,新房,v8,4.3m α57°,,网球M,hit,1.79,unit,0.7,6.2,4.55
s6,s6,新房,v8,4.3m α57°,,网球L,hit,0.56,unit,0.69,5.8,4.49
s6,s6,新房,v8,4.3m α57°,,网球M,hit,1.79,unit,0.64,6.8,4.5
s6,s6,新房,v8,4.3m α57°,,网球L,hit,0.56,unit,0.68,4.5,4.41
s6,s6,新房,v8,4.3m α57°,,网球M,hit,1.79,unit,0.65,6.2,4.49
