theta_lo,theta_hi,n,hits,acc
1.0,1.5,14,14,1.0
1.5,2.5,24,23,0.958
2.5,4.0,8,8,1.0
4.0,6.0,7,7,1.0
6.0,20.0,4,4,1.0
