theta_lo,theta_hi,n,hits,acc
0.5,0.75,35,9,0.257
0.75,1.0,37,12,0.324
1.0,1.5,24,13,0.542
1.5,2.5,42,31,0.738
2.5,4.0,25,22,0.88
4.0,6.0,21,20,0.952
6.0,20.0,11,9,0.818
