rec,card,kind,person,loc_rate,dM,dL,dR,alpha_deg,eye_h,theta_med,theta_min,theta_max,bins
v1,v1,球卡,本人,0.91,2.15,2.14,2.15,-0,1.67,2.60,1.96,3.31,1.5-2.5:5 2.5-4:10
v2,v2,球卡,本人,0.90,3.46,3.45,3.46,-1,1.67,1.09,0.85,1.77,0.75-1:5 1-1.5:5 1.5-2.5:5
