rec,card,map,tags,k,target,outcome,dwell,dwell_obj,dwell_s,gated,gated_obj,n_seg,theta_unit,theta_trial,head_src,head_frames,dist_m,occluded,blocker,walking,window_src
2026_08_16/000,e1,v7,,1,苹果,hit,correct,苹果,4.61,correct,苹果,3,4.2,4.22,window,33,1.69,0.0,,0,schedule
2026_08_16/000,e1,v7,,2,网球M,hit,correct,球M,3.02,correct,球M,1,8.27,8.33,window,34,1.41,0.0,,0,schedule
2026_08_16/000,e1,v7,,3,石榴,hit,correct,石榴,5.72,none,,2,6.0,5.98,window,34,1.68,0.0,,0,schedule
2026_08_16/000,e1,v7,,4,香蕉,hit,correct,香蕉,4.56,correct,香蕉,3,4.2,4.25,window,34,1.56,0.0,(unnamed),0,schedule
2026_08_16/000,e1,v7,,5,网球R,miss,none,,0.0,none,,0,6.0,6.01,window,34,1.49,0.0,,0,schedule
2026_08_16/000,e1,v7,,6,网球L,hit,correct,球L,2.08,correct,球L,4,5.54,5.29,window,33,1.42,0.0,,0,schedule
2026_08_16/000,e1,v7,,7,网球M,hit,correct,球M,3.05,correct,球M,5,8.27,8.29,window,34,1.42,0.0,,0,schedule
2026_08_16/000,e1,v7,,8,石榴,miss,none,,0.0,none,,0,6.0,5.97,window,34,1.68,0.0,,0,schedule
2026_08_16/000,e1,v7,,9,香蕉,hit,correct,香蕉,2.98,correct,香蕉,3,4.2,4.09,window,34,1.58,0.0,(unnamed),0,schedule
2026_08_16/000,e1,v7,,10,网球L,miss,none,,0.0,none,,0,5.54,5.33,window,34,1.42,0.0,,0,schedule
2026_08_16/000,e1,v7,,11,苹果,miss,none,,0.0,none,,0,4.2,4.23,window,34,1.69,0.0,,0,schedule
2026_08_16/000,e1,v7,,12,网球R,miss,none,,0.0,none,,0,6.0,6.07,window,33,1.48,0.0,,0,schedule
2026_08_16/001,e2,v7,stress,1,网球L,miss,none,,0.0,none,,0,2.09,2.19,window,35,3.12,0.0,(unnamed),0,lcs_episode
2026_08_16/001,e2,v7,stress,2,网球R,miss,none,,0.0,none,,0,1.57,1.57,window,78,3.24,0.0,(unnamed),0,lcs_episode
2026_08_16/001,e2,v7,stress,3,苹果,miss,none,,0.0,none,,0,1.39,1.38,no_window,927,3.53,0.0,,0,none
2026_08_16/001,e2,v7,stress,4,石榴,miss,none,,0.0,none,,0,1.57,1.56,no_window,927,3.47,0.0,,0,none
2026_08_16/001,e2,v7,stress,5,网球M,miss,none,,0.0,none,,0,3.22,3.2,window,23,3.21,0.0,,0,lcs_episode
2026_08_16/001,e2,v7,stress,6,香蕉,miss,none,,0.0,none,,0,1.39,1.38,no_window,927,3.38,0.0,(unnamed),0,none
2026_08_16/001,e2,v7,stress,7,苹果,miss,none,,0.0,none,,0,1.39,1.38,no_window,927,3.53,0.0,,0,none
2026_08_16/001,e2,v7,stress,8,石榴,miss,none,,0.0,none,,0,1.57,1.56,no_window,927,3.47,0.0,,0,none
2026_08_16/001,e2,v7,stress,9,香蕉,miss,none,,0.0,none,,0,1.39,1.38,no_window,927,3.38,0.0,(unnamed),0,none
2026_08_16/001,e2,v7,stress,10,网球R,miss,none,,0.0,none,,0,1.57,1.55,window,64,3.26,0.0,(unnamed),0,lcs_episode
2026_08_16/001,e2,v7,stress,11,网球L,hit,correct,球L,2.27,none,,1,2.09,2.09,window,72,3.23,0.0,(unnamed),0,lcs_episode
2026_08_16/001,e2,v7,stress,12,网球M,miss,none,,0.0,none,,0,3.22,3.19,window,28,3.21,0.0,,0,lcs_episode
2026_08_16/s1,s1,v7,,1,网球R,hit,correct,球R,5.8,correct,球R,3,5.42,5.41,window,34,1.6,0.0,,0,schedule
2026_08_16/s1,s1,v7,,2,网球L,hit,correct,球L,6.5,correct,球L,1,5.02,4.98,window,34,1.52,0.0,(unnamed),0,schedule
2026_08_16/s1,s1,v7,,3,网球M,hit,correct,球M,4.33,correct,球M,2,7.7,7.82,window,34,1.51,0.0,,0,schedule
2026_08_16/s1,s1,v7,,4,网球L,hit,correct,球L,3.85,correct,球L,2,5.02,4.94,window,34,1.52,0.0,(unnamed),0,schedule
2026_08_16/s1,s1,v7,,5,网球M,hit,correct,球M,6.01,correct,球M,1,7.7,7.73,window,33,1.52,0.0,,0,schedule
2026_08_16/s1,s1,v7,,6,网球M,hit,correct,球M,5.2,correct,球M,3,7.7,7.78,window,34,1.51,0.0,,0,schedule
2026_08_16/s1,s1,v7,,7,网球R,hit,correct,球R,6.39,correct,球R,2,5.42,5.46,window,32,1.58,0.0,,0,schedule
2026_08_16/s1,s1,v7,,8,网球L,hit,correct,球L,5.2,correct,球L,2,5.02,4.91,window,34,1.53,0.0,(unnamed),0,schedule
2026_08_16/s1,s1,v7,,9,网球L,hit,correct,球L,6.23,correct,球L,1,5.02,4.92,window,34,1.53,0.0,(unnamed),0,schedule
2026_08_16/s1,s1,v7,,10,网球M,hit,correct,球M,1.62,correct,球M,3,7.7,7.68,window,34,1.52,0.0,,0,schedule
2026_08_16/s1,s1,v7,,11,网球R,miss,none,,0.0,none,,0,5.42,5.42,window,34,1.59,0.0,,0,schedule
2026_08_16/s1,s1,v7,,12,网球M,hit,correct,球M,6.77,correct,球M,2,7.7,7.72,window,34,1.51,0.0,,0,schedule
