rec,card,map,tags,k,target,outcome,dwell,dwell_obj,dwell_s,gated,gated_obj,n_seg,theta_unit,theta_trial,head_src,head_frames,dist_m,occluded,blocker,walking,window_src
2026_08_25/c1_1,c4,v9,beyond_occ,14,球M,miss,wrong,苹果粉,5.58,none,,1,0.68,0.68,window,61,4.36,0.0,,0,lcs_episode
2026_08_25/c1_1,c4,v9,beyond_occ,15,球R,miss,none,,0.0,none,,0,0.9,0.9,no_window,1238,4.52,0.0,(unnamed),0,none
2026_08_25/c1_2,c4,v9,,1,球L,miss,wrong,苹果粉,7.53,none,,2,1.04,1.04,window,33,4.27,0.0,(unnamed),0,schedule
2026_08_25/c1_2,c4,v9,,2,球R,hit,correct,球R,5.69,none,,1,0.81,0.81,window,34,4.56,0.0,(unnamed),0,schedule
2026_08_25/c1_2,c4,v9,,3,球R,miss,wrong,苹果红,6.39,none,,1,0.81,0.81,window,34,4.57,0.0,(unnamed),0,schedule
2026_08_25/c1_2,c4,v9,,4,球M,miss,wrong,苹果红,6.61,none,,1,0.65,0.66,window,34,4.4,0.0,,0,schedule
2026_08_25/c1_2,c4,v9,,5,球M,miss,wrong,苹果红,6.12,none,,1,0.65,0.65,window,34,4.41,0.0,,0,schedule
2026_08_25/c1_2,c4,v9,,6,球L,miss,wrong,苹果粉,6.39,none,,1,1.04,1.04,window,34,4.27,0.0,(unnamed),0,schedule
2026_08_25/c1_2,c4,v9,,7,球R,miss,wrong,苹果红,5.9,none,,1,0.81,0.81,window,33,4.57,0.0,(unnamed),0,schedule
2026_08_25/c1_2,c4,v9,,8,球L,miss,wrong,苹果粉,6.88,none,,1,1.04,1.03,window,34,4.29,0.0,(物品台),0,schedule
2026_08_25/c1_2,c4,v9,,9,球L,miss,wrong,苹果红,6.5,none,,1,1.04,1.02,window,33,4.3,0.0,(物品台),0,schedule
2026_08_25/c1_2,c4,v9,,10,球M,miss,wrong,苹果红,3.36,none,,1,0.65,0.65,window,34,4.42,0.0,,0,schedule
2026_08_25/c1_2,c4,v9,,11,球L,miss,wrong,苹果粉,5.47,none,,1,1.04,1.04,window,34,4.26,0.0,(unnamed),0,schedule
2026_08_25/c1_2,c4,v9,,12,球M,miss,wrong,苹果红,6.23,none,,1,0.65,0.66,window,34,4.4,0.0,,0,schedule
2026_08_25/c1_2,c4,v9,,13,球R,miss,wrong,苹果红,6.45,none,,1,0.81,0.81,window,33,4.56,0.0,(unnamed),0,schedule
2026_08_25/c1_2,c4,v9,,14,球M,miss,wrong,苹果红,4.93,none,,2,0.65,0.65,window,34,4.41,0.0,,0,schedule
2026_08_25/c1_2,c4,v9,,15,球R,miss,wrong,苹果红,5.09,none,,2,0.81,0.81,window,30,4.56,0.0,(unnamed),0,schedule
2026_08_25/c1_3,c4,v9,,1,球L,hit,correct,球L,6.75,none,,9,1.19,1.19,window,95,3.75,0.0,,0,lcs_episode
2026_08_25/c1_3,c4,v9,,2,球R,miss,none,,0.0,none,,0,0.96,0.95,no_window,1259,4.04,0.0,,0,none
2026_08_25/c1_3,c4,v9,,3,球R,miss,none,,0.0,none,,0,0.96,0.95,no_window,1259,4.04,0.0,,0,none
2026_08_25/c1_3,c4,v9,,4,球M,miss,wrong,球L,12.8,none,,6,0.77,0.77,window,139,3.88,0.0,,0,lcs_episode
2026_08_25/c1_3,c4,v9,,5,球M,miss,wrong,球L,12.8,none,,6,0.77,0.77,window,139,3.88,0.0,,0,lcs_episode
2026_08_25/c1_3,c4,v9,,6,球L,hit,correct,球L,4.9,none,,1,1.19,1.2,window,55,3.75,0.0,,0,lcs_episode
2026_08_25/c1_3,c4,v9,,7,球R,miss,none,,0.0,none,,0,0.96,0.95,no_window,1259,4.04,0.0,,0,none
2026_08_25/c1_3,c4,v9,,8,球L,miss,none,,0.0,none,,0,1.19,1.19,no_window,1259,3.75,0.0,,0,none
2026_08_25/c1_3,c4,v9,,9,球L,miss,none,,0.0,none,,0,1.19,1.19,no_window,1259,3.75,0.0,,0,none
2026_08_25/c1_3,c4,v9,,10,球M,miss,wrong,球L,6.25,none,,1,0.77,0.77,window,68,3.86,0.0,,0,lcs_episode
2026_08_25/c1_3,c4,v9,,11,球L,hit,correct,球L,6.35,none,,1,1.19,1.2,window,69,3.73,0.0,,0,lcs_episode
2026_08_25/c1_3,c4,v9,,12,球M,miss,none,,0.0,none,,0,0.77,0.77,no_window,1259,3.88,0.0,,0,none
2026_08_25/c1_3,c4,v9,,13,球R,hit,correct,球R,5.7,none,,1,0.96,0.95,window,62,4.03,0.0,,0,lcs_episode
2026_08_25/c1_3,c4,v9,,14,球M,miss,wrong,球L,5.96,none,,1,0.77,0.77,window,65,3.89,0.0,,0,lcs_episode
2026_08_25/c1_3,c4,v9,,15,球R,miss,wrong,球L,3.65,none,,1,0.96,0.96,window,42,4.02,0.0,,0,lcs_episode
2026_08_25/u3,u3,v9,walking,1,球L,hit,correct,球L,3.0,none,,4,1.36,1.17,window,34,2.85,0.0,,1,schedule
2026_08_25/u3,u3,v9,walking,2,球M,hit,correct,球M,1.4,none,,4,1.44,1.22,window,34,2.87,0.0,,1,schedule
2026_08_25/u3,u3,v9,walking,3,球R,miss,wrong,球M,4.35,none,,4,1.75,2.3,window,33,2.25,0.0,,1,schedule
2026_08_25/u3,u3,v9,walking,4,球M,hit,correct,球M,1.5,none,,6,1.44,1.36,window,34,2.87,0.0,,1,schedule
2026_08_25/u3,u3,v9,walking,5,球R,hit,correct,球R,2.9,none,,4,1.75,1.67,window,34,2.59,0.0,,1,schedule
2026_08_25/u3,u3,v9,walking,6,球L,hit,correct,球L,2.85,none,,3,1.36,1.14,window,34,2.89,0.0,,1,schedule
2026_08_25/u3,u3,v9,walking,7,球M,hit,correct,球M,2.3,none,,7,1.44,1.41,window,33,2.59,0.0,,1,schedule
2026_08_25/u3,u3,v9,walking,8,球R,hit,correct,球R,3.25,none,,7,1.75,1.86,window,34,2.7,0.0,,1,schedule
2026_08_25/u3,u3,v9,walking,9,球L,hit,correct,球L,4.1,none,,7,1.36,1.29,window,34,2.73,0.0,,1,schedule
2026_08_25/u3,u3,v9,walking,10,球R,hit,correct,球R,2.42,none,,4,1.75,1.84,window,34,2.5,0.0,,1,schedule
2026_08_25/u3,u3,v9,walking,11,球L,hit,correct,球L,3.84,none,,4,1.36,1.2,window,34,2.83,0.0,,1,schedule
2026_08_25/u3,u3,v9,walking,12,球M,hit,correct,球M,2.49,none,,4,1.44,1.55,window,34,2.49,0.0,,1,schedule
2026_08_25/u3,u3,v9,walking,13,球R,miss,wrong,球M,3.08,none,,4,1.75,1.57,window,33,3.19,0.0,,1,schedule
2026_08_25/u3,u3,v9,walking,14,球L,hit,correct,球L,5.24,none,,3,1.36,1.26,window,34,2.93,0.0,,1,schedule
2026_08_25/u3,u3,v9,walking,15,球M,hit,correct,球M,4.05,none,,7,1.44,2.57,window,32,1.65,0.0,,1,schedule
2026_09_06/v1,v1,v10,,1,网球L,hit,correct,球L,5.42,none,,3,2.6,2.64,window,34,2.13,0.0,,0,schedule
2026_09_06/v1,v1,v10,,2,网球R,hit,correct,球R,4.33,none,,1,1.96,2.0,window,34,2.13,0.0,,0,schedule
2026_09_06/v1,v1,v10,,3,网球M,hit,correct,球M,6.93,none,,4,3.31,3.35,window,34,2.14,0.0,,0,schedule
2026_09_06/v1,v1,v10,,4,网球M,hit,correct,球M,3.85,none,,3,3.31,3.34,window,34,2.14,0.0,,0,schedule
2026_09_06/v1,v1,v10,,5,网球R,hit,correct,球R,5.8,none,,1,1.96,1.99,window,34,2.13,0.0,,0,schedule
2026_09_06/v1,v1,v10,,6,网球L,hit,correct,球L,4.87,none,,5,2.6,2.61,window,33,2.15,0.0,,0,schedule
2026_09_06/v1,v1,v10,,7,网球R,hit,correct,球R,5.63,none,,1,1.96,1.96,window,33,2.15,0.0,,0,schedule
2026_09_06/v1,v1,v10,,8,网球L,hit,correct,球L,4.22,none,,5,2.6,2.52,window,34,2.14,0.0,,0,schedule
2026_09_06/v1,v1,v10,,9,网球M,hit,correct,球M,6.55,none,,1,3.31,3.19,window,34,2.17,0.0,,0,schedule
2026_09_06/v1,v1,v10,,10,网球L,hit,correct,球L,8.02,none,,2,2.6,2.48,window,34,2.17,0.0,,0,schedule
2026_09_06/v1,v1,v10,,11,网球L,hit,correct,球L,4.01,none,,6,2.6,2.58,window,34,2.16,0.0,,0,schedule
2026_09_06/v1,v1,v10,,12,网球R,hit,correct,球R,9.75,none,,1,1.96,1.94,window,34,2.17,0.0,,0,schedule
2026_09_06/v1,v1,v10,,13,网球R,hit,correct,球R,4.01,none,,2,1.96,1.93,window,34,2.17,0.0,,0,schedule
2026_09_06/v1,v1,v10,,14,网球M,hit,correct,球M,6.82,none,,2,3.31,3.28,window,34,2.14,0.0,,0,schedule
2026_09_06/v1,v1,v10,,15,网球M,hit,correct,球M,3.85,none,,3,3.31,3.27,window,34,2.16,0.0,,0,schedule
2026_09_06/v2,v2,v10,,1,网球M,miss,wrong,苹果红,5.09,none,,1,1.78,1.8,window,34,3.45,0.0,,0,schedule
2026_09_06/v2,v2,v10,,2,网球R,hit,correct,球R,6.34,none,,1,0.85,0.86,window,33,3.47,0.0,,0,schedule
2026_09_06/v2,v2,v10,,3,网球L,miss,wrong,苹果红,6.66,none,,1,1.09,1.08,window,34,3.45,0.0,(物品台),0,schedule
2026_09_06/v2,v2,v10,,4,网球R,hit,correct,球R,6.5,none,,1,0.85,0.86,window,34,3.46,0.0,,0,schedule
2026_09_06/v2,v2,v10,,5,网球L,miss,wrong,苹果红,6.28,none,,1,1.09,1.1,window,34,3.43,0.0,(物品台),0,schedule
2026_09_06/v2,v2,v10,,6,网球M,miss,wrong,苹果红,5.2,none,,1,1.78,1.79,window,34,3.45,0.0,,0,schedule
2026_09_06/v2,v2,v10,,7,网球R,hit,correct,球R,5.31,none,,1,0.85,0.86,window,33,3.46,0.0,,0,schedule
2026_09_06/v2,v2,v10,,8,网球M,miss,wrong,苹果红,0.49,none,,1,1.78,1.73,window,34,3.48,0.0,,0,schedule
2026_09_06/v2,v2,v10,,9,网球M,hit,correct,球M,6.28,none,,1,1.78,1.8,window,34,3.45,0.0,,0,schedule
2026_09_06/v2,v2,v10,,10,网球L,miss,wrong,苹果红,6.82,none,,1,1.09,1.09,window,34,3.44,0.0,(物品台),0,schedule
2026_09_06/v2,v2,v10,,11,网球R,hit,correct,球R,13.7,none,,1,0.85,0.85,window,34,3.47,0.0,,0,schedule
2026_09_06/v2,v2,v10,,12,网球R,hit,correct,球R,13.7,none,,1,0.85,0.85,window,34,3.48,0.0,,0,schedule
2026_09_06/v2,v2,v10,,13,网球L,miss,wrong,苹果红,3.25,none,,1,1.09,1.08,window,34,3.44,0.0,(物品台),0,schedule
2026_09_06/v2,v2,v10,,14,网球M,miss,wrong,苹果红,7.2,none,,1,1.78,1.78,window,33,3.47,0.0,,0,schedule
2026_09_06/v2,v2,v10,,15,网球L,miss,wrong,苹果红,5.25,none,,1,1.09,1.08,window,34,3.45,0.0,(物品台),0,schedule
2026_09_07/p1_v1,v1,v10,p1,1,网球L,hit,correct,球L,3.2,none,,5,2.98,2.81,window,33,1.74,0.0,,0,schedule
2026_09_07/p1_v1,v1,v10,p1,2,网球R,hit,correct,球R,4.06,none,,2,2.19,2.25,window,33,1.71,0.0,,0,schedule
2026_09_07/p1_v1,v1,v10,p1,3,网球M,hit,correct,球M,6.77,none,,1,3.92,3.97,window,34,1.7,0.0,,0,schedule
2026_09_07/p1_v1,v1,v10,p1,4,网球M,hit,correct,球M,6.55,none,,1,3.92,4.01,window,34,1.69,0.0,,0,schedule
2026_09_07/p1_v1,v1,v10,p1,5,网球R,hit,correct,球R,5.8,none,,1,2.19,2.27,window,34,1.69,0.0,,0,schedule
2026_09_07/p1_v1,v1,v10,p1,6,网球L,hit,correct,球L,6.07,none,,2,2.98,3.07,window,34,1.67,0.0,,0,schedule
2026_09_07/p1_v1,v1,v10,p1,7,网球R,hit,correct,球R,5.09,none,,1,2.19,2.24,window,34,1.69,0.0,,0,schedule
2026_09_07/p1_v1,v1,v10,p1,8,网球L,hit,correct,球L,4.5,none,,7,2.98,2.85,window,34,1.73,0.0,,0,schedule
2026_09_07/p1_v1,v1,v10,p1,9,网球M,hit,correct,球M,6.72,none,,2,3.92,3.98,window,34,1.71,0.0,,0,schedule
2026_09_07/p1_v1,v1,v10,p1,10,网球L,hit,correct,球L,6.5,none,,5,2.98,3.01,window,34,1.7,0.0,,0,schedule
2026_09_07/p1_v1,v1,v10,p1,11,网球L,hit,correct,球L,6.66,none,,2,2.98,3.01,window,34,1.69,0.0,,0,schedule
2026_09_07/p1_v1,v1,v10,p1,12,网球R,hit,correct,球R,3.47,correct,球R,3,2.19,2.22,window,33,1.71,0.0,,0,schedule
2026_09_07/p1_v1,v1,v10,p1,13,网球R,hit,correct,球R,4.71,correct,球R,5,2.19,2.23,window,34,1.69,0.0,,0,schedule
2026_09_07/p1_v1,v1,v10,p1,14,网球M,hit,correct,球M,10.4,none,,2,3.92,3.94,window,34,1.68,0.0,,0,schedule
2026_09_07/p1_v1,v1,v10,p1,15,网球M,hit,correct,球M,9.48,none,,1,3.92,3.97,window,29,1.68,0.0,,0,schedule
2026_09_07/v4,v4,v10,walking,1,网球M,hit,correct,球M,6.17,none,,3,2.78,2.39,window,34,2.26,0.0,,1,schedule
2026_09_07/v4,v4,v10,walking,2,网球L,hit,correct,球L,3.85,none,,2,2.14,1.88,window,34,2.53,0.0,,1,schedule
2026_09_07/v4,v4,v10,walking,3,网球R,hit,correct,球R,4.4,none,,5,1.61,1.99,window,33,2.12,0.0,,1,schedule
2026_09_07/v4,v4,v10,walking,4,网球M,hit,correct,球M,3.55,none,,4,2.78,2.1,window,34,2.73,0.0,,1,schedule
2026_09_07/v4,v4,v10,walking,5,网球M,hit,correct,球M,3.7,none,,7,2.78,2.28,window,34,2.26,0.0,,1,schedule
2026_09_07/v4,v4,v10,walking,6,网球L,hit,correct,球L,6.55,none,,2,2.14,1.58,window,34,2.76,0.0,,1,schedule
2026_09_07/v4,v4,v10,walking,7,网球L,hit,correct,球L,4.95,none,,2,2.14,2.25,window,33,2.23,0.0,,1,schedule
2026_09_07/v4,v4,v10,walking,8,网球R,hit,correct,球R,6.25,none,,2,1.61,1.28,window,34,2.76,0.0,,1,schedule
2026_09_07/v4,v4,v10,walking,9,网球M,hit,correct,球M,8.15,none,,6,2.78,2.88,window,33,2.39,0.0,,1,schedule
2026_09_07/v4,v4,v10,walking,10,网球M,hit,correct,球M,3.5,none,,2,2.78,2.16,window,34,2.74,0.0,,1,schedule
2026_09_07/v4,v4,v10,walking,11,网球R,miss,wrong,白杯1,4.91,none,,2,1.61,1.28,window,34,2.88,0.0,,1,schedule
2026_09_07/v4,v4,v10,walking,12,网球L,hit,correct,球L,3.7,none,,3,2.14,2.93,window,34,2.03,0.0,,1,schedule
2026_09_07/v4,v4,v10,walking,13,网球R,miss,wrong,白杯1,4.3,none,,2,1.61,1.37,window,34,2.65,0.0,,1,schedule
2026_09_07/v4,v4,v10,walking,14,网球R,hit,correct,球R,5.6,none,,2,1.61,1.48,window,34,2.52,0.0,,1,schedule
2026_09_07/v4,v4,v10,walking,15,网球L,hit,correct,球L,5.9,none,,3,2.14,3.66,window,33,1.7,0.0,,1,schedule
2026_09_07/p1_v4,v4,v10,walking|p1,1,网球M,hit,correct,球M,2.35,none,,2,2.67,1.8,window,34,2.22,0.0,,1,schedule
2026_09_07/p1_v4,v4,v10,walking|p1,2,网球L,miss,wrong,苹果红,4.46,wrong,苹果红,2,1.95,2.09,window,33,2.08,0.0,,1,schedule
2026_09_07/p1_v4,v4,v10,walking|p1,3,网球R,hit,correct,球R,5.37,none,,2,1.49,1.93,window,34,2.01,0.0,,1,schedule
2026_09_07/p1_v4,v4,v10,walking|p1,4,网球M,hit,correct,球M,4.4,none,,1,2.67,2.71,window,34,2.24,0.0,,1,schedule
2026_09_07/p1_v4,v4,v10,walking|p1,5,网球M,hit,correct,球M,0.7,none,,4,2.67,2.14,window,34,2.23,0.0,,1,schedule
2026_09_07/p1_v4,v4,v10,walking|p1,6,网球L,hit,correct,球L,5.5,none,,2,1.95,2.64,window,33,1.9,0.0,,1,schedule
2026_09_07/p1_v4,v4,v10,walking|p1,7,网球L,miss,wrong,苹果红,2.6,none,,3,1.95,1.62,window,34,2.42,0.0,,1,schedule
2026_09_07/p1_v4,v4,v10,walking|p1,8,网球R,hit,correct,球R,2.85,none,,1,1.49,1.64,window,34,2.2,0.0,,1,schedule
2026_09_07/p1_v4,v4,v10,walking|p1,9,网球M,hit,correct,球M,6.86,none,,1,2.67,2.28,window,33,2.38,0.0,,1,schedule
2026_09_07/p1_v4,v4,v10,walking|p1,10,网球M,hit,correct,球M,4.3,none,,3,2.67,3.14,window,34,1.89,0.0,,1,schedule
2026_09_07/p1_v4,v4,v10,walking|p1,11,网球R,hit,correct,球R,5.51,none,,1,1.49,1.26,window,33,2.48,0.0,,1,schedule
2026_09_07/p1_v4,v4,v10,walking|p1,12,网球L,hit,correct,球L,3.85,none,,4,1.95,2.36,window,34,2.02,0.0,,1,schedule
2026_09_07/p1_v4,v4,v10,walking|p1,13,网球R,hit,correct,球R,4.8,none,,3,1.49,1.25,window,34,2.44,0.0,,1,schedule
2026_09_07/p1_v4,v4,v10,walking|p1,14,网球R,hit,correct,球R,6.05,none,,2,1.49,1.92,window,34,1.98,0.0,,1,schedule
2026_09_07/p1_v4,v4,v10,walking|p1,15,网球L,miss,wrong,苹果红,3.56,none,,2,1.95,1.81,window,34,2.45,0.0,,1,schedule
2026_09_07/v1_near,v1,v10,,1,网球L,hit,correct,球L,4.06,correct,球L,1,5.68,5.7,window,34,1.28,0.0,,0,schedule
2026_09_07/v1_near,v1,v10,,2,网球R,hit,correct,球R,5.09,none,,1,4.46,4.42,window,34,1.39,0.0,,0,schedule
2026_09_07/v1_near,v1,v10,,3,网球M,hit,correct,球M,6.66,correct,球M,1,5.02,5.06,window,34,1.33,0.0,,0,schedule
2026_09_07/v1_near,v1,v10,,4,网球M,hit,correct,球M,6.23,none,,1,5.02,5.02,window,34,1.33,0.0,,0,schedule
2026_09_07/v1_near,v1,v10,,5,网球R,hit,correct,球R,6.34,none,,1,4.46,4.37,window,34,1.41,0.0,,0,schedule
2026_09_07/v1_near,v1,v10,,6,网球L,hit,correct,球L,5.36,correct,球L,4,5.68,5.59,window,34,1.28,0.0,,0,schedule
2026_09_07/v1_near,v1,v10,,7,网球R,hit,correct,球R,6.23,none,,1,4.46,4.37,window,33,1.41,0.0,,0,schedule
2026_09_07/v1_near,v1,v10,,8,网球L,hit,correct,球L,4.44,correct,球L,6,5.68,5.4,window,34,1.29,0.0,,0,schedule
2026_09_07/v1_near,v1,v10,,9,网球M,hit,correct,球M,6.77,none,,1,5.02,4.85,window,33,1.36,0.0,,0,schedule
2026_09_07/v1_near,v1,v10,,10,网球L,hit,correct,球L,6.82,correct,球L,1,5.68,5.4,window,34,1.3,0.0,,0,schedule
2026_09_07/v1_near,v1,v10,,11,网球L,hit,correct,球L,6.77,correct,球L,2,5.68,5.38,window,34,1.3,0.0,,0,schedule
2026_09_07/v1_near,v1,v10,,12,网球R,miss,wrong,白杯1,4.44,none,,2,4.46,4.29,window,34,1.43,0.0,,0,schedule
2026_09_07/v1_near,v1,v10,,13,网球R,hit,correct,球R,6.77,none,,1,4.46,4.29,window,34,1.43,0.0,,0,schedule
2026_09_07/v1_near,v1,v10,,14,网球M,hit,correct,球M,6.99,none,,2,5.02,5.08,window,33,1.34,0.0,,0,schedule
2026_09_07/v1_near,v1,v10,,15,网球M,hit,correct,球M,5.52,none,,1,5.02,4.94,window,34,1.38,0.0,,0,schedule
2026_09_07/v2_near,v2,v10,,1,网球M,hit,correct,球M,4.87,correct,球M,1,5.91,6.23,window,34,1.15,0.0,,0,schedule
2026_09_07/v2_near,v2,v10,,2,网球R,hit,correct,球R,5.96,correct,球R,1,6.24,6.61,window,33,1.09,0.0,,0,schedule
2026_09_07/v2_near,v2,v10,,3,网球L,hit,correct,球L,6.5,correct,球L,1,7.76,8.06,window,34,1.22,0.0,,0,schedule
2026_09_07/v2_near,v2,v10,,4,网球R,hit,correct,球R,5.8,correct,球R,3,6.24,6.52,window,34,1.09,0.0,,0,schedule
2026_09_07/v2_near,v2,v10,,5,网球L,hit,correct,球L,6.5,correct,球L,1,7.76,7.94,window,34,1.22,0.0,,0,schedule
2026_09_07/v2_near,v2,v10,,6,网球M,hit,correct,球M,3.09,correct,球M,4,5.91,6.08,window,34,1.17,0.0,,0,schedule
2026_09_07/v2_near,v2,v10,,7,网球R,hit,correct,球R,2.65,none,,1,6.24,6.44,window,33,1.1,0.0,,0,schedule
2026_09_07/v2_near,v2,v10,,8,网球M,hit,correct,球M,6.5,none,,2,5.91,5.14,window,34,1.29,0.0,,0,schedule
2026_09_07/v2_near,v2,v10,,9,网球M,hit,correct,球M,6.72,none,,1,5.91,5.08,window,33,1.3,0.0,,0,schedule
2026_09_07/v2_near,v2,v10,,10,网球L,hit,correct,球L,6.12,correct,球L,2,7.76,6.77,window,34,1.39,0.0,,0,schedule
2026_09_07/v2_near,v2,v10,,11,网球R,hit,correct,球R,2.82,none,,1,6.24,5.53,window,34,1.24,0.0,,0,schedule
2026_09_07/v2_near,v2,v10,,12,网球R,hit,correct,球R,6.12,none,,1,6.24,5.59,window,34,1.23,0.0,,0,schedule
2026_09_07/v2_near,v2,v10,,13,网球L,hit,correct,球L,6.72,correct,球L,1,7.76,6.83,window,34,1.38,0.0,,0,schedule
2026_09_07/v2_near,v2,v10,,14,网球M,hit,correct,球M,6.93,none,,1,5.91,5.11,window,33,1.3,0.0,,0,schedule
2026_09_07/v2_near,v2,v10,,15,网球L,hit,correct,球L,7.91,correct,球L,1,7.76,6.75,window,34,1.39,0.0,,0,schedule
2026_09_07/v2_near_p2,v2,v10,p2,1,网球M,hit,correct,球M,1.03,correct,球M,3,5.55,5.35,window,21,0.99,0.0,,0,lcs_episode
2026_09_07/v2_near_p2,v2,v10,p2,2,网球R,miss,none,,0.0,none,,0,5.16,5.03,no_window,1295,1.14,0.0,,0,none
2026_09_07/v2_near_p2,v2,v10,p2,3,网球L,miss,none,,0.0,none,,0,6.28,6.15,no_window,1295,0.97,0.0,,0,none
2026_09_07/v2_near_p2,v2,v10,p2,4,网球R,hit,correct,球R,6.45,correct,球R,3,5.16,5.01,window,71,1.11,0.0,,0,lcs_episode
2026_09_07/v2_near_p2,v2,v10,p2,5,网球L,hit,correct,球L,10.78,correct,球L,12,6.28,6.54,window,138,0.91,0.0,,0,lcs_episode
2026_09_07/v2_near_p2,v2,v10,p2,6,网球M,hit,correct,球M,6.76,correct,球M,2,5.55,5.71,window,74,1.01,0.0,,0,lcs_episode
2026_09_07/v2_near_p2,v2,v10,p2,7,网球R,miss,none,,0.0,none,,0,5.16,5.03,no_window,1295,1.14,0.0,,0,none
2026_09_07/v2_near_p2,v2,v10,p2,8,网球M,hit,correct,球M,7.37,correct,球M,1,5.55,5.83,window,79,0.98,0.0,,0,lcs_episode
2026_09_07/v2_near_p2,v2,v10,p2,9,网球M,hit,correct,球M,7.37,correct,球M,1,5.55,5.83,window,79,0.98,0.0,,0,lcs_episode
2026_09_07/v2_near_p2,v2,v10,p2,10,网球L,hit,correct,球L,1.52,correct,球L,1,6.28,5.24,window,21,1.02,0.0,,0,lcs_episode
2026_09_07/v2_near_p2,v2,v10,p2,11,网球R,hit,correct,球R,6.39,correct,球R,2,5.16,4.81,window,70,1.18,0.0,,0,lcs_episode
2026_09_07/v2_near_p2,v2,v10,p2,12,网球R,hit,correct,球R,6.17,none,,1,5.16,4.86,window,68,1.17,0.0,,0,lcs_episode
2026_09_07/v2_near_p2,v2,v10,p2,13,网球L,hit,correct,球L,6.39,correct,球L,4,6.28,5.91,window,75,0.99,0.0,,0,lcs_episode
2026_09_07/v2_near_p2,v2,v10,p2,14,网球M,hit,correct,球M,7.15,correct,球M,1,5.55,5.42,window,77,1.04,0.0,,0,lcs_episode
2026_09_07/v2_near_p2,v2,v10,p2,15,网球L,hit,correct,球L,6.07,correct,球L,1,6.28,6.03,window,66,0.94,0.0,,0,lcs_episode
2026_09_07/v6_far,v6,v10,,1,香蕉,miss,wrong,球M,6.83,none,,2,0.45,0.53,window,34,3.24,0.23,苹果红/苹果粉,0,schedule
2026_09_07/v6_far,v6,v10,,2,白杯1,hit,correct,白杯1,4.22,none,,1,0.62,0.54,window,34,3.04,0.0,,0,schedule
2026_09_07/v6_far,v6,v10,,3,网球R,hit,correct,球R,6.07,none,,1,1.07,1.09,window,33,2.98,0.0,,0,schedule
2026_09_07/v6_far,v6,v10,,4,白杯1,hit,correct,白杯1,6.12,none,,1,0.62,0.55,window,33,3.08,0.0,,0,schedule
2026_09_07/v6_far,v6,v10,,5,苹果红,miss,wrong,球M,3.79,none,,1,0.45,0.51,window,34,3.11,0.0,,0,schedule
2026_09_07/v6_far,v6,v10,,6,网球M,hit,correct,球M,5.9,none,,1,1.9,1.97,window,33,3.01,0.0,,0,schedule
2026_09_07/v6_far,v6,v10,,7,橘子,miss,wrong,白杯1,3.47,none,,2,0.62,0.63,window,34,3.23,0.38,白杯1,0,schedule
2026_09_07/v6_far,v6,v10,,8,苹果粉,miss,wrong,球L,5.36,none,,1,1.38,1.38,window,34,3.18,0.0,,0,schedule
2026_09_07/v6_far,v6,v10,,9,白杯2,miss,wrong,球R,4.87,none,,1,1.07,1.06,window,34,3.17,0.15,网球R,0,schedule
2026_09_07/v6_far,v6,v10,,10,香蕉,miss,wrong,苹果红,5.2,none,,2,0.45,0.45,window,34,3.25,0.31,苹果红/苹果粉,0,schedule
2026_09_07/v6_far,v6,v10,,11,网球L,miss,wrong,苹果红,6.93,none,,2,1.38,1.38,window,34,2.95,0.0,,0,schedule
2026_09_07/v6_far,v6,v10,,12,苹果粉,miss,wrong,球L,1.73,none,,4,1.38,1.37,window,32,3.18,0.0,,0,schedule
2026_09_07/v6_mid,v6,v10,,1,香蕉,miss,wrong,苹果红,6.28,none,,1,1.48,1.45,window,34,2.08,0.15,苹果红/苹果粉,0,schedule
2026_09_07/v6_mid,v6,v10,,2,白杯1,hit,correct,白杯1,6.72,none,,1,1.43,1.4,window,33,1.89,0.0,,0,schedule
2026_09_07/v6_mid,v6,v10,,3,网球R,hit,correct,球R,5.25,none,,2,2.69,2.64,window,34,1.82,0.0,,0,schedule
2026_09_07/v6_mid,v6,v10,,4,白杯1,hit,correct,白杯1,5.47,none,,1,1.43,1.4,window,34,1.89,0.0,,0,schedule
2026_09_07/v6_mid,v6,v10,,5,苹果红,hit,correct,苹果红,6.28,none,,2,1.48,1.44,window,34,1.93,0.0,,0,schedule
2026_09_07/v6_mid,v6,v10,,6,网球M,hit,correct,球M,3.41,none,,7,4.03,3.95,window,34,1.81,0.0,,0,schedule
2026_09_07/v6_mid,v6,v10,,7,橘子,miss,wrong,白杯1,6.28,none,,1,1.43,1.51,window,34,1.94,0.15,白杯1,0,schedule
2026_09_07/v6_mid,v6,v10,,8,苹果粉,hit,correct,苹果粉,6.39,correct,苹果粉,2,2.96,3.03,window,33,1.95,0.0,,0,schedule
2026_09_07/v6_mid,v6,v10,,9,白杯2,hit,correct,白杯2,5.8,correct,白杯2,3,2.69,2.74,window,34,1.91,0.0,,0,schedule
2026_09_07/v6_mid,v6,v10,,10,香蕉,miss,wrong,苹果红,4.01,none,,4,1.48,1.53,window,33,1.98,0.15,苹果红/苹果粉,0,schedule
2026_09_07/v6_mid,v6,v10,,11,网球L,hit,correct,球L,5.09,none,,5,3.59,3.55,window,34,1.77,0.0,,0,schedule
